DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
LAX,BFI,2019-01-01,€11.000000,443.900000 kg,42.350000 L,1598 km
BFI,LAX,2019-01-11,€11.000000,443.900000 kg,42.350000 L,1598 km
LAX,BEY,2019-01-11,€100.000000,4308.880000 kg,368.970000 L,12066 km
BEY,YHU,2019-01-25,€65.000000,2791.560000 kg,240.410000 L,8770 km
YHU,LAX,2019-02-22,€24.000000,1009.990000 kg,89.370000 L,3974 km
LAX,LIS,2019-02-22,€69.000000,2960.670000 kg,254.730000 L,9198 km
LIS,LCY,2019-03-01,€11.000000,454.010000 kg,43.170000 L,1639 km
LCY,BRU,2019-03-02,€5.000000,88.010000 kg,15.830000 L,365 km
BRU,IEV,2019-03-16,€12.000000,512.210000 kg,47.880000 L,1875 km
IEV,BCN,2019-03-17,€15.000000,650.220000 kg,59.330000 L,2453 km
BCN,LAX,2019-04-12,€73.000000,3172.740000 kg,272.690000 L,9735 km
LAX,VBG,2019-04-12,€5.000000,55.770000 kg,13.340000 L,267 km
VBG,LAX,2019-05-17,€5.000000,55.770000 kg,13.340000 L,267 km
LAX,LGA,2019-05-17,€24.000000,1023.260000 kg,90.480000 L,4020 km
LGA,LAX,2019-05-25,€24.000000,1023.260000 kg,90.480000 L,4020 km
LAX,DET,2019-05-25,€20.000000,841.550000 kg,75.300000 L,3262 km
DET,LAX,2019-05-29,€20.000000,841.550000 kg,75.300000 L,3262 km
LAX,TXL,2019-05-29,€70.000000,3032.440000 kg,260.810000 L,9380 km
TXL,LIN,2019-05-31,€7.000000,262.650000 kg,27.700000 L,894 km
LIN,IOM,2019-06-08,€10.000000,404.110000 kg,39.130000 L,1437 km
IOM,ORY,2019-06-22,€6.000000,241.780000 kg,26.030000 L,828 km
ORY,TXL,2019-07-05,€5.000000,202.000000 kg,21.010000 L,927 km
TXL,OBF,2019-07-12,€5.000000,164.930000 kg,20.570000 L,569 km
LCY,EOH,2019-08-06,€63.000000,2699.120000 kg,232.580000 L,8535 km
EOH,ATL,2019-08-08,€20.000000,835.710000 kg,74.820000 L,3237 km
ATL,LAX,2019-09-27,€19.000000,821.000000 kg,73.410000 L,3174 km
LAX,LPL,2019-09-27,€63.000000,2709.180000 kg,233.430000 L,8561 km
LPL,TXL,2019-09-28,€8.000000,329.430000 kg,33.080000 L,1135 km
TXL,DXB,2019-10-04,€30.000000,1279.000000 kg,112.150000 L,4682 km
DXB,LBA,2019-10-12,€38.000000,1619.040000 kg,141.040000 L,5679 km
LBA,MAD,2019-10-13,€10.000000,431.510000 kg,41.350000 L,1548 km
MAD,LGA,2019-10-18,€39.000000,1669.270000 kg,145.300000 L,5819 km
LGA,LAX,2019-10-25,€24.000000,1023.260000 kg,90.480000 L,4020 km
LAX,HEM,2019-10-25,€68.000000,2914.970000 kg,250.860000 L,9082 km
HEM,LAX,2019-11-09,€68.000000,2914.970000 kg,250.860000 L,9082 km
LAX,TNT,2019-11-09,€74.000000,3214.680000 kg,276.240000 L,9842 km
TNT,LAX,2019-11-16,€74.000000,3214.680000 kg,276.240000 L,9842 km
LAX,SCL,2019-11-16,€60.000000,2599.000000 kg,223.790000 L,9030 km
SCL,SPG,2019-11-22,€49.000000,2096.150000 kg,181.530000 L,7007 km
SPG,LAX,2019-12-12,€21.000000,899.630000 kg,80.150000 L,3507 km
LAX,MEB,2019-12-12,€108.000000,4686.390000 kg,400.970000 L,12822 km
MEB,SYD,2019-12-13,€6.000000,218.980000 kg,24.200000 L,756 km
SYD,LGB,2019-12-20,€100.000000,4345.380000 kg,372.070000 L,12139 km
LGB,LAX,2019-12-27,€5.000000,15.600000 kg,3.940000 L,76 km
