DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
TXL,LIS,2019-01-04,€15.000000,627.560000 kg,57.430000 L,2357 km
LIS,OPO,2019-01-05,€5.000000,57.000000 kg,14.430000 L,327 km
OPO,TXL,2019-01-11,€14.000000,574.690000 kg,53.020000 L,2134 km
TXL,DUB,2019-01-11,€9.000000,384.720000 kg,37.560000 L,1359 km
DUB,SKU,2019-01-12,€18.000000,753.410000 kg,67.940000 L,2889 km
SKU,TXL,2019-01-26,€12.000000,494.010000 kg,46.410000 L,1801 km
TXL,MHG,2019-02-02,€5.000000,215.000000 kg,27.590000 L,528 km
MHG,TXL,2019-02-09,€5.000000,215.000000 kg,27.590000 L,528 km
TXL,MRS,2019-02-09,€9.000000,352.810000 kg,34.970000 L,1230 km
MRS,TXL,2019-02-15,€9.000000,352.810000 kg,34.970000 L,1230 km
TXL,AMS,2019-02-15,€5.000000,183.000000 kg,21.770000 L,628 km
AMS,TXL,2019-02-22,€5.000000,183.000000 kg,21.770000 L,628 km
TXL,MHP,2019-02-22,€8.000000,305.730000 kg,31.160000 L,1039 km
MHP,TXL,2019-03-01,€8.000000,305.730000 kg,31.160000 L,1039 km
TXL,FRA,2019-03-01,€5.000000,111.000000 kg,15.180000 L,481 km
FRA,LYN,2019-03-02,€5.000000,173.850000 kg,21.160000 L,600 km
LYN,TXL,2019-03-06,€7.000000,301.750000 kg,30.840000 L,1023 km
TXL,SXL,2019-03-06,€10.000000,419.630000 kg,40.380000 L,1500 km
SXL,GWY,2019-03-07,€5.000000,34.140000 kg,8.640000 L,167 km
GWY,FMO,2019-03-08,€8.000000,341.070000 kg,34.020000 L,1182 km
FMO,TXL,2019-03-16,€5.000000,97.000000 kg,14.430000 L,431 km
TXL,STR,2019-03-16,€5.000000,159.000000 kg,19.740000 L,565 km
STR,TXL,2019-03-22,€5.000000,159.000000 kg,19.740000 L,565 km
TXL,ANR,2019-03-22,€5.000000,195.650000 kg,22.620000 L,675 km
ANR,GRZ,2019-03-23,€7.000000,288.060000 kg,29.740000 L,974 km
GRZ,TXL,2019-03-29,€5.000000,161.000000 kg,18.480000 L,687 km
TXL,LIL,2019-03-29,€6.000000,229.440000 kg,25.040000 L,789 km
LIL,OBF,2019-03-30,€5.000000,203.890000 kg,23.170000 L,704 km
OBF,TXL,2019-04-05,€5.000000,164.930000 kg,20.570000 L,569 km
TXL,TLS,2019-04-05,€9.000000,389.840000 kg,37.970000 L,1379 km
TLS,DTM,2019-04-06,€8.000000,305.940000 kg,31.180000 L,1040 km
DTM,TXL,2019-04-12,€5.000000,130.620000 kg,18.370000 L,466 km
TXL,MXN,2019-04-12,€9.000000,378.540000 kg,37.060000 L,1334 km
MXN,TXL,2019-04-19,€9.000000,378.540000 kg,37.060000 L,1334 km
TXL,AMS,2019-04-19,€5.000000,183.000000 kg,21.770000 L,628 km
AMS,NUE,2019-04-21,€5.000000,211.000000 kg,25.560000 L,591 km
NUE,CTA,2019-04-22,€7.000000,302.000000 kg,29.110000 L,1423 km
CTA,TXL,2019-04-23,€9.000000,380.000000 kg,35.690000 L,1732 km
TXL,HAM,2019-04-30,€5.000000,58.000000 kg,14.680000 L,299 km
HAM,TXL,2019-05-03,€5.000000,58.000000 kg,14.680000 L,299 km
TXL,BCN,2019-05-03,€8.000000,334.000000 kg,31.890000 L,1560 km
BCN,LCY,2019-05-04,€9.000000,374.000000 kg,37.210000 L,1194 km
LCY,TXL,2019-05-11,€7.000000,284.090000 kg,29.420000 L,962 km
TXL,ERF,2019-05-11,€5.000000,61.590000 kg,13.880000 L,288 km
ERF,DUS,2019-05-12,€5.000000,79.940000 kg,15.350000 L,346 km
DUS,TXL,2019-05-17,€5.000000,134.000000 kg,17.210000 L,517 km
TXL,MLH,2019-05-17,€5.000000,212.410000 kg,23.740000 L,734 km
MLH,TXL,2019-05-24,€5.000000,212.410000 kg,23.740000 L,734 km
TXL,DUB,2019-05-24,€9.000000,384.720000 kg,37.560000 L,1359 km
DUB,SWF,2019-05-25,€33.000000,1416.000000 kg,123.810000 L,5114 km
SWF,YQG,2019-05-27,€6.000000,231.630000 kg,25.220000 L,796 km
YQG,DCA,2019-05-31,€5.000000,196.670000 kg,22.690000 L,679 km
DCA,LGA,2019-06-01,€5.000000,91.000000 kg,14.680000 L,393 km
LGA,YHU,2019-06-02,€5.000000,179.030000 kg,21.510000 L,618 km
YHU,FRA,2019-06-07,€40.000000,1708.860000 kg,148.660000 L,5929 km
FRA,TLS,2019-06-08,€8.000000,316.000000 kg,32.910000 L,945 km
TLS,CDG,2019-06-09,€5.000000,159.000000 kg,18.480000 L,652 km
CDG,TXL,2019-06-20,€6.000000,233.000000 kg,24.550000 L,900 km
