DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
JAN,TXL,2019-02-02,€59.000000,2522.470000 kg,217.630000 L,8088 km
TXL,JAN,2019-03-29,€59.000000,2522.470000 kg,217.630000 L,8088 km
JAN,LHR,2019-03-29,€51.000000,2208.530000 kg,191.040000 L,7292 km
LHR,JAN,2019-04-25,€51.000000,2208.530000 kg,191.040000 L,7292 km
JAN,RKV,2019-04-25,€39.000000,1668.440000 kg,145.230000 L,5817 km
RKV,JAN,2019-06-29,€39.000000,1668.440000 kg,145.230000 L,5817 km
JAN,HHR,2019-06-29,€17.000000,704.600000 kg,63.870000 L,2683 km
HHR,JAN,2019-07-06,€17.000000,704.600000 kg,63.870000 L,2683 km
JAN,CDG,2019-07-06,€54.000000,2328.200000 kg,201.170000 L,7595 km
CDG,TXL,2019-07-12,€6.000000,233.000000 kg,24.550000 L,900 km
TXL,JAN,2019-10-05,€59.000000,2522.470000 kg,217.630000 L,8088 km
