DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
STN,LHR,2019-02-02,€5.000000,23.680000 kg,5.990000 L,116 km
LHR,STN,2019-02-20,€5.000000,23.680000 kg,5.990000 L,116 km
TXL,LEJ,2019-02-25,€5.000000,39.430000 kg,9.980000 L,193 km
LEJ,STN,2019-03-15,€7.000000,262.000000 kg,27.650000 L,892 km
STN,BCN,2019-03-15,€9.000000,354.420000 kg,35.100000 L,1236 km
BCN,AMS,2019-03-16,€9.000000,381.000000 kg,37.460000 L,1291 km
AMS,STN,2019-05-04,€5.000000,87.740000 kg,15.810000 L,364 km
STN,SDU,2019-05-04,€70.000000,3033.220000 kg,260.870000 L,9382 km
SDU,MXP,2019-05-08,€70.000000,3002.740000 kg,258.290000 L,9305 km
MXP,STN,2019-05-18,€7.000000,290.700000 kg,29.950000 L,983 km
STN,ANR,2019-05-18,€5.000000,82.860000 kg,15.520000 L,353 km
ANR,STN,2019-05-30,€5.000000,82.860000 kg,15.520000 L,353 km
STN,LHR,2019-05-30,€5.000000,23.680000 kg,5.990000 L,116 km
LHR,GLA,2019-06-01,€5.000000,155.000000 kg,18.480000 L,604 km
GLA,STN,2019-06-08,€5.000000,169.030000 kg,20.840000 L,583 km
STN,BRS,2019-06-08,€5.000000,54.100000 kg,13.190000 L,261 km
BRS,STN,2019-06-12,€5.000000,54.100000 kg,13.190000 L,261 km
STN,CFU,2019-06-12,€13.000000,559.930000 kg,51.790000 L,2071 km
CFU,STN,2019-06-22,€13.000000,559.930000 kg,51.790000 L,2071 km
STN,LHR,2019-06-22,€5.000000,23.680000 kg,5.990000 L,116 km
LHR,STN,2019-06-26,€5.000000,23.680000 kg,5.990000 L,116 km
STN,YEO,2019-06-26,€5.000000,56.780000 kg,13.440000 L,271 km
YEO,STN,2019-07-13,€5.000000,56.780000 kg,13.440000 L,271 km
STN,CRL,2019-07-13,€5.000000,96.540000 kg,16.340000 L,385 km
CRL,STN,2019-07-26,€5.000000,96.540000 kg,16.340000 L,385 km
STN,RTM,2019-07-26,€5.000000,76.570000 kg,15.140000 L,338 km
RTM,LHR,2019-07-27,€5.000000,99.050000 kg,16.490000 L,391 km
LHR,STN,2019-08-03,€5.000000,23.680000 kg,5.990000 L,116 km
STN,BOG,2019-08-03,€63.000000,2719.880000 kg,234.340000 L,8588 km
BOG,STN,2019-08-23,€63.000000,2719.880000 kg,234.340000 L,8588 km
STN,BCN,2019-08-23,€9.000000,354.420000 kg,35.100000 L,1236 km
BCN,LHR,2019-08-25,€7.000000,297.000000 kg,29.620000 L,1197 km
LHR,STN,2019-08-28,€5.000000,23.680000 kg,5.990000 L,116 km
STN,PUY,2019-08-28,€9.000000,375.910000 kg,36.840000 L,1323 km
PUY,STN,2019-09-13,€9.000000,375.910000 kg,36.840000 L,1323 km
STN,ARN,2019-09-13,€10.000000,406.650000 kg,39.330000 L,1448 km
ARN,STN,2019-10-04,€10.000000,406.650000 kg,39.330000 L,1448 km
