DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
TXL,ORY,2019-01-20,€5.000000,202.000000 kg,21.010000 L,927 km
ORY,TXL,2019-01-25,€5.000000,202.000000 kg,21.010000 L,927 km
TXL,CPH,2019-01-25,€5.000000,94.000000 kg,14.680000 L,406 km
CPH,BMA,2019-01-26,€5.000000,165.930000 kg,20.630000 L,572 km
BMA,TXL,2019-02-16,€6.000000,251.330000 kg,26.800000 L,858 km
TXL,LED,2019-02-16,€8.000000,316.000000 kg,30.880000 L,1366 km
LED,TXL,2019-03-03,€8.000000,316.000000 kg,30.880000 L,1366 km
TXL,BRU,2019-03-08,€6.000000,243.000000 kg,27.840000 L,682 km
BRU,TXL,2019-03-09,€6.000000,243.000000 kg,27.840000 L,682 km
TXL,TFN,2019-03-10,€22.000000,938.070000 kg,83.360000 L,3670 km
TFN,TXL,2019-03-29,€22.000000,938.070000 kg,83.360000 L,3670 km
TXL,ZRH,2019-05-24,€5.000000,177.000000 kg,20.000000 L,710 km
ZRH,TXL,2019-06-24,€5.000000,177.000000 kg,20.000000 L,710 km
TXL,ESS,2019-06-29,€5.000000,145.070000 kg,19.240000 L,500 km
ESS,TXL,2019-07-03,€5.000000,145.070000 kg,19.240000 L,500 km
TXL,LIM,2019-07-05,€89.000000,3854.530000 kg,330.470000 L,11156 km
LIM,TXL,2019-07-25,€89.000000,3854.530000 kg,330.470000 L,11156 km
TXL,IBZ,2019-10-02,€9.000000,386.000000 kg,36.200000 L,1823 km
IBZ,TXL,2019-10-05,€9.000000,386.000000 kg,36.200000 L,1823 km
TXL,SFN,2019-10-12,€97.000000,4202.070000 kg,359.920000 L,11852 km
SFN,NQN,2019-10-26,€8.000000,319.020000 kg,32.240000 L,1093 km
NQN,BRU,2019-11-02,€102.000000,4421.150000 kg,378.490000 L,12291 km
BRU,TXL,2019-12-28,€6.000000,243.000000 kg,27.840000 L,682 km
