DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
SCL,AEP,2019-01-18,€7.000000,286.000000 kg,28.350000 L,1197 km
AEP,SCL,2019-02-08,€7.000000,286.000000 kg,28.350000 L,1197 km
SCL,BCN,2019-02-08,€90.000000,3886.230000 kg,333.150000 L,11219 km
BCN,TXL,2019-02-17,€8.000000,334.000000 kg,31.890000 L,1560 km
TXL,SCL,2019-03-29,€106.000000,4573.510000 kg,391.410000 L,12596 km
SCL,TXL,2019-03-29,€106.000000,4573.510000 kg,391.410000 L,12596 km
TXL,SCL,2019-04-19,€106.000000,4573.510000 kg,391.410000 L,12596 km
SCL,VIE,2019-04-19,€105.000000,4564.770000 kg,390.660000 L,12578 km
VIE,PMI,2019-04-26,€8.000000,314.000000 kg,30.120000 L,1506 km
PMI,TXL,2019-05-08,€9.000000,361.000000 kg,34.170000 L,1703 km
TXL,AGP,2019-05-11,€11.000000,473.000000 kg,43.290000 L,2293 km
AGP,EOH,2019-05-24,€57.000000,2475.860000 kg,213.680000 L,7970 km
EOH,SCL,2019-05-31,€28.000000,1197.970000 kg,105.310000 L,4506 km
SCL,TXL,2019-06-11,€106.000000,4573.510000 kg,391.410000 L,12596 km
TXL,SCL,2019-07-24,€106.000000,4573.510000 kg,391.410000 L,12596 km
SCL,TXL,2019-07-24,€106.000000,4573.510000 kg,391.410000 L,12596 km
TXL,BCN,2019-07-26,€8.000000,334.000000 kg,31.890000 L,1560 km
BCN,PRG,2019-08-02,€9.000000,365.000000 kg,35.180000 L,1408 km
PRG,SCL,2019-08-31,€105.000000,4547.640000 kg,389.210000 L,12544 km
SCL,LIM,2019-08-31,€15.000000,637.000000 kg,57.970000 L,2509 km
LIM,SCL,2019-09-16,€15.000000,637.000000 kg,57.970000 L,2509 km
SCL,TXL,2019-09-16,€106.000000,4573.510000 kg,391.410000 L,12596 km
TXL,SXF,2019-09-26,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,SCL,2019-10-11,€106.000000,4578.290000 kg,391.810000 L,12605 km
SCL,TNT,2019-10-11,€100.000000,4335.180000 kg,371.210000 L,12118 km
TNT,SCL,2019-10-25,€100.000000,4335.180000 kg,371.210000 L,12118 km
SCL,LGA,2019-10-25,€61.000000,2617.750000 kg,225.690000 L,8329 km
LGA,SCL,2019-11-15,€61.000000,2617.750000 kg,225.690000 L,8329 km
