DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
TXL,OBF,2019-01-26,€5.000000,164.930000 kg,20.570000 L,569 km
OBF,TXL,2019-01-27,€5.000000,164.930000 kg,20.570000 L,569 km
SCL,AEP,2019-03-16,€7.000000,286.000000 kg,28.350000 L,1197 km
AEP,TLS,2019-03-23,€83.000000,3602.430000 kg,309.100000 L,10651 km
TLS,TXL,2019-04-19,€9.000000,389.840000 kg,37.970000 L,1379 km
TXL,TBS,2019-04-19,€17.000000,705.980000 kg,63.980000 L,2689 km
TBS,TXL,2019-04-20,€17.000000,705.980000 kg,63.980000 L,2689 km
TXL,LEJ,2019-05-04,€5.000000,39.430000 kg,9.980000 L,193 km
LEJ,TXL,2019-05-24,€5.000000,39.430000 kg,9.980000 L,193 km
TXL,ERF,2019-05-30,€5.000000,61.590000 kg,13.880000 L,288 km
ERF,TLL,2019-05-31,€9.000000,378.690000 kg,37.070000 L,1334 km
TLL,TXL,2019-06-14,€8.000000,338.000000 kg,34.170000 L,1093 km
TXL,LGA,2019-06-14,€44.000000,1885.170000 kg,163.630000 L,6421 km
LGA,ZRH,2019-06-28,€43.000000,1865.050000 kg,161.920000 L,6365 km
ZRH,TXL,2019-06-29,€5.000000,177.000000 kg,20.000000 L,710 km
TXL,IEV,2019-08-03,€9.000000,360.520000 kg,35.600000 L,1261 km
IEV,TXL,2019-08-09,€9.000000,360.520000 kg,35.600000 L,1261 km
TXL,HAM,2019-08-31,€5.000000,58.000000 kg,14.680000 L,299 km
HAM,TXL,2019-09-06,€5.000000,58.000000 kg,14.680000 L,299 km
TXL,AMS,2019-09-06,€5.000000,183.000000 kg,21.770000 L,628 km
AMS,TXL,2019-09-21,€5.000000,183.000000 kg,21.770000 L,628 km
SSN,SZX,2019-09-30,€14.000000,575.190000 kg,53.060000 L,2136 km
SZX,SSN,2019-10-02,€14.000000,575.190000 kg,53.060000 L,2136 km
TXL,LBG,2019-11-01,€7.000000,268.020000 kg,28.130000 L,911 km
LBG,LIN,2019-11-02,€5.000000,201.990000 kg,23.040000 L,697 km
LIN,LED,2019-11-03,€14.000000,582.950000 kg,53.710000 L,2168 km
LED,TXL,2019-11-30,€8.000000,316.000000 kg,30.880000 L,1366 km
TXL,TBS,2019-12-20,€17.000000,705.980000 kg,63.980000 L,2689 km
TBS,TXL,2019-12-21,€17.000000,705.980000 kg,63.980000 L,2689 km
