DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
LAX,BFL,2019-05-08,€5.000000,41.000000 kg,10.370000 L,225 km
BFL,LAX,2019-06-15,€5.000000,41.000000 kg,10.370000 L,225 km
LAX,ABQ,2019-06-15,€9.000000,374.000000 kg,37.460000 L,1136 km
ABQ,LAX,2019-08-09,€9.000000,374.000000 kg,37.460000 L,1136 km
LAX,SFO,2019-08-09,€5.000000,147.000000 kg,17.720000 L,594 km
SFO,PDX,2019-08-10,€7.000000,263.000000 kg,27.590000 L,935 km
PDX,BFI,2019-08-11,€5.000000,56.030000 kg,13.370000 L,268 km
BFI,BOI,2019-08-12,€5.000000,201.910000 kg,23.040000 L,697 km
BOI,HLN,2019-08-14,€5.000000,151.890000 kg,19.690000 L,523 km
HLN,SLC,2019-08-15,€6.000000,231.000000 kg,26.320000 L,695 km
SLC,DEN,2019-08-16,€5.000000,198.000000 kg,22.780000 L,676 km
DEN,OKC,2019-08-18,€6.000000,243.000000 kg,26.070000 L,845 km
OKC,MSP,2019-08-20,€9.000000,387.000000 kg,38.480000 L,1167 km
MSP,MSN,2019-08-21,€5.000000,112.000000 kg,17.210000 L,414 km
MSN,LAX,2019-08-24,€17.000000,723.510000 kg,65.450000 L,2763 km
LAX,DET,2019-08-24,€20.000000,841.550000 kg,75.300000 L,3262 km
DET,YTZ,2019-08-25,€5.000000,91.440000 kg,16.030000 L,373 km
YTZ,YHU,2019-08-26,€5.000000,148.660000 kg,19.480000 L,512 km
YHU,BOS,2019-08-27,€5.000000,152.480000 kg,19.730000 L,525 km
BOS,PHL,2019-08-29,€5.000000,132.000000 kg,17.460000 L,499 km
PHL,LGA,2019-08-30,€5.000000,43.000000 kg,10.880000 L,203 km
LGA,ALB,2019-08-31,€5.000000,54.000000 kg,13.670000 L,267 km
ALB,PIT,2019-09-02,€5.000000,180.950000 kg,21.640000 L,624 km
PIT,BUR,2019-09-04,€21.000000,895.130000 kg,79.770000 L,3488 km
BUR,CLT,2019-09-06,€21.000000,887.260000 kg,79.120000 L,3455 km
CLT,RIC,2019-09-07,€5.000000,121.000000 kg,16.960000 L,462 km
RIC,LAX,2019-09-10,€23.000000,958.080000 kg,85.030000 L,3755 km
LAX,RDU,2019-09-10,€19.000000,810.000000 kg,71.890000 L,3642 km
RDU,ATL,2019-09-11,€5.000000,162.000000 kg,19.240000 L,620 km
ATL,NBG,2019-09-12,€5.000000,209.360000 kg,23.530000 L,723 km
NBG,HOU,2019-09-13,€5.000000,160.860000 kg,20.290000 L,555 km
HOU,AUS,2019-09-14,€5.000000,62.680000 kg,13.980000 L,292 km
AUS,DAL,2019-09-15,€5.000000,79.510000 kg,15.320000 L,345 km
DAL,LAX,2019-09-18,€13.000000,555.510000 kg,51.420000 L,2052 km
LAX,PHX,2019-09-18,€5.000000,171.000000 kg,20.000000 L,644 km
PHX,SAN,2019-09-19,€5.000000,122.000000 kg,15.440000 L,538 km
SAN,HHR,2019-09-20,€5.000000,45.010000 kg,11.390000 L,220 km
HHR,LAX,2019-09-26,€5.000000,11.210000 kg,2.830000 L,54 km
