DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
SFO,AUH,2019-01-11,€112.000000,4859.380000 kg,415.640000 L,13168 km
AUH,VIY,2019-01-16,€35.000000,1484.750000 kg,129.650000 L,5305 km
VIY,ELS,2019-01-25,€71.000000,3082.840000 kg,265.070000 L,9508 km
ELS,GOI,2019-01-25,€52.000000,2226.770000 kg,192.590000 L,7338 km
GOI,ELS,2019-02-14,€52.000000,2226.770000 kg,192.590000 L,7338 km
ELS,TXL,2019-02-14,€73.000000,3152.740000 kg,270.990000 L,9685 km
TXL,ZRH,2019-02-15,€5.000000,177.000000 kg,20.000000 L,710 km
ZRH,HAM,2019-02-16,€5.000000,199.000000 kg,22.270000 L,742 km
HAM,ELS,2019-02-22,€75.000000,3218.750000 kg,276.580000 L,9852 km
ELS,PMI,2019-02-22,€63.000000,2699.120000 kg,232.580000 L,8535 km
PMI,ELS,2019-02-28,€63.000000,2699.120000 kg,232.580000 L,8535 km
ELS,LCY,2019-02-28,€74.000000,3216.920000 kg,276.430000 L,9847 km
LCY,ELS,2019-03-08,€74.000000,3216.920000 kg,276.430000 L,9847 km
TNT,LGA,2019-04-05,€45.000000,1953.210000 kg,169.400000 L,6610 km
LGA,OSL,2019-04-12,€40.000000,1721.880000 kg,149.770000 L,5966 km
OSL,ELS,2019-04-19,€82.000000,3547.730000 kg,304.460000 L,10542 km
ELS,MEB,2019-04-19,€75.000000,3223.950000 kg,277.020000 L,9865 km
SYD,ELS,2019-05-18,€82.000000,3559.850000 kg,305.490000 L,10566 km
ELS,AMS,2019-05-18,€74.000000,3203.740000 kg,275.310000 L,9814 km
AMS,ELS,2019-05-24,€74.000000,3203.740000 kg,275.310000 L,9814 km
ELS,SWF,2019-05-24,€114.000000,4943.120000 kg,422.730000 L,13336 km
SWF,DET,2019-05-27,€6.000000,232.840000 kg,25.310000 L,800 km
DET,KVA,2019-06-05,€60.000000,2600.870000 kg,224.260000 L,8286 km
KVA,ELS,2019-06-14,€60.000000,2605.080000 kg,224.620000 L,8297 km
ELS,LCY,2019-06-14,€74.000000,3216.920000 kg,276.430000 L,9847 km
LCY,VIY,2019-06-15,€5.000000,98.670000 kg,16.470000 L,390 km
VIY,ELS,2019-07-05,€71.000000,3082.840000 kg,265.070000 L,9508 km
ELS,ZRH,2019-07-05,€69.000000,2967.720000 kg,255.320000 L,9216 km
ZRH,ELS,2019-07-11,€69.000000,2967.720000 kg,255.320000 L,9216 km
ELS,BCN,2019-07-11,€64.000000,2778.610000 kg,239.310000 L,8737 km
BCN,DPS,2019-07-13,€106.000000,4592.950000 kg,393.050000 L,12635 km
DPS,BCN,2019-07-20,€106.000000,4592.950000 kg,393.050000 L,12635 km
BCN,ELS,2019-07-31,€64.000000,2778.610000 kg,239.310000 L,8737 km
ELS,GVA,2019-07-31,€68.000000,2938.330000 kg,252.840000 L,9141 km
GVA,ELS,2019-08-09,€68.000000,2938.330000 kg,252.840000 L,9141 km
ELS,IBZ,2019-08-09,€62.000000,2688.980000 kg,231.720000 L,8510 km
IBZ,TNT,2019-08-10,€8.000000,341.250000 kg,34.040000 L,1183 km
TNT,DEN,2019-08-16,€63.000000,2728.530000 kg,235.070000 L,8610 km
DEN,SFO,2019-08-18,€9.000000,388.000000 kg,36.960000 L,1603 km
SFO,GDL,2019-08-23,€17.000000,704.640000 kg,63.870000 L,2683 km
LIS,ELS,2019-09-12,€66.000000,2846.630000 kg,245.070000 L,8909 km
ELS,FAO,2019-09-12,€64.000000,2759.560000 kg,237.700000 L,8688 km
FAO,ELS,2019-09-20,€64.000000,2759.560000 kg,237.700000 L,8688 km
ELS,LCY,2019-09-20,€74.000000,3216.920000 kg,276.430000 L,9847 km
LCY,TXL,2019-09-21,€7.000000,284.090000 kg,29.420000 L,962 km
TXL,ELS,2019-09-29,€73.000000,3152.740000 kg,270.990000 L,9685 km
ELS,BCN,2019-09-29,€64.000000,2778.610000 kg,239.310000 L,8737 km
BCN,ELS,2019-10-05,€64.000000,2778.610000 kg,239.310000 L,8737 km
ELS,SPG,2019-10-05,€116.000000,5033.810000 kg,430.420000 L,13517 km
SPG,LGA,2019-10-12,€11.000000,467.120000 kg,44.230000 L,1692 km
LGA,YHU,2019-10-13,€5.000000,179.030000 kg,21.510000 L,618 km
YHU,ODB,2019-10-18,€38.000000,1628.290000 kg,141.830000 L,5705 km
ODB,ELS,2019-11-02,€64.000000,2739.380000 kg,235.990000 L,8637 km
ELS,LCY,2019-11-02,€74.000000,3216.920000 kg,276.430000 L,9847 km
LCY,ELS,2019-11-08,€74.000000,3216.920000 kg,276.430000 L,9847 km
ELS,LGA,2019-11-08,€114.000000,4923.280000 kg,421.050000 L,13296 km
LGA,PHL,2019-11-09,€5.000000,43.000000 kg,10.880000 L,203 km
PHL,SNA,2019-11-12,€23.000000,986.940000 kg,87.440000 L,3877 km
SNA,YVR,2019-11-15,€12.000000,501.580000 kg,47.020000 L,1832 km
YVR,SLC,2019-11-16,€10.000000,395.000000 kg,38.480000 L,1331 km
SLC,SFO,2019-11-17,€7.000000,302.000000 kg,30.880000 L,1012 km
SFO,DXB,2019-11-28,€111.000000,4817.970000 kg,412.130000 L,13085 km
DXB,IST,2019-11-30,€18.000000,771.000000 kg,69.110000 L,3056 km
IST,ANK,2019-12-07,€5.000000,109.670000 kg,17.120000 L,416 km
ANK,LCY,2019-12-21,€18.000000,746.590000 kg,67.370000 L,2860 km
LCY,ELS,2019-12-28,€74.000000,3216.920000 kg,276.430000 L,9847 km
