DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
BCN,TXL,2019-01-04,€8.000000,334.000000 kg,31.890000 L,1560 km
TXL,BCN,2019-01-19,€8.000000,334.000000 kg,31.890000 L,1560 km
BCN,ANR,2019-01-19,€8.000000,336.820000 kg,33.680000 L,1165 km
ANR,BCN,2019-02-22,€8.000000,336.820000 kg,33.680000 L,1165 km
BCN,HND,2019-02-22,€82.000000,3528.920000 kg,302.870000 L,10504 km
HND,QPG,2019-02-23,€35.000000,1504.630000 kg,131.330000 L,5361 km
QPG,BCN,2019-03-22,€87.000000,3753.410000 kg,321.890000 L,10953 km
BCN,CGH,2019-03-22,€65.000000,2824.690000 kg,243.220000 L,8853 km
CGH,TNT,2019-03-25,€74.000000,3177.920000 kg,273.120000 L,9748 km
TNT,VLC,2019-04-06,€9.000000,356.840000 kg,35.300000 L,1246 km
VLC,BCN,2019-04-12,€5.000000,76.000000 kg,14.680000 L,343 km
BCN,SFO,2019-04-12,€73.000000,3137.830000 kg,269.730000 L,9647 km
SFO,YHU,2019-04-19,€24.000000,1042.130000 kg,92.090000 L,4072 km
YHU,LCY,2019-04-27,€35.000000,1490.670000 kg,130.150000 L,5322 km
LCY,BCN,2019-05-24,€9.000000,374.000000 kg,37.210000 L,1194 km
BCN,BEY,2019-05-24,€19.000000,801.100000 kg,71.920000 L,3091 km
BEY,MST,2019-06-07,€19.000000,805.610000 kg,72.300000 L,3110 km
MST,BCN,2019-06-14,€8.000000,334.930000 kg,33.530000 L,1157 km
BCN,TXL,2019-06-21,€8.000000,334.000000 kg,31.890000 L,1560 km
TXL,BCN,2019-07-06,€8.000000,334.000000 kg,31.890000 L,1560 km
IST,TNT,2019-07-27,€10.000000,434.020000 kg,41.550000 L,1558 km
TNT,PZY,2019-08-09,€5.000000,183.150000 kg,21.780000 L,632 km
PZY,BCN,2019-08-18,€10.000000,427.610000 kg,41.030000 L,1532 km
BCN,ZAD,2019-08-18,€8.000000,340.030000 kg,33.940000 L,1178 km
ZAD,BCN,2019-08-23,€8.000000,340.030000 kg,33.940000 L,1178 km
BCN,DXB,2019-08-23,€34.000000,1457.170000 kg,127.300000 L,5228 km
DXB,BCN,2019-09-13,€34.000000,1457.170000 kg,127.300000 L,5228 km
BCN,CPH,2019-09-13,€10.000000,421.000000 kg,39.490000 L,1828 km
CPH,BCN,2019-09-21,€10.000000,421.000000 kg,39.490000 L,1828 km
BCN,ZRH,2019-09-21,€5.000000,211.000000 kg,22.270000 L,905 km
ZRH,BCN,2019-10-11,€5.000000,211.000000 kg,22.270000 L,905 km
BCN,LIL,2019-10-11,€8.000000,316.880000 kg,32.070000 L,1084 km
LIL,BCN,2019-11-01,€8.000000,316.880000 kg,32.070000 L,1084 km
BCN,ANR,2019-11-01,€8.000000,336.820000 kg,33.680000 L,1165 km
ANR,BCN,2019-11-15,€8.000000,336.820000 kg,33.680000 L,1165 km
BCN,AMS,2019-11-15,€9.000000,381.000000 kg,37.460000 L,1291 km
AMS,BCN,2019-11-22,€9.000000,381.000000 kg,37.460000 L,1291 km
BCN,BOD,2019-11-22,€5.000000,166.000000 kg,21.770000 L,502 km
BOD,BCN,2019-12-13,€5.000000,166.000000 kg,21.770000 L,502 km
BCN,IST,2019-12-13,€13.000000,534.000000 kg,48.860000 L,2279 km
IST,SKU,2019-12-14,€5.000000,141.660000 kg,19.040000 L,492 km
SKU,BCN,2019-12-27,€13.000000,537.230000 kg,49.910000 L,1976 km
