DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
LHR,MEL,2019-03-08,€41.000000,1767.000000 kg,154.170000 L,5564 km
MEL,LHR,2019-05-24,€112.000000,4837.000000 kg,414.430000 L,11694 km
LHR,MRS,2019-05-24,€8.000000,306.120000 kg,31.190000 L,1040 km
MRS,BRS,2019-05-25,€8.000000,324.790000 kg,32.700000 L,1116 km
BRS,LHR,2019-07-05,€5.000000,42.240000 kg,10.690000 L,207 km
LHR,LTN,2019-07-05,€5.000000,19.230000 kg,4.860000 L,94 km
LTN,LHR,2019-07-12,€5.000000,19.230000 kg,4.860000 L,94 km
LHR,BQH,2019-08-04,€5.000000,18.150000 kg,4.590000 L,89 km
BQH,LHR,2019-09-04,€5.000000,18.150000 kg,4.590000 L,89 km
LHR,PUY,2019-09-04,€9.000000,380.300000 kg,37.200000 L,1341 km
PUY,LHR,2019-09-27,€9.000000,380.300000 kg,37.200000 L,1341 km
LHR,MAN,2019-09-27,€5.000000,49.000000 kg,12.400000 L,291 km
MAN,SEN,2019-09-28,€5.000000,74.020000 kg,14.990000 L,332 km
SEN,LHR,2019-10-03,€5.000000,26.710000 kg,6.760000 L,130 km
LHR,MAN,2019-10-03,€5.000000,49.000000 kg,12.400000 L,291 km
MAN,LHR,2019-10-05,€5.000000,49.000000 kg,12.400000 L,291 km
LHR,MAN,2019-11-22,€5.000000,49.000000 kg,12.400000 L,291 km
MAN,LHR,2019-12-06,€5.000000,49.000000 kg,12.400000 L,291 km
LHR,LGA,2019-12-06,€37.000000,1587.960000 kg,138.400000 L,5593 km
LGA,LHR,2019-12-13,€37.000000,1587.960000 kg,138.400000 L,5593 km
