DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
LDY,WAW,2019-01-16,€13.000000,523.570000 kg,48.800000 L,1921 km
WAW,LDY,2019-01-31,€13.000000,523.570000 kg,48.800000 L,1921 km
LDY,NCL,2019-01-31,€5.000000,101.610000 kg,16.640000 L,397 km
NCL,MAN,2019-02-01,€5.000000,49.160000 kg,12.440000 L,240 km
MAN,EMA,2019-02-02,€5.000000,27.670000 kg,7.000000 L,135 km
EMA,LDY,2019-02-08,€5.000000,146.360000 kg,19.330000 L,504 km
LDY,LCY,2019-02-08,€5.000000,194.040000 kg,22.510000 L,670 km
LCY,BRS,2019-02-09,€5.000000,49.700000 kg,12.580000 L,243 km
BRS,LDY,2019-02-16,€5.000000,160.470000 kg,20.270000 L,553 km
LDY,LBA,2019-02-16,€5.000000,115.090000 kg,17.450000 L,429 km
LBA,LDY,2019-02-22,€5.000000,115.090000 kg,17.450000 L,429 km
LDY,PRG,2019-02-22,€11.000000,445.380000 kg,42.470000 L,1604 km
PRG,WAW,2019-02-23,€5.000000,176.000000 kg,21.770000 L,570 km
WAW,LDY,2019-03-01,€13.000000,523.570000 kg,48.800000 L,1921 km
LDY,TXL,2019-03-01,€10.000000,399.040000 kg,38.720000 L,1417 km
TXL,LDY,2019-03-28,€10.000000,399.040000 kg,38.720000 L,1417 km
LDY,TNT,2019-03-28,€11.000000,463.050000 kg,43.900000 L,1676 km
TNT,PSP,2019-04-12,€74.000000,3180.750000 kg,273.360000 L,9756 km
PSP,ATL,2019-04-20,€18.000000,780.990000 kg,70.250000 L,3006 km
ATL,LDY,2019-05-18,€43.000000,1836.100000 kg,159.460000 L,6284 km
LDY,HHR,2019-05-18,€60.000000,2575.600000 kg,222.120000 L,8222 km
HHR,IBZ,2019-05-31,€75.000000,3228.720000 kg,277.430000 L,9877 km
IBZ,LDY,2019-06-07,€13.000000,533.240000 kg,49.580000 L,1960 km
LDY,IBZ,2019-06-07,€13.000000,533.240000 kg,49.580000 L,1960 km
IBZ,BHX,2019-06-08,€11.000000,439.480000 kg,41.990000 L,1580 km
BHX,LDY,2019-06-14,€5.000000,147.350000 kg,19.390000 L,508 km
LDY,IBZ,2019-06-14,€13.000000,533.240000 kg,49.580000 L,1960 km
IBZ,LDY,2019-06-21,€13.000000,533.240000 kg,49.580000 L,1960 km
LDY,IBZ,2019-06-21,€13.000000,533.240000 kg,49.580000 L,1960 km
IBZ,LDY,2019-07-12,€13.000000,533.240000 kg,49.580000 L,1960 km
LDY,LGA,2019-07-12,€33.000000,1397.650000 kg,122.250000 L,5063 km
LGA,IBZ,2019-07-18,€43.000000,1833.160000 kg,159.210000 L,6276 km
IBZ,LDY,2019-07-26,€13.000000,533.240000 kg,49.580000 L,1960 km
LDY,IBZ,2019-07-26,€13.000000,533.240000 kg,49.580000 L,1960 km
IBZ,LDY,2019-08-02,€13.000000,533.240000 kg,49.580000 L,1960 km
LDY,IBZ,2019-08-02,€13.000000,533.240000 kg,49.580000 L,1960 km
IBZ,LDY,2019-08-09,€13.000000,533.240000 kg,49.580000 L,1960 km
LDY,IBZ,2019-08-09,€13.000000,533.240000 kg,49.580000 L,1960 km
IBZ,LDY,2019-08-16,€13.000000,533.240000 kg,49.580000 L,1960 km
LDY,SFO,2019-08-16,€58.000000,2519.170000 kg,217.340000 L,8079 km
SFO,HHR,2019-08-17,€5.000000,173.730000 kg,21.150000 L,599 km
HHR,LPL,2019-08-22,€63.000000,2708.780000 kg,233.400000 L,8560 km
LPL,IBZ,2019-08-23,€11.000000,467.000000 kg,44.220000 L,1692 km
IBZ,LDY,2019-09-01,€13.000000,533.240000 kg,49.580000 L,1960 km
LDY,SAN,2019-09-01,€60.000000,2594.780000 kg,223.750000 L,8271 km
SAN,LDY,2019-09-20,€60.000000,2594.780000 kg,223.750000 L,8271 km
LDY,IBZ,2019-09-20,€13.000000,533.240000 kg,49.580000 L,1960 km
IBZ,LDY,2019-09-27,€13.000000,533.240000 kg,49.580000 L,1960 km
LDY,BEV,2019-09-27,€26.000000,1111.260000 kg,97.950000 L,4265 km
BEV,HRT,2019-09-28,€23.000000,985.800000 kg,87.350000 L,3872 km
HRT,LDY,2019-10-11,€5.000000,122.440000 kg,17.890000 L,446 km
LDY,MAN,2019-10-11,€5.000000,111.080000 kg,17.210000 L,419 km
MAN,LDY,2019-10-17,€5.000000,111.080000 kg,17.210000 L,419 km
LDY,AMS,2019-10-17,€7.000000,261.950000 kg,27.650000 L,892 km
AMS,LCY,2019-10-19,€5.000000,103.000000 kg,17.210000 L,383 km
LCY,LDY,2019-11-01,€5.000000,194.040000 kg,22.510000 L,670 km
LDY,TNT,2019-11-01,€11.000000,463.050000 kg,43.900000 L,1676 km
TNT,LDY,2019-11-22,€11.000000,463.050000 kg,43.900000 L,1676 km
LDY,GLA,2019-11-22,€5.000000,52.410000 kg,13.040000 L,255 km
GLA,LDY,2019-11-30,€5.000000,52.410000 kg,13.040000 L,255 km
LDY,LPL,2019-11-30,€5.000000,97.590000 kg,16.400000 L,388 km
LPL,LDY,2019-12-06,€5.000000,97.590000 kg,16.400000 L,388 km
NAN,HND,2019-12-14,€50.000000,2168.720000 kg,187.670000 L,7191 km
HND,ORL,2019-12-27,€96.000000,4151.790000 kg,355.660000 L,11751 km
ABQ,LDY,2019-12-31,€53.000000,2285.580000 kg,197.570000 L,7487 km
