DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
ORD,SAN,2019-01-18,€16.000000,666.000000 kg,60.000000 L,2815 km
SAN,LAS,2019-01-19,€5.000000,128.000000 kg,17.720000 L,464 km
LAS,ORD,2019-01-25,€14.000000,578.000000 kg,52.650000 L,2480 km
ORD,COR,2019-01-25,€63.000000,2710.030000 kg,233.510000 L,8563 km
COR,ORD,2019-02-01,€63.000000,2710.030000 kg,233.510000 L,8563 km
ORD,BHX,2019-02-01,€43.000000,1831.700000 kg,159.090000 L,6272 km
BHX,LBA,2019-02-02,€5.000000,42.400000 kg,10.730000 L,207 km
LBA,SCL,2019-02-15,€97.000000,4184.520000 kg,358.440000 L,11817 km
SCL,BRU,2019-02-16,€99.000000,4263.760000 kg,365.150000 L,11975 km
BRU,DEN,2019-03-02,€57.000000,2442.530000 kg,210.860000 L,7885 km
DEN,ORD,2019-03-15,€9.000000,373.000000 kg,35.690000 L,1474 km
ORD,LBG,2019-03-15,€46.000000,1991.630000 kg,172.660000 L,6717 km
LBG,ORD,2019-03-30,€46.000000,1991.630000 kg,172.660000 L,6717 km
ORD,TNT,2019-03-30,€53.000000,2266.320000 kg,195.930000 L,7439 km
TNT,ORD,2019-04-17,€53.000000,2266.320000 kg,195.930000 L,7439 km
ORD,MAD,2019-04-17,€48.000000,2074.000000 kg,179.740000 L,6792 km
MAD,EDI,2019-04-20,€10.000000,401.000000 kg,37.720000 L,1769 km
EDI,BGY,2019-04-21,€10.000000,422.560000 kg,40.620000 L,1512 km
BGY,LYN,2019-04-26,€5.000000,111.180000 kg,17.210000 L,420 km
LYN,BCN,2019-05-10,€5.000000,172.150000 kg,21.050000 L,594 km
BCN,LIS,2019-05-11,€7.000000,298.000000 kg,30.370000 L,1041 km
LIS,DUB,2019-05-24,€11.000000,468.280000 kg,44.320000 L,1697 km
DUB,LCY,2019-05-26,€5.000000,196.000000 kg,25.060000 L,526 km
LCY,BHD,2019-06-01,€5.000000,167.020000 kg,20.710000 L,576 km
BHD,YHU,2019-06-07,€31.000000,1312.960000 kg,115.070000 L,4827 km
YHU,LAS,2019-06-09,€22.000000,920.900000 kg,81.930000 L,3597 km
LAS,ORD,2019-06-22,€14.000000,578.000000 kg,52.650000 L,2480 km
ORD,ATL,2019-06-22,€7.000000,293.000000 kg,30.120000 L,1024 km
ATL,ORD,2019-06-28,€7.000000,293.000000 kg,30.120000 L,1024 km
ORD,YHU,2019-06-28,€8.000000,347.760000 kg,34.560000 L,1209 km
YHU,TNT,2019-06-29,€43.000000,1850.420000 kg,160.680000 L,6324 km
TNT,ORD,2019-07-12,€53.000000,2266.320000 kg,195.930000 L,7439 km
ORD,NHT,2019-07-12,€44.000000,1878.010000 kg,163.020000 L,6401 km
NHT,TFS,2019-07-13,€18.000000,778.230000 kg,70.020000 L,2994 km
TFS,LGA,2019-07-19,€35.000000,1519.260000 kg,132.570000 L,5401 km
LGA,ORD,2019-08-11,€8.000000,343.000000 kg,33.920000 L,1226 km
ORD,MLA,2019-08-11,€61.000000,2635.040000 kg,227.160000 L,8373 km
MLA,DCA,2019-08-16,€56.000000,2401.950000 kg,207.420000 L,7782 km
