DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
RKV,WAW,2019-01-18,€17.000000,738.700000 kg,66.710000 L,2827 km
WAW,RKV,2019-02-14,€17.000000,738.700000 kg,66.710000 L,2827 km
RKV,GDN,2019-02-14,€16.000000,671.190000 kg,61.080000 L,2542 km
GDN,RKV,2019-02-28,€16.000000,671.190000 kg,61.080000 L,2542 km
RKV,LHR,2019-02-28,€13.000000,526.020000 kg,49.000000 L,1931 km
LHR,RKV,2019-04-19,€13.000000,526.020000 kg,49.000000 L,1931 km
RKV,CZM,2019-04-19,€47.000000,2027.180000 kg,175.670000 L,6816 km
CZM,AMS,2019-04-20,€61.000000,2641.600000 kg,227.710000 L,8390 km
AMS,RKV,2019-04-25,€13.000000,559.260000 kg,51.730000 L,2068 km
RKV,BTS,2019-05-09,€18.000000,775.630000 kg,69.800000 L,2983 km
BTS,BEG,2019-05-11,€5.000000,144.250000 kg,19.190000 L,498 km
BEG,RKV,2019-07-06,€21.000000,881.510000 kg,78.640000 L,3431 km
RKV,BCN,2019-07-06,€19.000000,785.140000 kg,70.590000 L,3023 km
BCN,RKV,2019-08-17,€19.000000,785.140000 kg,70.590000 L,3023 km
RKV,KSC,2019-08-17,€19.000000,810.460000 kg,72.710000 L,3130 km
KSC,BUD,2019-08-18,€5.000000,50.370000 kg,12.750000 L,246 km
BUD,RKV,2019-09-14,€19.000000,812.860000 kg,72.910000 L,3141 km
RKV,CGN,2019-09-14,€15.000000,613.240000 kg,56.240000 L,2296 km
CGN,RKV,2019-09-17,€15.000000,613.240000 kg,56.240000 L,2296 km
RKV,AMS,2019-09-17,€13.000000,559.260000 kg,51.730000 L,2068 km
AMS,SKG,2019-09-19,€13.000000,532.250000 kg,49.500000 L,1956 km
SKG,RKV,2019-12-07,€24.000000,1002.400000 kg,88.730000 L,3942 km
