DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
CWL,LCY,2019-02-09,€5.000000,61.260000 kg,13.850000 L,287 km
LCY,CWL,2019-03-29,€5.000000,61.260000 kg,13.850000 L,287 km
CWL,POZ,2019-03-29,€10.000000,403.740000 kg,39.100000 L,1436 km
POZ,CWL,2019-04-08,€10.000000,403.740000 kg,39.100000 L,1436 km
CWL,INN,2019-04-08,€8.000000,347.570000 kg,34.550000 L,1208 km
INN,CWL,2019-05-25,€8.000000,347.570000 kg,34.550000 L,1208 km
CWL,NCL,2019-05-25,€5.000000,92.000000 kg,23.290000 L,470 km
NCL,CWL,2019-06-08,€5.000000,92.000000 kg,23.290000 L,470 km
CWL,BHX,2019-06-08,€5.000000,42.920000 kg,10.860000 L,210 km
BHX,CWL,2019-07-05,€5.000000,42.920000 kg,10.860000 L,210 km
CWL,OSR,2019-07-05,€11.000000,438.910000 kg,41.940000 L,1578 km
OSR,CWL,2019-07-12,€11.000000,438.910000 kg,41.940000 L,1578 km
CWL,CRL,2019-07-12,€5.000000,175.790000 kg,21.290000 L,606 km
CRL,CWL,2019-07-18,€5.000000,175.790000 kg,21.290000 L,606 km
CWL,VIE,2019-07-18,€10.000000,420.230000 kg,40.430000 L,1502 km
VIE,CWL,2019-07-25,€10.000000,420.230000 kg,40.430000 L,1502 km
CWL,LCY,2019-08-16,€5.000000,61.260000 kg,13.850000 L,287 km
LCY,CWL,2019-08-22,€5.000000,61.260000 kg,13.850000 L,287 km
CWL,LPL,2019-08-22,€5.000000,55.870000 kg,13.350000 L,267 km
LPL,CWL,2019-10-18,€5.000000,55.870000 kg,13.350000 L,267 km
CWL,LBA,2019-10-18,€5.000000,80.460000 kg,15.380000 L,347 km
LBA,BRS,2019-10-19,€5.000000,69.000000 kg,17.460000 L,335 km
BRS,CWL,2019-11-15,€5.000000,19.180000 kg,4.850000 L,94 km
CWL,MAN,2019-11-15,€5.000000,59.030000 kg,13.650000 L,279 km
MAN,CWL,2019-11-22,€5.000000,59.030000 kg,13.650000 L,279 km
CWL,MAN,2019-11-22,€5.000000,59.030000 kg,13.650000 L,279 km
MAN,CWL,2019-11-28,€5.000000,59.030000 kg,13.650000 L,279 km
CWL,LCY,2019-11-28,€5.000000,61.260000 kg,13.850000 L,287 km
LCY,CWL,2019-12-31,€5.000000,61.260000 kg,13.850000 L,287 km
