DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
TXL,ZRH,2019-01-12,€5.000000,177.000000 kg,20.000000 L,710 km
ZRH,TXL,2019-01-19,€5.000000,177.000000 kg,20.000000 L,710 km
TXL,MPL,2019-01-19,€9.000000,361.510000 kg,35.680000 L,1265 km
MPL,TXL,2019-01-24,€9.000000,361.510000 kg,35.680000 L,1265 km
TXL,LHR,2019-02-15,€7.000000,263.000000 kg,27.080000 L,995 km
LHR,LUG,2019-02-16,€7.000000,286.320000 kg,29.600000 L,969 km
LUG,TXL,2019-02-23,€6.000000,246.630000 kg,26.420000 L,843 km
TXL,HAJ,2019-02-23,€5.000000,63.160000 kg,14.030000 L,294 km
HAJ,TXL,2019-03-03,€5.000000,63.160000 kg,14.030000 L,294 km
TXL,LIS,2019-03-03,€15.000000,627.560000 kg,57.430000 L,2357 km
LIS,TXL,2019-03-16,€15.000000,627.560000 kg,57.430000 L,2357 km
TXL,VIC,2019-03-16,€6.000000,245.430000 kg,26.320000 L,839 km
VIC,TXL,2019-03-22,€6.000000,245.430000 kg,26.320000 L,839 km
TXL,BRU,2019-03-22,€6.000000,243.000000 kg,27.840000 L,682 km
BRU,TXL,2019-04-06,€6.000000,243.000000 kg,27.840000 L,682 km
TXL,LJU,2019-04-06,€6.000000,226.720000 kg,24.820000 L,780 km
LJU,TXL,2019-04-13,€6.000000,226.720000 kg,24.820000 L,780 km
TXL,FLR,2019-04-13,€8.000000,305.430000 kg,31.140000 L,1038 km
FLR,TXL,2019-04-17,€8.000000,305.430000 kg,31.140000 L,1038 km
TXL,CPH,2019-04-17,€5.000000,94.000000 kg,14.680000 L,406 km
CPH,BCN,2019-04-18,€10.000000,421.000000 kg,39.490000 L,1828 km
BCN,ORY,2019-04-19,€8.000000,322.000000 kg,34.170000 L,876 km
ORY,TXL,2019-04-27,€5.000000,202.000000 kg,21.010000 L,927 km
TXL,LHR,2019-04-27,€7.000000,263.000000 kg,27.080000 L,995 km
LHR,TXL,2019-05-01,€7.000000,263.000000 kg,27.080000 L,995 km
TXL,MAD,2019-05-10,€11.000000,455.000000 kg,42.530000 L,1901 km
MAD,TXL,2019-05-18,€11.000000,455.000000 kg,42.530000 L,1901 km
TXL,HND,2019-05-18,€67.000000,2879.910000 kg,247.890000 L,8993 km
HND,TXL,2019-06-09,€67.000000,2879.910000 kg,247.890000 L,8993 km
TXL,AMS,2019-06-09,€5.000000,183.000000 kg,21.770000 L,628 km
AMS,TXL,2019-06-12,€5.000000,183.000000 kg,21.770000 L,628 km
TXL,BCN,2019-06-12,€8.000000,334.000000 kg,31.890000 L,1560 km
BCN,TXL,2019-06-21,€8.000000,334.000000 kg,31.890000 L,1560 km
TXL,MXP,2019-06-21,€5.000000,206.000000 kg,21.770000 L,888 km
MXP,TXL,2019-07-06,€5.000000,206.000000 kg,21.770000 L,888 km
TXL,LTN,2019-07-06,€7.000000,290.930000 kg,29.970000 L,983 km
LTN,TXL,2019-07-12,€7.000000,290.930000 kg,29.970000 L,983 km
TXL,IBZ,2019-07-12,€9.000000,386.000000 kg,36.200000 L,1823 km
IBZ,TXL,2019-08-04,€9.000000,386.000000 kg,36.200000 L,1823 km
TXL,YTZ,2019-08-04,€45.000000,1923.240000 kg,166.850000 L,6527 km
YTZ,IBZ,2019-08-07,€45.000000,1932.980000 kg,167.680000 L,6554 km
IBZ,TXL,2019-08-17,€9.000000,386.000000 kg,36.200000 L,1823 km
TXL,VCE,2019-08-17,€5.000000,193.000000 kg,20.750000 L,835 km
VCE,TXL,2019-08-24,€5.000000,193.000000 kg,20.750000 L,835 km
TXL,BEG,2019-08-24,€8.000000,318.000000 kg,32.400000 L,1049 km
BEG,TXL,2019-08-28,€8.000000,318.000000 kg,32.400000 L,1049 km
TXL,IBZ,2019-08-28,€9.000000,386.000000 kg,36.200000 L,1823 km
IBZ,TXL,2019-08-29,€9.000000,386.000000 kg,36.200000 L,1823 km
TXL,HND,2019-09-28,€67.000000,2879.910000 kg,247.890000 L,8993 km
HND,TSF,2019-10-12,€73.000000,3131.530000 kg,269.200000 L,9631 km
TSF,TXL,2019-10-25,€6.000000,239.540000 kg,25.850000 L,821 km
TXL,PHX,2019-10-25,€68.000000,2940.170000 kg,252.990000 L,9146 km
PHX,LIS,2019-11-01,€65.000000,2798.110000 kg,240.960000 L,8786 km
LIS,SUF,2019-11-02,€14.000000,600.380000 kg,55.160000 L,2242 km
SUF,TXL,2019-11-15,€9.000000,375.000000 kg,35.690000 L,1584 km
TXL,VBS,2019-11-15,€6.000000,256.020000 kg,27.170000 L,873 km
VBS,TXL,2019-11-21,€6.000000,256.020000 kg,27.170000 L,873 km
TXL,LHR,2019-11-30,€7.000000,263.000000 kg,27.080000 L,995 km
LHR,TXL,2019-12-14,€7.000000,263.000000 kg,27.080000 L,995 km
