DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
HKY,TXL,2019-01-01,€51.000000,2203.560000 kg,190.620000 L,7280 km
TXL,HKY,2019-02-15,€51.000000,2203.560000 kg,190.620000 L,7280 km
HKY,CVJ,2019-02-15,€16.000000,690.380000 kg,62.680000 L,2623 km
CVJ,HKY,2019-02-22,€16.000000,690.380000 kg,62.680000 L,2623 km
HKY,HHR,2019-02-22,€21.000000,877.490000 kg,78.300000 L,3414 km
HHR,HKY,2019-03-02,€21.000000,877.490000 kg,78.300000 L,3414 km
HKY,NCL,2019-03-02,€43.000000,1828.500000 kg,158.820000 L,6263 km
NCL,LCY,2019-03-08,€5.000000,127.520000 kg,18.190000 L,458 km
LCY,ESH,2019-03-09,€5.000000,26.490000 kg,6.700000 L,129 km
ESH,BHX,2019-03-15,€5.000000,52.790000 kg,13.070000 L,256 km
BHX,TXL,2019-03-16,€8.000000,312.780000 kg,31.730000 L,1067 km
TXL,TLV,2019-03-21,€16.000000,674.000000 kg,60.500000 L,2919 km
TLV,LIN,2019-03-23,€17.000000,711.660000 kg,64.460000 L,2713 km
LIN,WAW,2019-03-29,€8.000000,341.580000 kg,34.070000 L,1184 km
WAW,DUB,2019-03-30,€12.000000,512.390000 kg,47.900000 L,1876 km
DUB,LGA,2019-04-05,€33.000000,1431.200000 kg,125.100000 L,5156 km
LGA,HKY,2019-04-13,€7.000000,268.500000 kg,28.170000 L,913 km
HKY,LIS,2019-04-13,€43.000000,1837.540000 kg,159.580000 L,6288 km
LIS,AMS,2019-04-20,€12.000000,515.000000 kg,48.100000 L,1894 km
AMS,LCY,2019-05-04,€5.000000,103.000000 kg,17.210000 L,383 km
LCY,HAJ,2019-05-11,€5.000000,207.810000 kg,23.430000 L,718 km
HAJ,BCN,2019-05-12,€10.000000,399.270000 kg,38.740000 L,1418 km
BCN,MAD,2019-05-14,€5.000000,126.000000 kg,16.200000 L,531 km
MAD,PMI,2019-05-17,€5.000000,141.000000 kg,16.960000 L,596 km
PMI,EDI,2019-05-18,€13.000000,525.670000 kg,48.970000 L,1929 km
