DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
LCY,LAS,2019-01-15,€62.000000,2676.940000 kg,230.700000 L,8479 km
LAS,DEN,2019-01-16,€6.000000,254.000000 kg,25.820000 L,1059 km
DEN,ORL,2019-01-17,€16.000000,671.050000 kg,61.070000 L,2541 km
ORL,BFI,2019-01-24,€25.000000,1070.080000 kg,94.460000 L,4150 km
BFI,PDX,2019-01-25,€5.000000,56.030000 kg,13.370000 L,268 km
PDX,YTZ,2019-01-26,€21.000000,883.330000 kg,78.790000 L,3439 km
YTZ,TXL,2019-02-01,€45.000000,1923.240000 kg,166.850000 L,6527 km
TXL,LCY,2019-02-15,€7.000000,284.090000 kg,29.420000 L,962 km
LCY,LBA,2019-02-22,€5.000000,75.570000 kg,15.080000 L,336 km
LBA,LCY,2019-03-08,€5.000000,75.570000 kg,15.080000 L,336 km
LCY,AMS,2019-03-08,€5.000000,103.000000 kg,17.210000 L,383 km
AMS,LCY,2019-03-29,€5.000000,103.000000 kg,17.210000 L,383 km
LCY,TNT,2019-03-29,€8.000000,311.200000 kg,31.610000 L,1061 km
TNT,SLC,2019-03-30,€66.000000,2839.700000 kg,244.490000 L,8891 km
SLC,TNT,2019-03-31,€66.000000,2839.700000 kg,244.490000 L,8891 km
TNT,RNO,2019-04-03,€70.000000,3033.040000 kg,260.860000 L,9381 km
RNO,LCY,2019-05-16,€61.000000,2644.670000 kg,227.970000 L,8397 km
LCY,DUB,2019-05-16,€5.000000,196.000000 kg,25.060000 L,526 km
SFO,LGA,2019-05-25,€25.000000,1086.830000 kg,95.880000 L,4197 km
LGA,BHD,2019-06-01,€33.000000,1429.600000 kg,124.960000 L,5152 km
BHD,LCY,2019-06-21,€5.000000,167.020000 kg,20.710000 L,576 km
MEB,ZQN,2019-06-27,€14.000000,588.910000 kg,54.210000 L,2194 km
ZQN,AKL,2019-06-28,€8.000000,321.000000 kg,32.400000 L,1074 km
AKL,SYD,2019-06-29,€15.000000,622.000000 kg,57.210000 L,2208 km
RTM,LCY,2019-08-03,€5.000000,83.520000 kg,15.560000 L,354 km
LCY,BQH,2019-08-03,€5.000000,10.670000 kg,2.700000 L,52 km
BQH,LCY,2019-09-01,€5.000000,10.670000 kg,2.700000 L,52 km
LCY,NZY,2019-09-01,€66.000000,2839.390000 kg,244.460000 L,8891 km
NZY,IBZ,2019-09-11,€75.000000,3237.370000 kg,278.160000 L,9899 km
IBZ,LCY,2019-09-21,€11.000000,452.000000 kg,43.540000 L,1457 km
LCY,LGA,2019-09-22,€37.000000,1599.810000 kg,139.410000 L,5626 km
LGA,IBZ,2019-09-27,€43.000000,1833.160000 kg,159.210000 L,6276 km
IBZ,LBA,2019-09-28,€11.000000,477.610000 kg,45.080000 L,1735 km
LBA,LCY,2019-11-03,€5.000000,75.570000 kg,15.080000 L,336 km
LCY,DEN,2019-11-03,€54.000000,2330.310000 kg,201.350000 L,7601 km
DEN,LCY,2019-11-16,€54.000000,2330.310000 kg,201.350000 L,7601 km
