DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
SXF,VIC,2019-01-05,€6.000000,244.060000 kg,26.210000 L,835 km
VIC,SXF,2019-01-11,€6.000000,244.060000 kg,26.210000 L,835 km
SXF,ZRH,2019-01-11,€5.000000,206.860000 kg,23.370000 L,714 km
ZRH,SXF,2019-02-09,€5.000000,206.860000 kg,23.370000 L,714 km
SXF,ANR,2019-02-09,€5.000000,199.290000 kg,22.860000 L,688 km
ANR,SXF,2019-02-15,€5.000000,199.290000 kg,22.860000 L,688 km
SXF,BCN,2019-02-15,€11.000000,435.820000 kg,41.700000 L,1566 km
BCN,SXF,2019-02-22,€11.000000,435.820000 kg,41.700000 L,1566 km
SXF,GVA,2019-02-22,€7.000000,273.550000 kg,28.570000 L,928 km
GVA,BEY,2019-02-23,€18.000000,749.000000 kg,67.340000 L,2882 km
BEY,BEG,2019-03-02,€12.000000,499.360000 kg,46.840000 L,1823 km
BEG,SXF,2019-03-09,€8.000000,307.240000 kg,31.280000 L,1045 km
SXF,BGY,2019-03-09,€6.000000,251.700000 kg,26.830000 L,859 km
BGY,SXF,2019-03-17,€6.000000,251.700000 kg,26.830000 L,859 km
SXF,GLA,2019-03-17,€9.000000,360.790000 kg,35.620000 L,1262 km
GLA,SXF,2019-03-23,€9.000000,360.790000 kg,35.620000 L,1262 km
SXF,LHR,2019-03-23,€7.000000,299.160000 kg,30.630000 L,1012 km
LHR,SXF,2019-03-28,€7.000000,299.160000 kg,30.630000 L,1012 km
SXF,LHR,2019-03-28,€7.000000,299.160000 kg,30.630000 L,1012 km
LHR,LGA,2019-03-30,€37.000000,1587.960000 kg,138.400000 L,5593 km
LGA,PMI,2019-04-05,€43.000000,1858.210000 kg,161.340000 L,6346 km
PMI,SXF,2019-04-12,€9.000000,360.000000 kg,33.920000 L,1695 km
SXF,MXN,2019-04-12,€9.000000,381.550000 kg,37.300000 L,1346 km
MXN,NAP,2019-04-14,€11.000000,472.110000 kg,44.630000 L,1713 km
NAP,SXF,2019-04-24,€9.000000,381.170000 kg,37.270000 L,1344 km
SXF,LIS,2019-04-24,€15.000000,629.470000 kg,57.600000 L,2365 km
LIS,TXL,2019-04-25,€15.000000,627.560000 kg,57.430000 L,2357 km
TXL,RTM,2019-04-27,€5.000000,190.410000 kg,22.270000 L,657 km
RTM,SXF,2019-04-30,€5.000000,194.380000 kg,22.530000 L,671 km
SXF,DTM,2019-04-30,€5.000000,135.750000 kg,18.680000 L,478 km
DTM,SXF,2019-05-10,€5.000000,135.750000 kg,18.680000 L,478 km
SXF,PRG,2019-05-10,€5.000000,72.650000 kg,14.900000 L,328 km
PRG,BCN,2019-05-12,€9.000000,365.000000 kg,35.180000 L,1408 km
BCN,SXF,2019-05-17,€11.000000,435.820000 kg,41.700000 L,1566 km
SXF,IBZ,2019-05-17,€12.000000,501.760000 kg,47.040000 L,1833 km
IBZ,SXF,2019-05-24,€12.000000,501.760000 kg,47.040000 L,1833 km
SXF,POW,2019-05-24,€6.000000,241.560000 kg,26.010000 L,827 km
POW,IBZ,2019-05-25,€9.000000,370.160000 kg,36.380000 L,1300 km
IBZ,SXF,2019-06-08,€12.000000,501.760000 kg,47.040000 L,1833 km
SXF,IBZ,2019-06-08,€12.000000,501.760000 kg,47.040000 L,1833 km
IBZ,SXF,2019-06-11,€12.000000,501.760000 kg,47.040000 L,1833 km
IBZ,SXF,2019-06-15,€12.000000,501.760000 kg,47.040000 L,1833 km
SXF,MAD,2019-06-15,€13.000000,521.750000 kg,48.650000 L,1913 km
MAD,PSR,2019-06-16,€10.000000,431.170000 kg,41.320000 L,1547 km
PSR,SXF,2019-06-22,€8.000000,337.620000 kg,33.740000 L,1168 km
SXF,FLR,2019-06-22,€7.000000,304.330000 kg,31.050000 L,1033 km
FLR,IBZ,2019-06-24,€8.000000,305.540000 kg,31.150000 L,1038 km
IBZ,SXF,2019-06-28,€12.000000,501.760000 kg,47.040000 L,1833 km
SXF,LHR,2019-06-28,€7.000000,299.160000 kg,30.630000 L,1012 km
LHR,AMS,2019-06-30,€5.000000,105.000000 kg,15.940000 L,417 km
AMS,SXF,2019-07-05,€5.000000,186.040000 kg,21.980000 L,642 km
SXF,CND,2019-07-05,€10.000000,419.090000 kg,40.340000 L,1498 km
CND,PEG,2019-07-06,€9.000000,382.250000 kg,37.360000 L,1349 km
PEG,MLA,2019-07-07,€6.000000,255.770000 kg,27.150000 L,872 km
MLA,SXF,2019-07-16,€12.000000,519.180000 kg,48.450000 L,1903 km
SXF,BCN,2019-07-16,€11.000000,435.820000 kg,41.700000 L,1566 km
BCN,SXF,2019-07-27,€11.000000,435.820000 kg,41.700000 L,1566 km
SXF,IBZ,2019-07-27,€12.000000,501.760000 kg,47.040000 L,1833 km
IBZ,SXF,2019-08-01,€12.000000,501.760000 kg,47.040000 L,1833 km
SXF,CFU,2019-08-01,€10.000000,433.190000 kg,41.480000 L,1555 km
CFU,JMK,2019-08-02,€5.000000,174.090000 kg,21.180000 L,601 km
JMK,CTA,2019-08-03,€7.000000,282.840000 kg,29.320000 L,958 km
CTA,IBZ,2019-08-05,€9.000000,360.080000 kg,35.560000 L,1259 km
IBZ,SXF,2019-08-10,€12.000000,501.760000 kg,47.040000 L,1833 km
SXF,IBZ,2019-08-10,€12.000000,501.760000 kg,47.040000 L,1833 km
IBZ,CIA,2019-08-11,€7.000000,303.120000 kg,30.950000 L,1028 km
CIA,OLB,2019-08-13,€5.000000,65.050000 kg,14.200000 L,301 km
OLB,SXF,2019-08-19,€9.000000,389.980000 kg,37.980000 L,1380 km
SXF,MGL,2019-08-19,€5.000000,159.840000 kg,20.230000 L,551 km
MGL,RMI,2019-08-21,€7.000000,287.620000 kg,29.700000 L,973 km
RMI,IBZ,2019-08-22,€8.000000,332.690000 kg,33.340000 L,1148 km
IBZ,AMS,2019-08-23,€11.000000,436.920000 kg,41.780000 L,1570 km
AMS,SXF,2019-09-02,€5.000000,186.040000 kg,21.980000 L,642 km
SXF,IBZ,2019-09-02,€12.000000,501.760000 kg,47.040000 L,1833 km
IBZ,SXF,2019-09-13,€12.000000,501.760000 kg,47.040000 L,1833 km
SXF,TXL,2019-09-13,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,EAS,2019-09-14,€11.000000,436.190000 kg,41.730000 L,1567 km
EAS,SXF,2019-09-21,€11.000000,437.970000 kg,41.870000 L,1574 km
SXF,IBZ,2019-09-21,€12.000000,501.760000 kg,47.040000 L,1833 km
IBZ,SXF,2019-09-28,€12.000000,501.760000 kg,47.040000 L,1833 km
SXF,BGY,2019-09-28,€6.000000,251.700000 kg,26.830000 L,859 km
BGY,IBZ,2019-09-30,€8.000000,313.710000 kg,31.810000 L,1071 km
IBZ,SXF,2019-10-04,€12.000000,501.760000 kg,47.040000 L,1833 km
SXF,PMI,2019-10-04,€9.000000,360.000000 kg,33.920000 L,1695 km
PMI,SXF,2019-10-25,€9.000000,360.000000 kg,33.920000 L,1695 km
SXF,TXL,2019-10-25,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,LHR,2019-10-26,€7.000000,263.000000 kg,27.080000 L,995 km
LHR,SXF,2019-11-01,€7.000000,299.160000 kg,30.630000 L,1012 km
SXF,MAD,2019-11-01,€13.000000,521.750000 kg,48.650000 L,1913 km
MAD,AGP,2019-11-02,€5.000000,117.000000 kg,15.690000 L,481 km
AGP,SXF,2019-11-09,€15.000000,615.250000 kg,56.410000 L,2305 km
SXF,OPO,2019-11-09,€14.000000,576.830000 kg,53.200000 L,2143 km
OPO,AMS,2019-11-10,€12.000000,513.000000 kg,48.600000 L,1643 km
AMS,SXF,2019-12-06,€5.000000,186.040000 kg,21.980000 L,642 km
SXF,MAN,2019-12-06,€8.000000,323.340000 kg,32.590000 L,1110 km
MAN,SXF,2019-12-10,€8.000000,323.340000 kg,32.590000 L,1110 km
SXF,LAS,2019-12-10,€67.000000,2900.150000 kg,249.610000 L,9045 km
LAS,LGA,2019-12-13,€22.000000,934.610000 kg,83.070000 L,3655 km
LGA,YTZ,2019-12-14,€5.000000,175.710000 kg,21.290000 L,606 km
YTZ,BRS,2019-12-20,€37.000000,1594.980000 kg,139.000000 L,5612 km
BRS,SXF,2019-12-25,€8.000000,337.490000 kg,33.730000 L,1168 km
SXF,MXP,2019-12-25,€7.000000,261.190000 kg,27.580000 L,889 km
MXP,SXF,2019-12-28,€7.000000,261.190000 kg,27.580000 L,889 km
SXF,ESS,2019-12-28,€5.000000,148.560000 kg,19.470000 L,512 km
ESS,TXL,2019-12-30,€5.000000,145.070000 kg,19.240000 L,500 km
TXL,SXF,2019-12-31,€5.000000,13.420000 kg,3.390000 L,65 km
