DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
MUC,LHR,2019-01-19,€6.000000,257.000000 kg,26.580000 L,990 km
LHR,MUC,2019-01-31,€6.000000,257.000000 kg,26.580000 L,990 km
MUC,SDV,2019-01-31,€17.000000,706.840000 kg,64.050000 L,2692 km
SDV,IST,2019-02-02,€8.000000,346.150000 kg,34.440000 L,1203 km
IST,KEL,2019-02-08,€13.000000,555.300000 kg,51.400000 L,2052 km
KEL,OBF,2019-02-09,€6.000000,218.810000 kg,24.190000 L,755 km
OBF,MUC,2019-03-02,€5.000000,19.890000 kg,5.030000 L,97 km
MUC,HAM,2019-03-02,€5.000000,155.000000 kg,17.970000 L,649 km
HAM,MUC,2019-03-09,€5.000000,155.000000 kg,17.970000 L,649 km
MUC,STR,2019-03-09,€5.000000,40.000000 kg,10.120000 L,242 km
STR,MUC,2019-03-29,€5.000000,40.000000 kg,10.120000 L,242 km
MUC,HAM,2019-03-29,€5.000000,155.000000 kg,17.970000 L,649 km
HAM,MUC,2019-04-05,€5.000000,155.000000 kg,17.970000 L,649 km
MUC,MXP,2019-04-05,€5.000000,111.000000 kg,16.450000 L,431 km
MXP,MUC,2019-04-12,€5.000000,111.000000 kg,16.450000 L,431 km
MUC,LHR,2019-04-12,€6.000000,257.000000 kg,26.580000 L,990 km
LHR,MUC,2019-04-20,€6.000000,257.000000 kg,26.580000 L,990 km
MUC,OBF,2019-04-20,€5.000000,19.890000 kg,5.030000 L,97 km
OBF,MUC,2019-05-18,€5.000000,19.890000 kg,5.030000 L,97 km
MUC,SOF,2019-05-18,€8.000000,320.000000 kg,32.150000 L,1149 km
SOF,MUC,2019-05-24,€8.000000,320.000000 kg,32.150000 L,1149 km
MUC,ORY,2019-05-24,€5.000000,215.180000 kg,23.920000 L,743 km
ORY,MUC,2019-05-25,€5.000000,215.180000 kg,23.920000 L,743 km
MUC,MLA,2019-06-06,€9.000000,353.000000 kg,33.920000 L,1455 km
MLA,OBF,2019-06-08,€10.000000,403.490000 kg,39.080000 L,1435 km
OBF,BEV,2019-06-09,€17.000000,727.750000 kg,65.800000 L,2781 km
BEV,MUC,2019-07-05,€17.000000,724.670000 kg,65.540000 L,2768 km
MUC,IBZ,2019-07-05,€8.000000,336.000000 kg,32.400000 L,1394 km
IBZ,MLH,2019-07-06,€8.000000,333.170000 kg,33.380000 L,1150 km
MLH,MUC,2019-07-25,€5.000000,97.470000 kg,16.390000 L,387 km
MUC,HAM,2019-07-25,€5.000000,155.000000 kg,17.970000 L,649 km
HAM,ARN,2019-07-27,€7.000000,277.000000 kg,29.360000 L,876 km
ARN,MUC,2019-08-02,€9.000000,356.000000 kg,34.680000 L,1366 km
MUC,IBZ,2019-08-02,€8.000000,336.000000 kg,32.400000 L,1394 km
IBZ,IST,2019-08-03,€15.000000,634.310000 kg,58.000000 L,2386 km
IST,ZRH,2019-08-11,€10.000000,418.000000 kg,39.240000 L,1811 km
ZRH,MUC,2019-08-16,€5.000000,58.000000 kg,14.680000 L,311 km
MUC,VKO,2019-08-23,€13.000000,533.130000 kg,49.570000 L,1960 km
VKO,JKH,2019-08-24,€14.000000,569.360000 kg,52.570000 L,2111 km
JKH,MUC,2019-08-31,€11.000000,449.130000 kg,42.770000 L,1619 km
MUC,OBF,2019-08-31,€5.000000,19.890000 kg,5.030000 L,97 km
OBF,MUC,2019-09-05,€5.000000,19.890000 kg,5.030000 L,97 km
MUC,BEV,2019-09-05,€17.000000,724.670000 kg,65.540000 L,2768 km
BEV,LEJ,2019-09-07,€18.000000,766.990000 kg,69.080000 L,2947 km
LEJ,MUC,2019-09-13,€5.000000,93.000000 kg,15.180000 L,391 km
MUC,BRU,2019-09-13,€5.000000,202.000000 kg,23.540000 L,645 km
BRU,AGP,2019-09-14,€12.000000,480.000000 kg,45.060000 L,1783 km
AGP,MUC,2019-09-19,€10.000000,420.000000 kg,39.240000 L,1902 km
MUC,SKG,2019-09-19,€7.000000,284.000000 kg,27.840000 L,1291 km
SKG,MUC,2019-10-04,€7.000000,284.000000 kg,27.840000 L,1291 km
MUC,HRG,2019-10-04,€19.000000,798.410000 kg,71.700000 L,3079 km
HRG,MXP,2019-10-11,€19.000000,796.640000 kg,71.550000 L,3072 km
MXP,MUC,2019-10-31,€5.000000,111.000000 kg,16.450000 L,431 km
MUC,MEX,2019-10-31,€75.000000,3240.400000 kg,278.420000 L,9907 km
MEX,PEI,2019-11-02,€19.000000,793.670000 kg,71.300000 L,3059 km
PEI,ERF,2019-11-09,€71.000000,3049.740000 kg,262.270000 L,9424 km
ERF,MUC,2019-11-16,€5.000000,106.000000 kg,20.000000 L,346 km
MUC,IST,2019-11-16,€9.000000,387.000000 kg,36.700000 L,1619 km
IST,LHR,2019-11-30,€15.000000,629.000000 kg,56.960000 L,2561 km
LHR,MUC,2019-12-05,€6.000000,257.000000 kg,26.580000 L,990 km
MUC,MJV,2019-12-05,€11.000000,445.260000 kg,42.460000 L,1604 km
MJV,SPU,2019-12-07,€11.000000,453.920000 kg,43.160000 L,1639 km
SPU,MUC,2019-12-12,€5.000000,190.000000 kg,21.770000 L,687 km
MUC,CAI,2019-12-12,€15.000000,640.000000 kg,57.970000 L,2672 km
CAI,OBF,2019-12-21,€17.000000,704.080000 kg,63.820000 L,2681 km
OBF,MUC,2019-12-24,€5.000000,19.890000 kg,5.030000 L,97 km
MUC,MLA,2019-12-24,€9.000000,353.000000 kg,33.920000 L,1455 km
MLA,MUC,2019-12-27,€9.000000,353.000000 kg,33.920000 L,1455 km
