DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
SXF,NUE,2019-02-02,€5.000000,113.200000 kg,17.330000 L,424 km
NUE,SXF,2019-02-08,€5.000000,113.200000 kg,17.330000 L,424 km
SXF,KGD,2019-02-08,€5.000000,166.040000 kg,20.640000 L,573 km
KGD,SXF,2019-02-15,€5.000000,166.040000 kg,20.640000 L,573 km
SXF,ORY,2019-02-15,€7.000000,277.190000 kg,28.870000 L,940 km
ORY,LCY,2019-02-16,€5.000000,98.000000 kg,15.690000 L,399 km
LCY,SXF,2019-03-29,€7.000000,288.480000 kg,29.770000 L,976 km
SXF,SIR,2019-03-29,€6.000000,257.390000 kg,27.280000 L,877 km
SIR,TXL,2019-03-30,€6.000000,256.730000 kg,27.230000 L,875 km
TXL,SXF,2019-04-13,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,BUD,2019-04-13,€5.000000,216.140000 kg,23.990000 L,747 km
BUD,SXF,2019-04-20,€5.000000,216.140000 kg,23.990000 L,747 km
SXF,BOD,2019-04-20,€10.000000,393.800000 kg,38.290000 L,1395 km
BOD,SXF,2019-05-01,€10.000000,393.800000 kg,38.290000 L,1395 km
SXF,TXL,2019-05-01,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-05-10,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,AMS,2019-05-10,€5.000000,186.040000 kg,21.980000 L,642 km
AMS,SXF,2019-05-25,€5.000000,186.040000 kg,21.980000 L,642 km
SXF,HAM,2019-05-25,€5.000000,69.490000 kg,14.610000 L,317 km
HAM,SXF,2019-06-09,€5.000000,69.490000 kg,14.610000 L,317 km
SXF,TXL,2019-06-09,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-06-15,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,EVN,2019-06-15,€17.000000,723.640000 kg,65.460000 L,2763 km
EVN,SXF,2019-07-06,€17.000000,723.640000 kg,65.460000 L,2763 km
SXF,BHD,2019-07-06,€9.000000,382.280000 kg,37.360000 L,1349 km
BHD,SXF,2019-07-12,€9.000000,382.280000 kg,37.360000 L,1349 km
SXF,SSN,2019-07-12,€59.000000,2561.170000 kg,220.900000 L,8186 km
SSN,HND,2019-07-13,€9.000000,348.350000 kg,34.610000 L,1211 km
TXL,SXF,2019-09-11,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,IBZ,2019-09-11,€12.000000,501.760000 kg,47.040000 L,1833 km
IBZ,LGA,2019-09-12,€43.000000,1833.160000 kg,159.210000 L,6276 km
LGA,DCA,2019-09-14,€5.000000,91.000000 kg,14.680000 L,393 km
DCA,MAN,2019-09-28,€38.000000,1647.660000 kg,143.470000 L,5759 km
MAN,SXF,2019-10-04,€8.000000,323.340000 kg,32.590000 L,1110 km
SXF,IEV,2019-10-04,€9.000000,356.900000 kg,35.300000 L,1246 km
IEV,HAM,2019-10-05,€10.000000,417.820000 kg,40.240000 L,1493 km
HAM,SXF,2019-10-13,€5.000000,69.490000 kg,14.610000 L,317 km
SXF,TXL,2019-10-13,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-12-06,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,VIE,2019-12-06,€5.000000,164.440000 kg,20.530000 L,567 km
VIE,SXF,2019-12-14,€5.000000,164.440000 kg,20.530000 L,567 km
