DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
YYJ,YHU,2019-01-19,€22.000000,945.160000 kg,83.950000 L,3700 km
YHU,YYJ,2019-02-15,€22.000000,945.160000 kg,83.950000 L,3700 km
YYJ,LHR,2019-02-15,€55.000000,2368.330000 kg,204.570000 L,7697 km
LHR,YYJ,2019-02-22,€55.000000,2368.330000 kg,204.570000 L,7697 km
YYJ,DAL,2019-02-22,€18.000000,749.760000 kg,67.640000 L,2874 km
DAL,NZY,2019-02-23,€13.000000,529.910000 kg,49.310000 L,1947 km
NZY,YYJ,2019-02-28,€12.000000,518.240000 kg,48.370000 L,1899 km
YYJ,SFO,2019-02-28,€11.000000,437.000000 kg,43.030000 L,1276 km
SFO,YYJ,2019-03-08,€11.000000,437.000000 kg,43.030000 L,1276 km
YYJ,BCN,2019-03-08,€64.000000,2779.100000 kg,239.350000 L,8738 km
BCN,EAS,2019-03-09,€5.000000,121.000000 kg,17.720000 L,439 km
EAS,LYN,2019-03-23,€5.000000,187.190000 kg,22.050000 L,646 km
LYN,LIS,2019-03-29,€10.000000,405.100000 kg,39.210000 L,1441 km
LIS,LHR,2019-03-30,€9.000000,389.000000 kg,36.960000 L,1614 km
LHR,LGA,2019-04-04,€37.000000,1587.960000 kg,138.400000 L,5593 km
LGA,YHU,2019-04-05,€5.000000,179.030000 kg,21.510000 L,618 km
YHU,YTZ,2019-04-06,€5.000000,148.660000 kg,19.480000 L,512 km
YTZ,YYJ,2019-05-16,€21.000000,884.400000 kg,78.880000 L,3443 km
YYJ,YTZ,2019-05-16,€21.000000,884.400000 kg,78.880000 L,3443 km
YTZ,YYJ,2019-06-06,€21.000000,884.400000 kg,78.880000 L,3443 km
YYJ,BOS,2019-06-06,€25.000000,1058.170000 kg,93.450000 L,4117 km
BOS,YYJ,2019-06-14,€25.000000,1058.170000 kg,93.450000 L,4117 km
YYJ,MAD,2019-06-14,€63.000000,2702.190000 kg,232.840000 L,8543 km
MAD,CUF,2019-06-15,€8.000000,313.880000 kg,31.820000 L,1072 km
CUF,CDG,2019-06-20,€5.000000,197.030000 kg,22.710000 L,680 km
CDG,SKU,2019-06-26,€14.000000,574.080000 kg,52.970000 L,2131 km
SKU,YTZ,2019-07-06,€59.000000,2544.280000 kg,219.470000 L,8143 km
YTZ,YYJ,2019-07-12,€21.000000,884.400000 kg,78.880000 L,3443 km
YYJ,YHU,2019-07-12,€22.000000,945.160000 kg,83.950000 L,3700 km
YHU,LGA,2019-07-13,€5.000000,179.030000 kg,21.510000 L,618 km
LGA,YYJ,2019-08-15,€24.000000,1014.940000 kg,89.780000 L,3995 km
YYJ,YTZ,2019-08-15,€21.000000,884.400000 kg,78.880000 L,3443 km
YTZ,YYJ,2019-09-21,€21.000000,884.400000 kg,78.880000 L,3443 km
YYJ,YTZ,2019-09-21,€21.000000,884.400000 kg,78.880000 L,3443 km
YTZ,YYJ,2019-10-17,€21.000000,884.400000 kg,78.880000 L,3443 km
YYJ,TXL,2019-10-17,€59.000000,2527.560000 kg,218.060000 L,8101 km
TXL,LHR,2019-10-18,€7.000000,263.000000 kg,27.080000 L,995 km
LHR,LGA,2019-10-23,€37.000000,1587.960000 kg,138.400000 L,5593 km
LGA,BUR,2019-10-25,€24.000000,1017.390000 kg,89.980000 L,4003 km
BUR,YHU,2019-10-26,€24.000000,1005.260000 kg,88.970000 L,3954 km
YHU,YYJ,2019-10-31,€22.000000,945.160000 kg,83.950000 L,3700 km
YYJ,YHU,2019-10-31,€22.000000,945.160000 kg,83.950000 L,3700 km
YHU,YYJ,2019-12-21,€22.000000,945.160000 kg,83.950000 L,3700 km
