DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
SGY,IST,2019-01-11,€65.000000,2794.180000 kg,240.630000 L,8776 km
IST,LHR,2019-01-12,€15.000000,629.000000 kg,56.960000 L,2561 km
LHR,SFO,2019-01-18,€64.000000,2758.000000 kg,237.720000 L,8663 km
SFO,SGY,2019-01-26,€17.000000,697.440000 kg,63.270000 L,2653 km
SGY,HLP,2019-01-26,€101.000000,4381.350000 kg,375.120000 L,12211 km
HLP,LHR,2019-02-01,€97.000000,4182.210000 kg,358.240000 L,11812 km
LHR,LGA,2019-02-15,€37.000000,1587.960000 kg,138.400000 L,5593 km
LGA,SGY,2019-02-22,€30.000000,1265.210000 kg,111.020000 L,4694 km
SGY,LGA,2019-02-22,€30.000000,1265.210000 kg,111.020000 L,4694 km
LGA,SGY,2019-03-08,€30.000000,1265.210000 kg,111.020000 L,4694 km
SGY,LGA,2019-03-08,€30.000000,1265.210000 kg,111.020000 L,4694 km
LGA,SGY,2019-03-16,€30.000000,1265.210000 kg,111.020000 L,4694 km
SGY,LGA,2019-03-16,€30.000000,1265.210000 kg,111.020000 L,4694 km
LGA,SGY,2019-03-29,€30.000000,1265.210000 kg,111.020000 L,4694 km
SGY,LGA,2019-03-29,€30.000000,1265.210000 kg,111.020000 L,4694 km
LGA,SGY,2019-04-13,€30.000000,1265.210000 kg,111.020000 L,4694 km
SGY,MEX,2019-04-13,€35.000000,1504.440000 kg,131.320000 L,5360 km
MEX,SGY,2019-04-19,€35.000000,1504.440000 kg,131.320000 L,5360 km
SGY,ABQ,2019-04-19,€21.000000,891.510000 kg,79.470000 L,3473 km
ABQ,DET,2019-04-20,€14.000000,601.600000 kg,55.270000 L,2247 km
DET,SGY,2019-04-26,€24.000000,1032.040000 kg,91.230000 L,4044 km
SGY,HHR,2019-04-26,€19.000000,816.330000 kg,73.190000 L,3155 km
HHR,SGY,2019-05-03,€19.000000,816.330000 kg,73.190000 L,3155 km
SGY,LGA,2019-05-03,€30.000000,1265.210000 kg,111.020000 L,4694 km
LGA,SGY,2019-05-16,€30.000000,1265.210000 kg,111.020000 L,4694 km
SGY,LGA,2019-05-16,€30.000000,1265.210000 kg,111.020000 L,4694 km
LGA,SGY,2019-05-25,€30.000000,1265.210000 kg,111.020000 L,4694 km
SGY,CTA,2019-05-25,€66.000000,2864.750000 kg,246.610000 L,8955 km
CTA,MAD,2019-06-07,€11.000000,475.000000 kg,44.810000 L,1688 km
MAD,CDG,2019-06-08,€7.000000,278.000000 kg,28.100000 L,1111 km
CDG,CZM,2019-06-14,€61.000000,2615.760000 kg,225.520000 L,8324 km
CZM,SGY,2019-06-21,€39.000000,1669.660000 kg,145.340000 L,5820 km
SGY,MEL,2019-06-21,€84.000000,3626.860000 kg,311.170000 L,10700 km
MEL,SYD,2019-06-28,€112.000000,4837.000000 kg,414.430000 L,11694 km
SYD,ALB,2019-07-12,€106.000000,4602.000000 kg,394.170000 L,12102 km
ALB,SGY,2019-07-24,€28.000000,1208.920000 kg,106.240000 L,4537 km
SGY,LGA,2019-07-24,€30.000000,1265.210000 kg,111.020000 L,4694 km
LGA,SGY,2019-08-02,€30.000000,1265.210000 kg,111.020000 L,4694 km
SGY,LGA,2019-08-02,€30.000000,1265.210000 kg,111.020000 L,4694 km
LGA,SGY,2019-08-09,€30.000000,1265.210000 kg,111.020000 L,4694 km
SGY,LGA,2019-08-09,€30.000000,1265.210000 kg,111.020000 L,4694 km
LGA,SGY,2019-08-24,€30.000000,1265.210000 kg,111.020000 L,4694 km
SGY,LGA,2019-08-24,€30.000000,1265.210000 kg,111.020000 L,4694 km
LGA,SGY,2019-09-13,€30.000000,1265.210000 kg,111.020000 L,4694 km
SGY,LGA,2019-09-13,€30.000000,1265.210000 kg,111.020000 L,4694 km
LGA,SGY,2019-09-28,€30.000000,1265.210000 kg,111.020000 L,4694 km
SGY,LGA,2019-09-28,€30.000000,1265.210000 kg,111.020000 L,4694 km
LGA,SGY,2019-10-04,€30.000000,1265.210000 kg,111.020000 L,4694 km
SGY,LGA,2019-10-04,€30.000000,1265.210000 kg,111.020000 L,4694 km
LGA,SGY,2019-10-12,€30.000000,1265.210000 kg,111.020000 L,4694 km
SGY,LGA,2019-10-12,€30.000000,1265.210000 kg,111.020000 L,4694 km
LGA,SGY,2019-10-19,€30.000000,1265.210000 kg,111.020000 L,4694 km
SGY,LGA,2019-10-19,€30.000000,1265.210000 kg,111.020000 L,4694 km
LGA,SGY,2019-10-25,€30.000000,1265.210000 kg,111.020000 L,4694 km
SGY,LHR,2019-10-25,€49.000000,2126.710000 kg,184.110000 L,7085 km
LHR,LGA,2019-11-01,€37.000000,1587.960000 kg,138.400000 L,5593 km
LGA,SGY,2019-11-22,€30.000000,1265.210000 kg,111.020000 L,4694 km
SGY,SFO,2019-11-22,€17.000000,697.440000 kg,63.270000 L,2653 km
SFO,SGY,2019-11-29,€17.000000,697.440000 kg,63.270000 L,2653 km
SGY,LGA,2019-11-29,€30.000000,1265.210000 kg,111.020000 L,4694 km
LGA,SGY,2019-11-30,€30.000000,1265.210000 kg,111.020000 L,4694 km
