DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
SOU,JAD,2019-01-01,€129.000000,5593.880000 kg,477.890000 L,14639 km
JAD,ADJ,2019-01-03,€88.000000,3807.640000 kg,326.490000 L,11062 km
ADJ,SOU,2019-01-18,€23.000000,957.720000 kg,85.000000 L,3753 km
SOU,TSR,2019-01-18,€12.000000,496.890000 kg,46.640000 L,1813 km
TSR,BBU,2019-01-19,€5.000000,124.620000 kg,18.020000 L,451 km
BBU,SOU,2019-02-02,€14.000000,592.970000 kg,54.550000 L,2211 km
SOU,LCY,2019-02-02,€5.000000,34.100000 kg,8.630000 L,167 km
LCY,SOU,2019-03-01,€5.000000,34.100000 kg,8.630000 L,167 km
SOU,CPH,2019-03-01,€8.000000,324.170000 kg,32.660000 L,1114 km
CPH,SOU,2019-03-09,€8.000000,324.170000 kg,32.660000 L,1114 km
SOU,CRA,2019-03-09,€13.000000,556.530000 kg,51.500000 L,2057 km
CRA,SOU,2019-03-29,€13.000000,556.530000 kg,51.500000 L,2057 km
SOU,TNT,2019-03-29,€8.000000,324.930000 kg,32.720000 L,1117 km
TNT,MEX,2019-04-04,€76.000000,3270.310000 kg,280.950000 L,9983 km
MEX,BIF,2019-04-05,€16.000000,673.420000 kg,61.260000 L,2551 km
BIF,DEN,2019-04-06,€20.000000,849.300000 kg,75.950000 L,3295 km
DEN,INN,2019-04-08,€63.000000,2696.030000 kg,232.320000 L,8527 km
INN,SOU,2019-05-17,€8.000000,310.960000 kg,31.580000 L,1060 km
SOU,BWF,2019-05-17,€5.000000,113.170000 kg,17.330000 L,424 km
BWF,SOU,2019-06-21,€5.000000,113.170000 kg,17.330000 L,424 km
SOU,RKV,2019-06-21,€13.000000,529.910000 kg,49.310000 L,1947 km
RKV,SOU,2019-07-20,€13.000000,529.910000 kg,49.310000 L,1947 km
SOU,LCY,2019-07-20,€5.000000,34.100000 kg,8.630000 L,167 km
LCY,SOU,2019-07-27,€5.000000,34.100000 kg,8.630000 L,167 km
SOU,KGD,2019-07-27,€11.000000,437.060000 kg,41.800000 L,1571 km
KGD,SOU,2019-08-15,€11.000000,437.060000 kg,41.800000 L,1571 km
SOU,CND,2019-08-15,€15.000000,638.820000 kg,58.370000 L,2405 km
CND,BRS,2019-08-17,€16.000000,662.580000 kg,60.360000 L,2505 km
BRS,SOU,2019-09-07,€5.000000,32.000000 kg,8.100000 L,156 km
SOU,ESH,2019-09-07,€5.000000,25.700000 kg,6.500000 L,126 km
ESH,SOU,2019-09-20,€5.000000,25.700000 kg,6.500000 L,126 km
SOU,LAS,2019-09-20,€62.000000,2663.550000 kg,229.570000 L,8445 km
LAS,SFO,2019-09-21,€5.000000,184.000000 kg,20.750000 L,715 km
SFO,BUR,2019-09-25,€5.000000,182.000000 kg,22.270000 L,575 km
BUR,NZY,2019-09-26,€5.000000,50.840000 kg,12.870000 L,249 km
NZY,SOU,2019-10-11,€65.000000,2825.520000 kg,243.280000 L,8856 km
SOU,IST,2019-10-11,€16.000000,681.300000 kg,61.920000 L,2584 km
IST,BBU,2019-10-12,€5.000000,131.890000 kg,18.450000 L,469 km
BBU,SOU,2019-11-15,€14.000000,592.970000 kg,54.550000 L,2211 km
SOU,TXL,2019-11-15,€8.000000,314.160000 kg,31.840000 L,1073 km
TXL,DPS,2019-11-16,€95.000000,4097.780000 kg,351.080000 L,11643 km
DPS,JAD,2019-11-17,€17.000000,696.390000 kg,63.180000 L,2648 km
JAD,MEB,2019-11-22,€17.000000,722.190000 kg,65.340000 L,2757 km
MEB,AVV,2019-11-23,€5.000000,20.620000 kg,5.220000 L,101 km
LCY,SOU,2019-12-28,€5.000000,34.100000 kg,8.630000 L,167 km
