DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
TXL,ORY,2019-01-17,€5.000000,202.000000 kg,21.010000 L,927 km
ORY,RNS,2019-01-18,€5.000000,86.870000 kg,15.760000 L,362 km
RNS,TXL,2019-01-26,€9.000000,352.130000 kg,34.920000 L,1227 km
TXL,LHR,2019-01-26,€7.000000,263.000000 kg,27.080000 L,995 km
LHR,TXL,2019-02-08,€7.000000,263.000000 kg,27.080000 L,995 km
TXL,BCN,2019-02-09,€8.000000,334.000000 kg,31.890000 L,1560 km
BCN,TXL,2019-03-07,€8.000000,334.000000 kg,31.890000 L,1560 km
TXL,GVA,2019-03-07,€7.000000,272.420000 kg,28.480000 L,925 km
GVA,TXL,2019-03-10,€7.000000,272.420000 kg,28.480000 L,925 km
TXL,LHR,2019-04-20,€7.000000,263.000000 kg,27.080000 L,995 km
LHR,TXL,2019-04-30,€7.000000,263.000000 kg,27.080000 L,995 km
TXL,POZ,2019-04-30,€5.000000,62.010000 kg,13.920000 L,290 km
POZ,TXL,2019-05-18,€5.000000,62.010000 kg,13.920000 L,290 km
TXL,LHR,2019-06-22,€7.000000,263.000000 kg,27.080000 L,995 km
LHR,TXL,2019-07-27,€7.000000,263.000000 kg,27.080000 L,995 km
TXL,SXF,2019-07-27,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,TXL,2019-08-28,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,PUY,2019-08-28,€7.000000,266.460000 kg,28.010000 L,906 km
PUY,TXL,2019-09-06,€7.000000,266.460000 kg,28.010000 L,906 km
TXL,CDG,2019-09-06,€6.000000,233.000000 kg,24.550000 L,900 km
CDG,TXL,2019-11-16,€6.000000,233.000000 kg,24.550000 L,900 km
TXL,LHR,2019-11-16,€7.000000,263.000000 kg,27.080000 L,995 km
LHR,TXL,2019-12-31,€7.000000,263.000000 kg,27.080000 L,995 km
