DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
ARN,BEY,2019-01-12,€20.000000,826.470000 kg,74.040000 L,3198 km
BEY,ARN,2019-02-09,€20.000000,826.470000 kg,74.040000 L,3198 km
ARN,YHU,2019-02-22,€40.000000,1707.920000 kg,148.580000 L,5927 km
YHU,YYC,2019-02-23,€18.000000,777.260000 kg,69.930000 L,2990 km
YYC,TXL,2019-03-02,€54.000000,2305.110000 kg,199.220000 L,7537 km
TXL,ARN,2019-03-29,€6.000000,233.000000 kg,24.810000 L,888 km
ARN,HAM,2019-04-28,€7.000000,277.000000 kg,29.360000 L,876 km
HAM,ARN,2019-05-11,€7.000000,277.000000 kg,29.360000 L,876 km
ARN,TLL,2019-05-17,€5.000000,112.000000 kg,16.200000 L,439 km
TLL,ARN,2019-05-27,€5.000000,112.000000 kg,16.200000 L,439 km
ARN,DET,2019-05-27,€46.000000,1966.090000 kg,170.490000 L,6646 km
DET,ARN,2019-06-07,€46.000000,1966.090000 kg,170.490000 L,6646 km
ARN,TXL,2019-06-08,€6.000000,233.000000 kg,24.810000 L,888 km
TXL,ARN,2019-07-06,€6.000000,233.000000 kg,24.810000 L,888 km
ARN,SCN,2019-07-06,€10.000000,395.380000 kg,38.420000 L,1402 km
SCN,ARN,2019-07-18,€10.000000,395.380000 kg,38.420000 L,1402 km
ARN,BCN,2019-07-18,€12.000000,510.000000 kg,46.580000 L,2364 km
ARN,IBZ,2019-08-06,€16.000000,694.780000 kg,63.050000 L,2641 km
IBZ,ARN,2019-08-24,€16.000000,694.780000 kg,63.050000 L,2641 km
ARN,AMS,2019-08-24,€9.000000,356.000000 kg,35.440000 L,1202 km
AMS,ARN,2019-09-07,€9.000000,356.000000 kg,35.440000 L,1202 km
ARN,TXL,2019-09-07,€6.000000,233.000000 kg,24.810000 L,888 km
TXL,ARN,2019-09-28,€6.000000,233.000000 kg,24.810000 L,888 km
ARN,LGA,2019-10-05,€43.000000,1857.010000 kg,161.230000 L,6342 km
LGA,MAN,2019-10-19,€36.000000,1524.100000 kg,132.980000 L,5415 km
MAN,ARN,2019-10-26,€11.000000,456.000000 kg,43.790000 L,1463 km
ARN,LHR,2019-10-26,€10.000000,403.000000 kg,38.730000 L,1511 km
LHR,ARN,2019-11-16,€10.000000,403.000000 kg,38.730000 L,1511 km
ARN,EOH,2019-11-16,€73.000000,3146.240000 kg,270.440000 L,9668 km
EOH,ARN,2019-12-13,€73.000000,3146.240000 kg,270.440000 L,9668 km
ARN,HND,2019-12-20,€60.000000,2577.020000 kg,222.240000 L,8226 km
HND,ARN,2019-12-21,€60.000000,2577.020000 kg,222.240000 L,8226 km
