DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
PHL,TXL,2019-02-23,€45.000000,1939.640000 kg,168.250000 L,6572 km
TXL,PHL,2019-03-15,€45.000000,1939.640000 kg,168.250000 L,6572 km
PHL,CGH,2019-03-15,€55.000000,2376.530000 kg,205.270000 L,7718 km
CGH,PHL,2019-04-19,€55.000000,2376.530000 kg,205.270000 L,7718 km
PHL,LGA,2019-04-19,€5.000000,43.000000 kg,10.880000 L,203 km
LGA,PHL,2019-05-24,€5.000000,43.000000 kg,10.880000 L,203 km
PHL,LGA,2019-05-24,€5.000000,43.000000 kg,10.880000 L,203 km
LGA,PHL,2019-06-09,€5.000000,43.000000 kg,10.880000 L,203 km
PHL,TXL,2019-06-09,€45.000000,1939.640000 kg,168.250000 L,6572 km
TXL,BLQ,2019-06-23,€7.000000,282.180000 kg,29.270000 L,956 km
BLQ,PHL,2019-08-16,€47.000000,2041.130000 kg,176.860000 L,6855 km
PHL,LGA,2019-08-16,€5.000000,43.000000 kg,10.880000 L,203 km
LGA,PHL,2019-09-20,€5.000000,43.000000 kg,10.880000 L,203 km
PHL,TXL,2019-09-20,€45.000000,1939.640000 kg,168.250000 L,6572 km
TXL,PHL,2019-11-23,€45.000000,1939.640000 kg,168.250000 L,6572 km
