DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
VIE,TXL,2019-01-25,€5.000000,147.000000 kg,17.720000 L,596 km
TXL,VIE,2019-02-01,€5.000000,147.000000 kg,17.720000 L,596 km
VIE,AUS,2019-02-01,€68.000000,2945.830000 kg,253.470000 L,9160 km
AUS,BIF,2019-02-02,€15.000000,625.150000 kg,57.230000 L,2347 km
BIF,SPG,2019-02-08,€6.000000,257.560000 kg,27.290000 L,878 km
SPG,LNA,2019-02-09,€5.000000,78.440000 kg,15.260000 L,342 km
LNA,VIE,2019-03-02,€61.000000,2619.180000 kg,225.810000 L,8333 km
VIE,KUL,2019-03-02,€70.000000,3024.000000 kg,260.250000 L,9465 km
KUL,HAM,2019-03-16,€75.000000,3238.720000 kg,278.270000 L,9903 km
HAM,VIE,2019-03-29,€6.000000,225.000000 kg,24.300000 L,816 km
VIE,SFO,2019-04-25,€73.000000,3156.880000 kg,271.340000 L,9695 km
SFO,PSP,2019-04-26,€5.000000,214.000000 kg,24.050000 L,728 km
PSP,VIE,2019-05-14,€74.000000,3206.390000 kg,275.530000 L,9821 km
VIE,TXL,2019-05-14,€5.000000,147.000000 kg,17.720000 L,596 km
TXL,VIE,2019-05-18,€5.000000,147.000000 kg,17.720000 L,596 km
VIE,PRG,2019-05-18,€5.000000,59.000000 kg,14.930000 L,328 km
PRG,VIE,2019-05-25,€5.000000,59.000000 kg,14.930000 L,328 km
VIE,DET,2019-05-25,€51.000000,2204.810000 kg,190.730000 L,7283 km
DET,SFO,2019-05-26,€21.000000,878.690000 kg,78.400000 L,3419 km
SFO,VIE,2019-06-22,€73.000000,3156.880000 kg,271.340000 L,9695 km
VIE,LCY,2019-06-22,€9.000000,362.850000 kg,35.790000 L,1270 km
LCY,VIE,2019-07-04,€9.000000,362.850000 kg,35.790000 L,1270 km
VIE,BCN,2019-07-04,€8.000000,318.000000 kg,30.630000 L,1420 km
BCN,SZG,2019-07-06,€8.000000,339.630000 kg,33.910000 L,1176 km
SZG,VIE,2019-07-11,€5.000000,47.000000 kg,11.890000 L,317 km
VIE,LGA,2019-07-11,€47.000000,2034.950000 kg,176.330000 L,6838 km
LGA,TXL,2019-07-20,€44.000000,1885.170000 kg,163.630000 L,6421 km
TXL,VIE,2019-08-03,€5.000000,147.000000 kg,17.720000 L,596 km
VIE,PZY,2019-08-09,€5.000000,35.110000 kg,8.880000 L,172 km
PZY,VIE,2019-08-17,€5.000000,35.110000 kg,8.880000 L,172 km
VIE,CPH,2019-08-17,€7.000000,261.000000 kg,27.340000 L,940 km
CPH,VIE,2019-08-31,€7.000000,261.000000 kg,27.340000 L,940 km
VIE,PRG,2019-08-31,€5.000000,59.000000 kg,14.930000 L,328 km
PRG,VIE,2019-09-11,€5.000000,59.000000 kg,14.930000 L,328 km
VIE,TXL,2019-09-11,€5.000000,147.000000 kg,17.720000 L,596 km
TXL,VIE,2019-09-19,€5.000000,147.000000 kg,17.720000 L,596 km
VIE,TXL,2019-09-19,€5.000000,147.000000 kg,17.720000 L,596 km
TXL,VIE,2019-10-05,€5.000000,147.000000 kg,17.720000 L,596 km
VIE,SJO,2019-10-05,€76.000000,3280.390000 kg,281.800000 L,10006 km
SJO,TXL,2019-10-11,€73.000000,3153.500000 kg,271.060000 L,9687 km
TXL,VIE,2019-10-17,€5.000000,147.000000 kg,17.720000 L,596 km
VIE,AMS,2019-10-17,€8.000000,316.000000 kg,32.400000 L,1009 km
AMS,VIE,2019-11-30,€8.000000,316.000000 kg,32.400000 L,1009 km
VIE,FRA,2019-11-30,€5.000000,178.000000 kg,20.500000 L,670 km
FRA,VIE,2019-12-07,€5.000000,178.000000 kg,20.500000 L,670 km
VIE,TXL,2019-12-07,€5.000000,147.000000 kg,17.720000 L,596 km
TXL,VIE,2019-12-27,€5.000000,147.000000 kg,17.720000 L,596 km
