DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
AMS,ORY,2019-01-25,€5.000000,138.740000 kg,18.860000 L,485 km
ORY,BRU,2019-01-26,€5.000000,75.670000 kg,15.090000 L,336 km
BRU,AMS,2019-03-08,€5.000000,49.000000 kg,12.400000 L,206 km
AMS,MAN,2019-03-08,€5.000000,157.000000 kg,20.000000 L,534 km
MAN,AMS,2019-04-20,€5.000000,157.000000 kg,20.000000 L,534 km
AMS,FRA,2019-04-20,€5.000000,118.000000 kg,17.970000 L,417 km
FRA,AMS,2019-05-25,€5.000000,118.000000 kg,17.970000 L,417 km
AMS,LGA,2019-05-25,€40.000000,1698.650000 kg,147.790000 L,5901 km
LGA,DET,2019-05-27,€6.000000,242.760000 kg,26.110000 L,831 km
DET,BRS,2019-06-01,€40.000000,1707.980000 kg,148.590000 L,5927 km
BRS,AMS,2019-06-07,€5.000000,206.000000 kg,25.310000 L,571 km
AMS,BOM,2019-06-07,€46.000000,1991.000000 kg,172.400000 L,6907 km
BOM,DEL,2019-06-08,€6.000000,256.000000 kg,25.560000 L,1186 km
DEL,TXL,2019-06-22,€39.000000,1677.260000 kg,145.980000 L,5841 km
TXL,AMS,2019-07-05,€5.000000,183.000000 kg,21.770000 L,628 km
AMS,GLO,2019-07-05,€5.000000,152.840000 kg,19.760000 L,527 km
GLO,AMS,2019-07-29,€5.000000,152.840000 kg,19.760000 L,527 km
AMS,IBZ,2019-07-29,€11.000000,436.920000 kg,41.780000 L,1570 km
IBZ,AMS,2019-08-08,€11.000000,436.920000 kg,41.780000 L,1570 km
AMS,KNF,2019-08-08,€5.000000,108.610000 kg,17.060000 L,414 km
KNF,AMS,2019-09-21,€5.000000,108.610000 kg,17.060000 L,414 km
AMS,LHR,2019-10-12,€5.000000,105.000000 kg,15.940000 L,417 km
LHR,AMS,2019-11-08,€5.000000,105.000000 kg,15.940000 L,417 km
