DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
SXF,MAN,2019-01-18,€8.000000,323.340000 kg,32.590000 L,1110 km
MAN,SXF,2019-02-09,€8.000000,323.340000 kg,32.590000 L,1110 km
SXF,TXL,2019-02-09,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-03-29,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,LCY,2019-03-29,€7.000000,288.480000 kg,29.770000 L,976 km
LCY,SXF,2019-05-10,€7.000000,288.480000 kg,29.770000 L,976 km
SXF,LCY,2019-05-10,€7.000000,288.480000 kg,29.770000 L,976 km
LCY,SXF,2019-06-15,€7.000000,288.480000 kg,29.770000 L,976 km
SXF,LBG,2019-06-15,€7.000000,271.260000 kg,28.390000 L,921 km
LBG,SXF,2019-08-08,€7.000000,271.260000 kg,28.390000 L,921 km
SXF,KNF,2019-08-08,€7.000000,296.870000 kg,30.450000 L,1003 km
KNF,SXF,2019-08-24,€7.000000,296.870000 kg,30.450000 L,1003 km
SXF,TXL,2019-08-24,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-08-28,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,PUY,2019-08-28,€7.000000,264.000000 kg,27.810000 L,898 km
PUY,SXF,2019-11-10,€7.000000,264.000000 kg,27.810000 L,898 km
SXF,LCY,2019-11-10,€7.000000,288.480000 kg,29.770000 L,976 km
LCY,SXF,2019-11-22,€7.000000,288.480000 kg,29.770000 L,976 km
