DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
LHR,BRU,2019-04-17,€5.000000,103.000000 kg,16.450000 L,399 km
BRU,LHR,2019-06-26,€5.000000,103.000000 kg,16.450000 L,399 km
LHR,YEO,2019-06-26,€5.000000,42.800000 kg,10.830000 L,209 km
YEO,WRO,2019-06-28,€10.000000,398.970000 kg,38.710000 L,1416 km
WRO,DUB,2019-06-29,€11.000000,455.160000 kg,43.260000 L,1644 km
DUB,LHR,2019-07-13,€5.000000,128.000000 kg,16.960000 L,499 km
LHR,CDG,2019-07-13,€5.000000,87.000000 kg,13.920000 L,396 km
CDG,LHR,2019-08-15,€5.000000,87.000000 kg,13.920000 L,396 km
LHR,VKO,2019-08-15,€16.000000,674.390000 kg,61.340000 L,2555 km
VKO,LHR,2019-09-06,€16.000000,674.390000 kg,61.340000 L,2555 km
LHR,TLS,2019-09-06,€6.000000,242.000000 kg,25.310000 L,930 km
TLS,AMS,2019-09-07,€9.000000,366.000000 kg,37.210000 L,1045 km
AMS,LHR,2019-10-04,€5.000000,105.000000 kg,15.940000 L,417 km
LHR,HND,2019-10-04,€73.000000,3139.550000 kg,269.870000 L,9651 km
HND,LHR,2019-11-01,€73.000000,3139.550000 kg,269.870000 L,9651 km
LHR,GLA,2019-11-01,€5.000000,155.000000 kg,18.480000 L,604 km
GLA,TXL,2019-11-02,€9.000000,356.890000 kg,35.300000 L,1246 km
TXL,LHR,2019-11-07,€7.000000,263.000000 kg,27.080000 L,995 km
LHR,EBU,2019-11-07,€6.000000,235.480000 kg,25.530000 L,808 km
EBU,PRG,2019-11-08,€7.000000,279.920000 kg,29.090000 L,949 km
PRG,BRU,2019-11-09,€6.000000,259.000000 kg,28.860000 L,745 km
BRU,LHR,2019-11-15,€5.000000,103.000000 kg,16.450000 L,399 km
LHR,CDG,2019-11-15,€5.000000,87.000000 kg,13.920000 L,396 km
CDG,MAD,2019-11-16,€7.000000,278.000000 kg,28.100000 L,1111 km
MAD,LYN,2019-11-17,€7.000000,281.900000 kg,29.240000 L,955 km
LYN,LHR,2019-11-22,€6.000000,233.520000 kg,25.370000 L,802 km
LHR,MAN,2019-11-22,€5.000000,49.000000 kg,12.400000 L,291 km
MAN,WAW,2019-11-23,€11.000000,447.600000 kg,42.650000 L,1613 km
WAW,LHR,2019-11-24,€10.000000,431.000000 kg,41.260000 L,1518 km
LHR,LIS,2019-11-28,€9.000000,389.000000 kg,36.960000 L,1614 km
LIS,AMS,2019-11-29,€12.000000,515.000000 kg,48.100000 L,1894 km
AMS,BCN,2019-11-30,€9.000000,381.000000 kg,37.460000 L,1291 km
BCN,LHR,2019-12-06,€7.000000,297.000000 kg,29.620000 L,1197 km
LHR,DUB,2019-12-06,€5.000000,128.000000 kg,16.960000 L,499 km
DUB,OBF,2019-12-07,€10.000000,398.760000 kg,38.690000 L,1416 km
OBF,LHR,2019-12-13,€7.000000,287.530000 kg,29.700000 L,973 km
