DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
BWI,SFO,2019-01-17,€22.000000,948.000000 kg,83.790000 L,3993 km
SFO,BWI,2019-02-23,€22.000000,948.000000 kg,83.790000 L,3993 km
BWI,PDX,2019-02-23,€23.000000,978.410000 kg,86.730000 L,3841 km
PDX,BWI,2019-03-02,€23.000000,978.410000 kg,86.730000 L,3841 km
BWI,LHR,2019-03-02,€34.000000,1448.000000 kg,126.070000 L,5881 km
LHR,LGA,2019-03-15,€37.000000,1587.960000 kg,138.400000 L,5593 km
LGA,BWI,2019-03-26,€5.000000,88.000000 kg,16.700000 L,346 km
BWI,MBJ,2019-03-26,€12.000000,495.000000 kg,45.310000 L,2350 km
MBJ,LHR,2019-04-06,€54.000000,2332.550000 kg,201.540000 L,7606 km
LHR,BWI,2019-05-05,€34.000000,1448.000000 kg,126.070000 L,5881 km
BWI,LPL,2019-05-05,€38.000000,1617.100000 kg,140.880000 L,5674 km
LPL,BWI,2019-06-07,€38.000000,1617.100000 kg,140.880000 L,5674 km
BWI,LHR,2019-06-07,€34.000000,1448.000000 kg,126.070000 L,5881 km
LHR,BWI,2019-07-24,€34.000000,1448.000000 kg,126.070000 L,5881 km
BWI,ZAD,2019-07-24,€51.000000,2213.580000 kg,191.470000 L,7305 km
ZAD,LHR,2019-08-02,€10.000000,415.820000 kg,40.080000 L,1485 km
LHR,IBZ,2019-08-04,€10.000000,409.710000 kg,39.580000 L,1460 km
IBZ,BWI,2019-08-31,€45.000000,1938.170000 kg,168.120000 L,6568 km
BWI,LHR,2019-08-31,€34.000000,1448.000000 kg,126.070000 L,5881 km
LHR,BWI,2019-10-11,€34.000000,1448.000000 kg,126.070000 L,5881 km
BWI,LGA,2019-10-11,€5.000000,88.000000 kg,16.700000 L,346 km
LGA,BWI,2019-12-01,€5.000000,88.000000 kg,16.700000 L,346 km
