DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
LHR,AGP,2019-04-19,€10.000000,423.000000 kg,40.000000 L,1725 km
AGP,LHR,2019-05-03,€10.000000,423.000000 kg,40.000000 L,1725 km
LHR,CPH,2019-05-03,€7.000000,268.000000 kg,27.340000 L,1028 km
CPH,LHR,2019-07-20,€7.000000,268.000000 kg,27.340000 L,1028 km
LHR,AUS,2019-07-20,€57.000000,2465.940000 kg,212.840000 L,7944 km
AUS,BUR,2019-07-24,€13.000000,552.060000 kg,51.130000 L,2038 km
BUR,LGA,2019-07-25,€24.000000,1017.390000 kg,89.980000 L,4003 km
LGA,DEN,2019-07-27,€15.000000,621.000000 kg,56.200000 L,2647 km
LHR,IBZ,2019-10-02,€10.000000,409.710000 kg,39.580000 L,1460 km
IBZ,LHR,2019-10-22,€10.000000,409.710000 kg,39.580000 L,1460 km
LHR,LGA,2019-10-22,€37.000000,1587.960000 kg,138.400000 L,5593 km
HOU,HHR,2019-11-09,€14.000000,608.560000 kg,55.850000 L,2277 km
