DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
GRR,GNB,2019-02-08,€48.000000,2071.000000 kg,179.390000 L,6938 km
GNB,GRR,2019-03-28,€48.000000,2071.000000 kg,179.390000 L,6938 km
GRR,TNT,2019-03-28,€51.000000,2182.420000 kg,188.830000 L,7226 km
SOU,LCY,2019-04-14,€5.000000,34.100000 kg,8.630000 L,167 km
LCY,OPO,2019-04-18,€9.000000,389.900000 kg,37.980000 L,1380 km
OPO,TXL,2019-04-20,€14.000000,574.690000 kg,53.020000 L,2134 km
TXL,GRR,2019-05-31,€48.000000,2069.310000 kg,179.250000 L,6934 km
GRR,IBZ,2019-05-31,€49.000000,2106.550000 kg,182.410000 L,7034 km
IBZ,GRR,2019-06-16,€49.000000,2106.550000 kg,182.410000 L,7034 km
GRR,IBZ,2019-06-16,€49.000000,2106.550000 kg,182.410000 L,7034 km
IBZ,LGA,2019-06-22,€43.000000,1833.160000 kg,159.210000 L,6276 km
LGA,GRR,2019-06-29,€8.000000,318.000000 kg,32.400000 L,1041 km
GRR,AMS,2019-06-29,€44.000000,1899.260000 kg,164.820000 L,6460 km
AMS,GRR,2019-07-14,€44.000000,1899.260000 kg,164.820000 L,6460 km
GRR,IBZ,2019-07-14,€49.000000,2106.550000 kg,182.410000 L,7034 km
IBZ,ORY,2019-07-20,€8.000000,332.960000 kg,33.370000 L,1149 km
ORY,ZAD,2019-07-24,€8.000000,337.670000 kg,33.750000 L,1168 km
ZAD,BOD,2019-07-26,€9.000000,376.900000 kg,36.920000 L,1327 km
BOD,AMS,2019-07-27,€7.000000,301.000000 kg,31.130000 L,972 km
AMS,BQH,2019-08-03,€5.000000,95.700000 kg,16.290000 L,383 km
BQH,SOU,2019-08-07,€5.000000,34.500000 kg,8.730000 L,169 km
SOU,IBZ,2019-08-13,€10.000000,397.670000 kg,38.610000 L,1411 km
IBZ,GRR,2019-08-31,€49.000000,2106.550000 kg,182.410000 L,7034 km
GRR,LCY,2019-08-31,€42.000000,1812.490000 kg,157.460000 L,6218 km
LCY,GRR,2019-10-11,€42.000000,1812.490000 kg,157.460000 L,6218 km
GRR,LGA,2019-11-02,€8.000000,318.000000 kg,32.400000 L,1041 km
LGA,GRR,2019-11-09,€8.000000,318.000000 kg,32.400000 L,1041 km
GRR,SFO,2019-11-09,€20.000000,829.000000 kg,74.250000 L,3209 km
SFO,GRR,2019-11-17,€20.000000,829.000000 kg,74.250000 L,3209 km
