DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
SVW,GLA,2019-01-01,€47.000000,2030.740000 kg,175.980000 L,6826 km
GLA,DET,2019-01-05,€37.000000,1607.340000 kg,140.050000 L,5647 km
DET,SVW,2019-01-18,€33.000000,1428.210000 kg,124.850000 L,5148 km
SVW,MXP,2019-01-18,€59.000000,2536.600000 kg,218.820000 L,8124 km
MXP,NAP,2019-01-19,€5.000000,206.000000 kg,23.030000 L,742 km
NAP,NCL,2019-02-01,€13.000000,546.600000 kg,50.670000 L,2015 km
NCL,WAT,2019-02-02,€5.000000,152.340000 kg,19.720000 L,525 km
WAT,GRQ,2019-02-09,€7.000000,288.880000 kg,29.800000 L,977 km
GRQ,DCA,2019-02-16,€43.000000,1850.870000 kg,160.710000 L,6325 km
DCA,SVW,2019-02-22,€38.000000,1651.990000 kg,143.840000 L,5771 km
SVW,LIS,2019-02-22,€63.000000,2709.870000 kg,233.490000 L,8563 km
LIS,OPO,2019-02-23,€5.000000,57.000000 kg,14.430000 L,327 km
OPO,MAN,2019-03-08,€10.000000,416.360000 kg,40.120000 L,1487 km
MAN,LHR,2019-03-09,€5.000000,49.000000 kg,12.400000 L,291 km
LHR,GVA,2019-03-22,€5.000000,209.000000 kg,22.780000 L,802 km
GVA,CDG,2019-03-23,€5.000000,105.000000 kg,14.930000 L,457 km
CDG,LHR,2019-03-31,€5.000000,87.000000 kg,13.920000 L,396 km
LHR,SVW,2019-04-05,€52.000000,2236.500000 kg,193.410000 L,7363 km
SVW,NTE,2019-04-05,€56.000000,2414.220000 kg,208.460000 L,7813 km
NTE,LYN,2019-04-06,€5.000000,166.830000 kg,20.690000 L,575 km
LYN,BCN,2019-04-07,€5.000000,172.150000 kg,21.050000 L,594 km
BCN,AUH,2019-04-12,€34.000000,1445.840000 kg,126.340000 L,5197 km
AUH,SVW,2019-04-27,€78.000000,3371.670000 kg,289.540000 L,10189 km
SVW,AMS,2019-04-27,€52.000000,2228.780000 kg,192.760000 L,7344 km
AMS,BLQ,2019-04-30,€9.000000,365.000000 kg,37.210000 L,1038 km
BLQ,SVW,2019-05-17,€60.000000,2594.560000 kg,223.730000 L,8270 km
SVW,ARN,2019-05-17,€46.000000,1962.250000 kg,170.160000 L,6635 km
ARN,MLH,2019-05-18,€10.000000,430.220000 kg,41.240000 L,1543 km
MLH,IBZ,2019-05-20,€8.000000,333.170000 kg,33.380000 L,1150 km
IBZ,NCE,2019-05-24,€6.000000,236.000000 kg,26.070000 L,769 km
NCE,AMS,2019-06-01,€9.000000,355.000000 kg,36.200000 L,1027 km
AMS,IBZ,2019-06-17,€11.000000,436.920000 kg,41.780000 L,1570 km
IBZ,RKV,2019-06-21,€20.000000,838.930000 kg,75.080000 L,3251 km
RKV,WAT,2019-06-22,€11.000000,451.730000 kg,42.980000 L,1630 km
WAT,SFO,2019-06-30,€60.000000,2603.440000 kg,224.480000 L,8293 km
SFO,SVW,2019-07-05,€21.000000,904.810000 kg,80.580000 L,3529 km
SVW,MXP,2019-07-05,€59.000000,2536.600000 kg,218.820000 L,8124 km
MXP,IBZ,2019-07-08,€7.000000,279.000000 kg,28.600000 L,1012 km
IBZ,CIA,2019-07-12,€7.000000,303.120000 kg,30.950000 L,1028 km
CIA,ORY,2019-07-20,€8.000000,330.160000 kg,33.140000 L,1138 km
ORY,ZAD,2019-07-24,€8.000000,337.670000 kg,33.750000 L,1168 km
ZAD,OPO,2019-07-26,€13.000000,551.690000 kg,51.100000 L,2036 km
OPO,SVW,2019-08-10,€61.000000,2612.330000 kg,225.230000 L,8315 km
SVW,RTM,2019-08-10,€52.000000,2242.920000 kg,193.950000 L,7379 km
RTM,IBZ,2019-08-14,€10.000000,425.900000 kg,40.890000 L,1525 km
IBZ,OSL,2019-08-16,€16.000000,665.660000 kg,60.620000 L,2518 km
OSL,CDG,2019-08-22,€10.000000,419.000000 kg,40.500000 L,1407 km
CDG,TAR,2019-08-24,€10.000000,430.670000 kg,41.280000 L,1545 km
TAR,DUB,2019-09-07,€15.000000,619.880000 kg,56.790000 L,2325 km
DUB,BCN,2019-09-13,€10.000000,428.720000 kg,41.120000 L,1537 km
BCN,IBZ,2019-09-14,€5.000000,47.000000 kg,11.890000 L,324 km
IBZ,AMS,2019-09-25,€11.000000,436.920000 kg,41.780000 L,1570 km
AMS,IBZ,2019-09-26,€11.000000,436.920000 kg,41.780000 L,1570 km
IBZ,LHR,2019-09-28,€10.000000,409.710000 kg,39.580000 L,1460 km
LHR,YTZ,2019-10-05,€38.000000,1645.060000 kg,143.250000 L,5752 km
YTZ,SVW,2019-10-18,€34.000000,1458.440000 kg,127.410000 L,5232 km
SVW,HEM,2019-10-18,€45.000000,1942.200000 kg,168.460000 L,6579 km
HEM,AMS,2019-10-19,€11.000000,437.480000 kg,41.830000 L,1572 km
AMS,SVW,2019-11-28,€52.000000,2228.780000 kg,192.760000 L,7344 km
SVW,SIR,2019-11-28,€58.000000,2504.450000 kg,216.100000 L,8042 km
SIR,SVW,2019-12-31,€58.000000,2504.450000 kg,216.100000 L,8042 km
