DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
STR,LCY,2019-01-11,€6.000000,224.510000 kg,24.650000 L,773 km
LCY,ERF,2019-01-12,€6.000000,236.310000 kg,25.590000 L,811 km
ERF,STR,2019-01-18,€5.000000,75.420000 kg,15.080000 L,335 km
STR,AMS,2019-01-18,€5.000000,190.000000 kg,23.540000 L,560 km
AMS,BWE,2019-01-19,€5.000000,119.560000 kg,17.710000 L,439 km
BWE,STR,2019-01-26,€5.000000,123.210000 kg,17.930000 L,448 km
STR,AMS,2019-02-01,€5.000000,190.000000 kg,23.540000 L,560 km
AMS,WOE,2019-02-02,€5.000000,31.150000 kg,7.880000 L,152 km
WOE,STR,2019-02-15,€5.000000,148.810000 kg,19.490000 L,513 km
STR,DEL,2019-02-15,€42.000000,1786.010000 kg,155.210000 L,6144 km
DEL,BOM,2019-02-16,€6.000000,256.000000 kg,25.560000 L,1186 km
BOM,BLR,2019-02-17,€5.000000,194.000000 kg,20.500000 L,892 km
BLR,GCJ,2019-02-22,€48.000000,2065.090000 kg,178.890000 L,6922 km
GCJ,CPT,2019-02-23,€9.000000,381.810000 kg,37.320000 L,1347 km
CPT,CAS,2019-03-01,€58.000000,2501.780000 kg,215.870000 L,8035 km
CAS,HAM,2019-03-09,€17.000000,702.370000 kg,63.680000 L,2673 km
HAM,STR,2019-03-16,€5.000000,162.000000 kg,19.490000 L,600 km
STR,ESS,2019-03-16,€5.000000,99.460000 kg,16.510000 L,392 km
ESS,STR,2019-03-22,€5.000000,99.460000 kg,16.510000 L,392 km
STR,BRU,2019-03-22,€5.000000,133.000000 kg,18.480000 L,468 km
BRU,STR,2019-04-02,€5.000000,133.000000 kg,18.480000 L,468 km
STR,SIR,2019-04-02,€5.000000,84.100000 kg,15.600000 L,356 km
SIR,STR,2019-04-06,€5.000000,84.100000 kg,15.600000 L,356 km
STR,FMO,2019-04-06,€5.000000,169.000000 kg,24.300000 L,448 km
FMO,BCN,2019-04-07,€9.000000,372.040000 kg,36.530000 L,1307 km
BCN,STR,2019-04-13,€7.000000,272.000000 kg,27.840000 L,1045 km
STR,EIN,2019-04-13,€5.000000,128.600000 kg,18.250000 L,461 km
EIN,STR,2019-04-26,€5.000000,128.600000 kg,18.250000 L,461 km
STR,LCY,2019-04-26,€6.000000,224.510000 kg,24.650000 L,773 km
LCY,AMS,2019-04-27,€5.000000,103.000000 kg,17.210000 L,383 km
AMS,SXB,2019-04-30,€5.000000,162.000000 kg,21.010000 L,515 km
SXB,MAD,2019-05-01,€10.000000,406.000000 kg,39.740000 L,1307 km
MAD,STR,2019-05-04,€10.000000,397.540000 kg,38.600000 L,1411 km
STR,VIE,2019-05-04,€5.000000,202.000000 kg,24.550000 L,596 km
VIE,STR,2019-05-17,€5.000000,202.000000 kg,24.550000 L,596 km
STR,OBF,2019-05-17,€5.000000,44.440000 kg,11.250000 L,217 km
OBF,SOF,2019-05-18,€8.000000,337.730000 kg,33.750000 L,1168 km
SOF,STR,2019-05-24,€9.000000,379.120000 kg,37.100000 L,1336 km
STR,TXL,2019-05-25,€5.000000,159.000000 kg,19.740000 L,565 km
TXL,STR,2019-06-07,€5.000000,159.000000 kg,19.740000 L,565 km
STR,FRA,2019-06-07,€5.000000,44.000000 kg,11.130000 L,204 km
FRA,CDG,2019-06-08,€5.000000,134.000000 kg,17.720000 L,499 km
CDG,ERF,2019-06-09,€5.000000,199.830000 kg,22.900000 L,690 km
ERF,STR,2019-06-14,€5.000000,75.420000 kg,15.080000 L,335 km
STR,BCN,2019-06-14,€7.000000,272.000000 kg,27.840000 L,1045 km
BCN,STR,2019-06-19,€7.000000,272.000000 kg,27.840000 L,1045 km
STR,MHG,2019-06-19,€5.000000,31.260000 kg,7.910000 L,153 km
MHG,LCY,2019-06-21,€5.000000,198.870000 kg,22.830000 L,687 km
LCY,STR,2019-06-29,€6.000000,224.510000 kg,24.650000 L,773 km
STR,AMS,2019-06-29,€5.000000,190.000000 kg,23.540000 L,560 km
AMS,STR,2019-07-05,€5.000000,190.000000 kg,23.540000 L,560 km
STR,CLY,2019-07-05,€5.000000,212.780000 kg,23.760000 L,735 km
CLY,STR,2019-07-12,€5.000000,212.780000 kg,23.760000 L,735 km
STR,MRS,2019-07-12,€5.000000,205.560000 kg,23.280000 L,710 km
MRS,STR,2019-07-20,€5.000000,205.560000 kg,23.280000 L,710 km
STR,ORY,2019-07-20,€5.000000,159.590000 kg,20.210000 L,550 km
ORY,STR,2019-07-26,€5.000000,159.590000 kg,20.210000 L,550 km
STR,AGB,2019-07-26,€5.000000,36.410000 kg,9.210000 L,178 km
AGB,STR,2019-08-09,€5.000000,36.410000 kg,9.210000 L,178 km
STR,IBZ,2019-08-09,€7.000000,280.000000 kg,27.340000 L,1307 km
IBZ,STR,2019-08-14,€7.000000,280.000000 kg,27.340000 L,1307 km
AMS,ZAD,2019-08-18,€9.000000,358.410000 kg,35.430000 L,1252 km
ZAD,STR,2019-08-24,€5.000000,215.640000 kg,23.950000 L,745 km
STR,IST,2019-08-24,€10.000000,431.000000 kg,40.500000 L,1807 km
IST,STR,2019-08-31,€10.000000,431.000000 kg,40.500000 L,1807 km
STR,GVA,2019-09-06,€5.000000,124.000000 kg,19.240000 L,409 km
GVA,STR,2019-09-13,€5.000000,124.000000 kg,19.240000 L,409 km
STR,OPO,2019-09-13,€11.000000,464.310000 kg,44.000000 L,1681 km
OPO,BUD,2019-09-14,€15.000000,629.270000 kg,57.580000 L,2364 km
BUD,STR,2019-09-20,€6.000000,234.000000 kg,25.310000 L,806 km
STR,MHG,2019-09-20,€5.000000,31.260000 kg,7.910000 L,153 km
MHG,LCY,2019-09-21,€5.000000,198.870000 kg,22.830000 L,687 km
LCY,STR,2019-09-25,€6.000000,224.510000 kg,24.650000 L,773 km
STR,LBA,2019-09-25,€7.000000,295.690000 kg,30.350000 L,999 km
LBA,STR,2019-10-04,€7.000000,295.690000 kg,30.350000 L,999 km
STR,AUH,2019-10-04,€31.000000,1305.010000 kg,114.390000 L,4805 km
AUH,NUE,2019-10-05,€30.000000,1269.240000 kg,111.360000 L,4705 km
NUE,STR,2019-10-11,€5.000000,43.790000 kg,11.080000 L,214 km
TXL,STR,2019-10-17,€5.000000,159.000000 kg,19.740000 L,565 km
STR,AMS,2019-10-17,€5.000000,190.000000 kg,23.540000 L,560 km
AMS,CGN,2019-10-18,€5.000000,61.000000 kg,15.440000 L,280 km
CGN,STR,2019-10-30,€5.000000,74.780000 kg,15.040000 L,334 km
STR,HAJ,2019-10-30,€5.000000,116.000000 kg,16.200000 L,468 km
HAJ,MLH,2019-11-01,€5.000000,173.730000 kg,21.150000 L,599 km
MLH,FRA,2019-11-02,€5.000000,70.170000 kg,14.670000 L,319 km
FRA,STR,2019-11-09,€5.000000,44.000000 kg,11.130000 L,204 km
STR,ZRH,2019-11-09,€5.000000,41.000000 kg,10.370000 L,195 km
ZRH,STR,2019-11-22,€5.000000,41.000000 kg,10.370000 L,195 km
STR,ORY,2019-11-22,€5.000000,159.590000 kg,20.210000 L,550 km
