DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
BGN,HND,2019-04-16,€71.000000,3048.660000 kg,262.180000 L,9421 km
HND,ITM,2019-04-22,€5.000000,114.000000 kg,16.200000 L,452 km
ITM,BGN,2019-05-31,€70.000000,3004.960000 kg,258.480000 L,9310 km
BGN,EIN,2019-05-31,€5.000000,22.260000 kg,5.630000 L,109 km
EIN,BGN,2019-06-27,€5.000000,22.260000 kg,5.630000 L,109 km
BGN,FCO,2019-06-27,€8.000000,344.200000 kg,34.280000 L,1195 km
FCO,BGN,2019-07-11,€8.000000,344.200000 kg,34.280000 L,1195 km
BGN,LBG,2019-07-11,€5.000000,107.690000 kg,17.010000 L,411 km
LBG,BGN,2019-07-18,€5.000000,107.690000 kg,17.010000 L,411 km
BGN,MAN,2019-07-18,€5.000000,193.880000 kg,22.500000 L,669 km
MAN,BGN,2019-09-07,€5.000000,193.880000 kg,22.500000 L,669 km
BGN,CWL,2019-09-07,€5.000000,205.470000 kg,23.270000 L,709 km
CWL,BGN,2019-09-13,€5.000000,205.470000 kg,23.270000 L,709 km
