DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
DET,YTZ,2019-01-11,€5.000000,91.440000 kg,16.030000 L,373 km
YTZ,DET,2019-02-15,€5.000000,91.440000 kg,16.030000 L,373 km
DET,ABQ,2019-02-15,€14.000000,601.600000 kg,55.270000 L,2247 km
ABQ,DET,2019-03-02,€14.000000,601.600000 kg,55.270000 L,2247 km
DET,CDG,2019-03-02,€44.000000,1870.580000 kg,162.390000 L,6380 km
CDG,DET,2019-05-10,€44.000000,1870.580000 kg,162.390000 L,6380 km
DET,LGA,2019-05-10,€6.000000,242.760000 kg,26.110000 L,831 km
LGA,DET,2019-05-27,€6.000000,242.760000 kg,26.110000 L,831 km
DET,TXL,2019-06-28,€47.000000,2032.230000 kg,176.100000 L,6830 km
TXL,DET,2019-07-13,€47.000000,2032.230000 kg,176.100000 L,6830 km
DET,MEL,2019-07-19,€93.000000,4002.510000 kg,343.010000 L,11452 km
MEL,PEG,2019-08-02,€112.000000,4837.000000 kg,414.430000 L,11694 km
PEG,DET,2019-08-22,€52.000000,2243.870000 kg,194.040000 L,7382 km
DET,AMS,2019-08-22,€43.000000,1858.270000 kg,161.340000 L,6346 km
AMS,DET,2019-09-06,€43.000000,1858.270000 kg,161.340000 L,6346 km
DET,FAO,2019-09-12,€43.000000,1839.100000 kg,159.710000 L,6292 km
FAO,BRU,2019-09-13,€12.000000,510.000000 kg,47.590000 L,1881 km
BRU,TAR,2019-09-14,€11.000000,437.000000 kg,41.790000 L,1570 km
TAR,FAO,2019-09-15,€14.000000,605.400000 kg,55.580000 L,2263 km
FAO,ATL,2019-09-20,€47.000000,2024.950000 kg,175.490000 L,6810 km
ATL,DET,2019-10-18,€7.000000,303.930000 kg,31.020000 L,1032 km
DET,LHR,2019-10-18,€41.000000,1757.660000 kg,152.810000 L,6065 km
LHR,DET,2019-10-25,€41.000000,1757.660000 kg,152.810000 L,6065 km
