DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
LTN,SHA,2019-01-05,€69.000000,2974.640000 kg,255.910000 L,9233 km
SHA,BKK,2019-01-18,€18.000000,768.190000 kg,69.180000 L,2952 km
LHR,LTN,2019-03-08,€5.000000,19.230000 kg,4.860000 L,94 km
LTN,AMS,2019-03-08,€5.000000,105.060000 kg,16.850000 L,405 km
AMS,LTN,2019-03-15,€5.000000,105.060000 kg,16.850000 L,405 km
LTN,SWS,2019-03-15,€5.000000,66.610000 kg,14.340000 L,306 km
SWS,LTN,2019-03-23,€5.000000,66.610000 kg,14.340000 L,306 km
LTN,TXL,2019-03-23,€7.000000,290.930000 kg,29.970000 L,983 km
TXL,LTN,2019-05-24,€7.000000,290.930000 kg,29.970000 L,983 km
LTN,LHR,2019-05-24,€5.000000,19.230000 kg,4.860000 L,94 km
LHR,LTN,2019-06-08,€5.000000,19.230000 kg,4.860000 L,94 km
LTN,BRS,2019-06-08,€5.000000,45.100000 kg,11.410000 L,221 km
BRS,OBF,2019-06-09,€8.000000,325.680000 kg,32.780000 L,1120 km
OBF,LTN,2019-06-12,€7.000000,290.600000 kg,29.940000 L,982 km
LTN,CFU,2019-06-12,€14.000000,567.760000 kg,52.440000 L,2104 km
CFU,LTN,2019-07-04,€14.000000,567.760000 kg,52.440000 L,2104 km
LTN,GLA,2019-07-04,€5.000000,163.570000 kg,20.480000 L,564 km
GLA,VKO,2019-07-06,€16.000000,688.000000 kg,62.480000 L,2613 km
VKO,LTN,2019-07-11,€16.000000,668.660000 kg,60.870000 L,2531 km
LTN,EMA,2019-07-11,€5.000000,35.800000 kg,9.060000 L,175 km
EMA,LTN,2019-07-27,€5.000000,35.800000 kg,9.060000 L,175 km
LTN,LHR,2019-07-27,€5.000000,19.230000 kg,4.860000 L,94 km
LHR,LTN,2019-08-02,€5.000000,19.230000 kg,4.860000 L,94 km
LTN,KGD,2019-08-02,€10.000000,411.740000 kg,39.740000 L,1468 km
KGD,LTN,2019-09-04,€10.000000,411.740000 kg,39.740000 L,1468 km
LTN,PUY,2019-09-04,€9.000000,384.350000 kg,37.530000 L,1357 km
PUY,LTN,2019-09-15,€9.000000,384.350000 kg,37.530000 L,1357 km
LTN,ONT,2019-09-15,€64.000000,2781.570000 kg,239.560000 L,8744 km
ONT,LHR,2019-09-21,€65.000000,2791.080000 kg,240.370000 L,8768 km
LHR,LTN,2019-10-03,€5.000000,19.230000 kg,4.860000 L,94 km
LTN,DCA,2019-10-03,€40.000000,1708.950000 kg,148.670000 L,5930 km
DCA,DET,2019-10-05,€5.000000,199.800000 kg,22.900000 L,690 km
DET,AUS,2019-10-11,€13.000000,525.500000 kg,48.960000 L,1929 km
AUS,LTN,2019-11-07,€57.000000,2460.900000 kg,212.410000 L,7932 km
LTN,HHR,2019-11-07,€65.000000,2801.350000 kg,241.240000 L,8794 km
HHR,ATL,2019-11-14,€19.000000,820.600000 kg,73.550000 L,3173 km
ATL,LTN,2019-11-29,€47.000000,2024.860000 kg,175.480000 L,6810 km
