DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
SXF,LHR,2019-01-01,€7.000000,299.160000 kg,30.630000 L,1012 km
LHR,SXF,2019-01-05,€7.000000,299.160000 kg,30.630000 L,1012 km
SXF,PNH,2019-01-05,€68.000000,2938.250000 kg,252.830000 L,9141 km
PNH,DPS,2019-01-11,€16.000000,680.660000 kg,61.870000 L,2582 km
DPS,CDG,2019-01-19,€104.000000,4498.660000 kg,385.060000 L,12446 km
CDG,SXF,2019-01-25,€7.000000,268.370000 kg,28.160000 L,912 km
SXF,IST,2019-01-25,€12.000000,480.460000 kg,45.310000 L,1746 km
IST,SXF,2019-02-16,€12.000000,480.460000 kg,45.310000 L,1746 km
VIE,SXF,2019-03-06,€5.000000,164.440000 kg,20.530000 L,567 km
SXF,TXL,2019-03-06,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-03-10,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,SFO,2019-03-10,€68.000000,2955.670000 kg,254.300000 L,9185 km
ORL,BOS,2019-03-20,€12.000000,506.010000 kg,47.380000 L,1850 km
BOS,YHU,2019-03-21,€5.000000,152.480000 kg,19.730000 L,525 km
YHU,LHR,2019-03-23,€35.000000,1479.450000 kg,129.190000 L,5290 km
LHR,TXL,2019-03-31,€7.000000,263.000000 kg,27.080000 L,995 km
TXL,SXF,2019-04-04,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,TRN,2019-04-04,€7.000000,290.650000 kg,29.940000 L,983 km
TRN,CDG,2019-04-06,€5.000000,179.000000 kg,21.260000 L,621 km
CDG,SXF,2019-04-19,€7.000000,268.370000 kg,28.160000 L,912 km
SXF,TXL,2019-04-19,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-04-25,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,TXL,2019-04-25,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-05-04,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,TXL,2019-05-04,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,LHR,2019-05-05,€7.000000,263.000000 kg,27.080000 L,995 km
LHR,SXF,2019-05-17,€7.000000,299.160000 kg,30.630000 L,1012 km
SXF,VRN,2019-05-17,€6.000000,250.310000 kg,26.710000 L,855 km
VRN,SXF,2019-05-24,€6.000000,250.310000 kg,26.710000 L,855 km
SXF,CCP,2019-05-24,€111.000000,4784.710000 kg,409.310000 L,13019 km
CCP,GRU,2019-06-01,€18.000000,775.080000 kg,69.750000 L,2981 km
GRU,EZE,2019-06-05,€11.000000,467.000000 kg,43.790000 L,1772 km
EZE,FLN,2019-06-07,€8.000000,327.000000 kg,32.150000 L,1286 km
FLN,BCN,2019-06-14,€70.000000,3012.700000 kg,259.130000 L,9330 km
BCN,SXF,2019-06-29,€11.000000,435.820000 kg,41.700000 L,1566 km
SXF,OPO,2019-06-29,€14.000000,576.830000 kg,53.200000 L,2143 km
OPO,SXF,2019-07-05,€14.000000,576.830000 kg,53.200000 L,2143 km
SXF,LHR,2019-07-05,€7.000000,299.160000 kg,30.630000 L,1012 km
LHR,SXF,2019-07-13,€7.000000,299.160000 kg,30.630000 L,1012 km
SXF,PRG,2019-07-13,€5.000000,72.650000 kg,14.900000 L,328 km
PRG,SXF,2019-07-20,€5.000000,72.650000 kg,14.900000 L,328 km
SXF,BCN,2019-07-20,€11.000000,435.820000 kg,41.700000 L,1566 km
BCN,IBZ,2019-07-21,€5.000000,47.000000 kg,11.890000 L,324 km
IBZ,SXF,2019-07-24,€12.000000,501.760000 kg,47.040000 L,1833 km
SXF,CND,2019-07-24,€10.000000,419.090000 kg,40.340000 L,1498 km
CND,SXF,2019-08-09,€10.000000,419.090000 kg,40.340000 L,1498 km
SXF,TXL,2019-08-09,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,ORY,2019-08-10,€5.000000,202.000000 kg,21.010000 L,927 km
ORY,SXF,2019-08-15,€7.000000,277.190000 kg,28.870000 L,940 km
SXF,CND,2019-08-15,€10.000000,419.090000 kg,40.340000 L,1498 km
CND,SXF,2019-08-24,€10.000000,419.090000 kg,40.340000 L,1498 km
SXF,DEN,2019-08-24,€60.000000,2576.730000 kg,222.220000 L,8225 km
DEN,CZM,2019-08-25,€17.000000,730.170000 kg,66.000000 L,2791 km
CZM,TXL,2019-08-28,€66.000000,2855.930000 kg,245.860000 L,8933 km
TXL,SXF,2019-09-07,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,MAD,2019-09-07,€13.000000,521.750000 kg,48.650000 L,1913 km
MAD,SXF,2019-09-21,€13.000000,521.750000 kg,48.650000 L,1913 km
SXF,IBZ,2019-09-21,€12.000000,501.760000 kg,47.040000 L,1833 km
IBZ,SOF,2019-09-22,€13.000000,530.920000 kg,49.400000 L,1951 km
SOF,SXF,2019-10-25,€9.000000,386.710000 kg,37.720000 L,1367 km
SXF,CDG,2019-10-25,€7.000000,268.370000 kg,28.160000 L,912 km
CDG,CIA,2019-10-26,€8.000000,333.480000 kg,33.410000 L,1151 km
CIA,TXL,2019-10-27,€9.000000,357.980000 kg,35.390000 L,1250 km
TXL,SXF,2019-11-14,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,TXL,2019-11-14,€5.000000,13.420000 kg,3.390000 L,65 km
OTP,SXF,2019-12-07,€9.000000,378.180000 kg,37.030000 L,1332 km
SXF,BRU,2019-12-07,€5.000000,201.770000 kg,23.030000 L,697 km
BRU,SXF,2019-12-20,€5.000000,201.770000 kg,23.030000 L,697 km
SXF,MAN,2019-12-20,€8.000000,323.340000 kg,32.590000 L,1110 km
MAN,LHR,2019-12-22,€5.000000,49.000000 kg,12.400000 L,291 km
LHR,SXF,2019-12-27,€7.000000,299.160000 kg,30.630000 L,1012 km
SXF,BKK,2019-12-27,€64.000000,2747.350000 kg,236.670000 L,8658 km
BKK,SXF,2019-12-31,€64.000000,2747.350000 kg,236.670000 L,8658 km
