DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
HAM,TXL,2019-01-12,€5.000000,58.000000 kg,14.680000 L,299 km
TXL,HAM,2019-01-19,€5.000000,58.000000 kg,14.680000 L,299 km
HAM,SXF,2019-01-19,€5.000000,69.490000 kg,14.610000 L,317 km
SXF,HAM,2019-03-01,€5.000000,69.490000 kg,14.610000 L,317 km
HAM,TXL,2019-03-01,€5.000000,58.000000 kg,14.680000 L,299 km
TXL,HAM,2019-03-22,€5.000000,58.000000 kg,14.680000 L,299 km
HAM,TXL,2019-03-22,€5.000000,58.000000 kg,14.680000 L,299 km
TXL,HAM,2019-03-29,€5.000000,58.000000 kg,14.680000 L,299 km
HAM,LGA,2019-03-29,€42.000000,1795.080000 kg,155.980000 L,6170 km
LGA,MEX,2019-04-05,€21.000000,879.500000 kg,78.470000 L,3422 km
MEX,CGN,2019-04-13,€71.000000,3073.130000 kg,264.250000 L,9483 km
CGN,HAM,2019-04-18,€5.000000,101.000000 kg,15.690000 L,412 km
HAM,TXL,2019-04-18,€5.000000,58.000000 kg,14.680000 L,299 km
TXL,HAM,2019-04-27,€5.000000,58.000000 kg,14.680000 L,299 km
HAM,SFO,2019-04-27,€66.000000,2861.490000 kg,246.330000 L,8947 km
SFO,LGA,2019-05-04,€25.000000,1086.830000 kg,95.880000 L,4197 km
LGA,SXF,2019-05-11,€44.000000,1890.850000 kg,164.110000 L,6436 km
SXF,HAM,2019-05-18,€5.000000,69.490000 kg,14.610000 L,317 km
HAM,LHR,2019-05-18,€6.000000,218.000000 kg,23.790000 L,794 km
LHR,HAM,2019-06-14,€6.000000,218.000000 kg,23.790000 L,794 km
HAM,DUB,2019-06-14,€8.000000,326.130000 kg,32.810000 L,1121 km
DUB,HAM,2019-06-19,€8.000000,326.130000 kg,32.810000 L,1121 km
HAM,BCN,2019-06-19,€8.000000,334.000000 kg,31.890000 L,1542 km
BCN,HAM,2019-06-22,€8.000000,334.000000 kg,31.890000 L,1542 km
HAM,TXL,2019-06-22,€5.000000,58.000000 kg,14.680000 L,299 km
TXL,HAM,2019-07-13,€5.000000,58.000000 kg,14.680000 L,299 km
HAM,SSN,2019-07-13,€60.000000,2597.800000 kg,224.000000 L,8279 km
SSN,HAM,2019-08-08,€60.000000,2597.800000 kg,224.000000 L,8279 km
HAM,SXF,2019-08-09,€5.000000,69.490000 kg,14.610000 L,317 km
SXF,HAM,2019-08-14,€5.000000,69.490000 kg,14.610000 L,317 km
HAM,TXL,2019-09-06,€5.000000,58.000000 kg,14.680000 L,299 km
TXL,HAM,2019-09-11,€5.000000,58.000000 kg,14.680000 L,299 km
HAM,TXL,2019-09-11,€5.000000,58.000000 kg,14.680000 L,299 km
TXL,HAM,2019-09-28,€5.000000,58.000000 kg,14.680000 L,299 km
HAM,BRN,2019-09-28,€7.000000,295.000000 kg,31.890000 L,816 km
BRN,HAM,2019-10-04,€7.000000,295.000000 kg,31.890000 L,816 km
HAM,TXL,2019-10-04,€5.000000,58.000000 kg,14.680000 L,299 km
TXL,SXF,2019-10-05,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,HAM,2019-10-18,€5.000000,69.490000 kg,14.610000 L,317 km
HAM,AAR,2019-10-18,€5.000000,73.230000 kg,14.940000 L,330 km
AAR,AMS,2019-10-20,€5.000000,174.890000 kg,21.230000 L,603 km
AMS,HAM,2019-10-27,€5.000000,125.000000 kg,18.480000 L,428 km
HAM,TXL,2019-10-27,€5.000000,58.000000 kg,14.680000 L,299 km
TXL,HAM,2019-11-02,€5.000000,58.000000 kg,14.680000 L,299 km
HAM,ANR,2019-11-02,€5.000000,148.790000 kg,19.490000 L,513 km
ANR,HAM,2019-11-17,€5.000000,148.790000 kg,19.490000 L,513 km
HAM,TXL,2019-11-17,€5.000000,58.000000 kg,14.680000 L,299 km
TXL,HAM,2019-12-21,€5.000000,58.000000 kg,14.680000 L,299 km
HAM,DCA,2019-12-21,€45.000000,1918.020000 kg,166.410000 L,6512 km
DCA,HAM,2019-12-31,€45.000000,1918.020000 kg,166.410000 L,6512 km
