DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
AMS,LHR,2019-01-11,€5.000000,105.000000 kg,15.940000 L,417 km
LHR,AMS,2019-02-01,€5.000000,105.000000 kg,15.940000 L,417 km
AMS,RTM,2019-02-01,€5.000000,19.850000 kg,5.020000 L,97 km
RTM,AMS,2019-02-08,€5.000000,19.850000 kg,5.020000 L,97 km
AMS,BRS,2019-02-08,€5.000000,206.000000 kg,25.310000 L,571 km
BRS,AMS,2019-02-15,€5.000000,206.000000 kg,25.310000 L,571 km
AMS,PEG,2019-02-16,€9.000000,352.000000 kg,34.910000 L,1226 km
PEG,AMS,2019-03-02,€9.000000,352.000000 kg,34.910000 L,1226 km
AMS,LHR,2019-03-02,€5.000000,105.000000 kg,15.940000 L,417 km
LHR,AMS,2019-03-07,€5.000000,105.000000 kg,15.940000 L,417 km
AMS,WAW,2019-03-23,€9.000000,362.000000 kg,36.200000 L,1151 km
WAW,AMS,2019-04-05,€9.000000,362.000000 kg,36.200000 L,1151 km
AMS,POZ,2019-04-05,€6.000000,254.350000 kg,27.040000 L,868 km
POZ,TXL,2019-04-06,€5.000000,62.010000 kg,13.920000 L,290 km
TXL,AMS,2019-04-19,€5.000000,183.000000 kg,21.770000 L,628 km
AMS,LYN,2019-04-27,€6.000000,227.540000 kg,24.890000 L,783 km
LYN,AMS,2019-05-03,€6.000000,227.540000 kg,24.890000 L,783 km
AMS,LGA,2019-05-03,€40.000000,1698.650000 kg,147.790000 L,5901 km
LGA,SFO,2019-05-05,€25.000000,1086.830000 kg,95.880000 L,4197 km
SFO,DRS,2019-05-11,€70.000000,3009.620000 kg,258.870000 L,9322 km
DRS,AMS,2019-05-18,€5.000000,197.660000 kg,22.750000 L,682 km
AMS,BCN,2019-05-18,€9.000000,381.000000 kg,37.460000 L,1291 km
BCN,AMS,2019-05-24,€9.000000,381.000000 kg,37.460000 L,1291 km
AMS,CGN,2019-05-24,€5.000000,61.000000 kg,15.440000 L,280 km
CGN,AMS,2019-06-01,€5.000000,61.000000 kg,15.440000 L,280 km
AMS,ODS,2019-06-01,€13.000000,547.140000 kg,50.720000 L,2017 km
ODS,AMS,2019-06-06,€13.000000,547.140000 kg,50.720000 L,2017 km
AMS,RTM,2019-06-06,€5.000000,19.850000 kg,5.020000 L,97 km
RTM,LHR,2019-06-07,€5.000000,99.050000 kg,16.490000 L,391 km
LHR,AMS,2019-06-13,€5.000000,105.000000 kg,15.940000 L,417 km
AMS,MAD,2019-06-13,€10.000000,398.000000 kg,38.220000 L,1506 km
MAD,RTM,2019-06-14,€10.000000,411.380000 kg,39.720000 L,1467 km
RTM,AMS,2019-06-15,€5.000000,19.850000 kg,5.020000 L,97 km
SYD,MEL,2019-06-29,€106.000000,4602.000000 kg,394.170000 L,12102 km
HEM,TXL,2019-07-06,€8.000000,337.440000 kg,33.730000 L,1167 km
TXL,AMS,2019-07-27,€5.000000,183.000000 kg,21.770000 L,628 km
AMS,RTM,2019-07-27,€5.000000,19.850000 kg,5.020000 L,97 km
RTM,AMS,2019-08-02,€5.000000,19.850000 kg,5.020000 L,97 km
AMS,FRA,2019-08-17,€5.000000,118.000000 kg,17.970000 L,417 km
FRA,TXL,2019-08-18,€5.000000,111.000000 kg,15.180000 L,481 km
TXL,AMS,2019-08-23,€5.000000,183.000000 kg,21.770000 L,628 km
AMS,MEX,2019-08-23,€90.000000,3910.000000 kg,336.450000 L,9251 km
MEX,CZM,2019-08-24,€10.000000,406.000000 kg,39.740000 L,1323 km
CZM,EOH,2019-08-30,€13.000000,556.940000 kg,51.540000 L,2058 km
EOH,BOG,2019-08-31,€5.000000,59.740000 kg,13.710000 L,281 km
BOG,WAW,2019-09-05,€76.000000,3279.050000 kg,281.690000 L,10004 km
WAW,AMS,2019-09-14,€9.000000,362.000000 kg,36.200000 L,1151 km
AMS,EIN,2019-09-14,€5.000000,31.600000 kg,8.000000 L,154 km
EIN,AMS,2019-09-21,€5.000000,31.600000 kg,8.000000 L,154 km
AMS,KIV,2019-09-21,€12.000000,513.010000 kg,47.940000 L,1878 km
KIV,AMS,2019-09-28,€12.000000,513.010000 kg,47.940000 L,1878 km
AMS,IEV,2019-09-28,€12.000000,503.110000 kg,47.140000 L,1838 km
IEV,AMS,2019-10-04,€12.000000,503.110000 kg,47.140000 L,1838 km
AMS,VKO,2019-10-04,€14.000000,587.580000 kg,54.100000 L,2188 km
VKO,AMS,2019-10-18,€14.000000,587.580000 kg,54.100000 L,2188 km
AMS,TXL,2019-10-18,€5.000000,183.000000 kg,21.770000 L,628 km
TXL,AMS,2019-10-19,€5.000000,183.000000 kg,21.770000 L,628 km
AMS,DUB,2019-11-01,€6.000000,233.080000 kg,25.330000 L,800 km
DUB,AMS,2019-11-08,€6.000000,233.080000 kg,25.330000 L,800 km
AMS,LHR,2019-11-08,€5.000000,105.000000 kg,15.940000 L,417 km
LHR,AMS,2019-11-29,€5.000000,105.000000 kg,15.940000 L,417 km
AMS,SDV,2019-11-29,€20.000000,862.250000 kg,77.030000 L,3349 km
RTM,TXL,2019-12-28,€5.000000,190.410000 kg,22.270000 L,657 km
TXL,AMS,2019-12-31,€5.000000,183.000000 kg,21.770000 L,628 km
