DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
MDW,BRI,2019-02-16,€59.000000,2544.190000 kg,219.460000 L,8143 km
BRI,HAM,2019-02-22,€10.000000,427.220000 kg,41.000000 L,1531 km
HAM,MAN,2019-02-23,€7.000000,271.000000 kg,28.860000 L,859 km
MAN,LEJ,2019-03-02,€8.000000,313.110000 kg,31.760000 L,1069 km
LEJ,LIL,2019-03-16,€5.000000,205.200000 kg,23.260000 L,709 km
LIL,GVA,2019-03-22,€5.000000,168.420000 kg,20.800000 L,581 km
GVA,MDW,2019-04-19,€50.000000,2139.400000 kg,185.190000 L,7117 km
MDW,LGA,2019-04-19,€9.000000,363.000000 kg,35.940000 L,1214 km
LGA,MDW,2019-05-01,€9.000000,363.000000 kg,35.940000 L,1214 km
MDW,NAP,2019-05-01,€58.000000,2488.070000 kg,214.710000 L,8001 km
NAP,MDW,2019-05-29,€58.000000,2488.070000 kg,214.710000 L,8001 km
MDW,LYN,2019-05-29,€49.000000,2121.680000 kg,183.690000 L,7072 km
LYN,ORY,2019-05-31,€5.000000,117.270000 kg,17.580000 L,434 km
ORY,TAR,2019-06-01,€10.000000,428.680000 kg,41.120000 L,1537 km
TAR,PSR,2019-06-07,€5.000000,96.080000 kg,16.310000 L,384 km
PSR,BMA,2019-06-08,€13.000000,529.970000 kg,49.320000 L,1947 km
BMA,MDW,2019-06-28,€48.000000,2073.410000 kg,179.600000 L,6945 km
MDW,IBZ,2019-06-28,€51.000000,2193.040000 kg,189.730000 L,7253 km
IBZ,MDW,2019-07-18,€51.000000,2193.040000 kg,189.730000 L,7253 km
MDW,BCN,2019-07-18,€50.000000,2153.470000 kg,186.380000 L,7153 km
BCN,MDW,2019-08-16,€50.000000,2153.470000 kg,186.380000 L,7153 km
MDW,IBZ,2019-08-16,€51.000000,2193.040000 kg,189.730000 L,7253 km
IBZ,NCE,2019-08-17,€6.000000,236.000000 kg,26.070000 L,769 km
NCE,MRS,2019-08-23,€5.000000,42.000000 kg,10.630000 L,213 km
MRS,BBU,2019-08-31,€11.000000,474.280000 kg,44.810000 L,1721 km
BBU,TXL,2019-09-07,€9.000000,381.970000 kg,37.330000 L,1348 km
TXL,LCY,2019-09-13,€7.000000,284.090000 kg,29.420000 L,962 km
LCY,MDW,2019-10-05,€44.000000,1890.610000 kg,164.090000 L,6436 km
MDW,GNB,2019-10-05,€50.000000,2155.330000 kg,186.540000 L,7157 km
GNB,LBG,2019-10-11,€5.000000,156.550000 kg,20.010000 L,540 km
LBG,GLA,2019-10-12,€7.000000,278.100000 kg,28.940000 L,943 km
GLA,MAD,2019-10-13,€12.000000,485.440000 kg,45.710000 L,1766 km
MAD,OSL,2019-10-25,€16.000000,653.260000 kg,59.580000 L,2466 km
OSL,DUB,2019-10-27,€10.000000,400.000000 kg,38.980000 L,1341 km
DUB,BRS,2019-11-09,€5.000000,94.630000 kg,16.220000 L,381 km
BRS,MDW,2019-12-13,€43.000000,1831.260000 kg,159.050000 L,6270 km
MDW,LBG,2019-12-13,€46.000000,1993.450000 kg,172.810000 L,6722 km
LBG,MDW,2019-12-14,€46.000000,1993.450000 kg,172.810000 L,6722 km
