DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
TXL,LHR,2019-04-04,€7.000000,263.000000 kg,27.080000 L,995 km
LHR,SXF,2019-04-05,€7.000000,299.160000 kg,30.630000 L,1012 km
SXF,TXL,2019-04-26,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,LHR,2019-04-27,€7.000000,263.000000 kg,27.080000 L,995 km
LHR,TXL,2019-05-10,€7.000000,263.000000 kg,27.080000 L,995 km
TXL,SSN,2019-05-10,€59.000000,2563.580000 kg,221.110000 L,8192 km
SSN,CAN,2019-05-11,€14.000000,570.620000 kg,52.680000 L,2116 km
CAN,AMS,2019-05-18,€69.000000,2967.460000 kg,255.300000 L,9215 km
AMS,TXL,2019-06-08,€5.000000,183.000000 kg,21.770000 L,628 km
TXL,ARN,2019-06-08,€6.000000,233.000000 kg,24.810000 L,888 km
ARN,TXL,2019-06-21,€6.000000,233.000000 kg,24.810000 L,888 km
TXL,RTM,2019-06-21,€5.000000,190.410000 kg,22.270000 L,657 km
RTM,TXL,2019-07-05,€5.000000,190.410000 kg,22.270000 L,657 km
TXL,BRU,2019-07-05,€6.000000,243.000000 kg,27.840000 L,682 km
BRU,TXL,2019-07-12,€6.000000,243.000000 kg,27.840000 L,682 km
TXL,BCN,2019-07-12,€8.000000,334.000000 kg,31.890000 L,1560 km
BCN,CRL,2019-07-14,€8.000000,316.000000 kg,31.990000 L,1080 km
CRL,TXL,2019-07-20,€5.000000,205.190000 kg,23.260000 L,708 km
TXL,OBF,2019-07-20,€5.000000,164.930000 kg,20.570000 L,569 km
OBF,TXL,2019-08-09,€5.000000,164.930000 kg,20.570000 L,569 km
TXL,LHR,2019-09-06,€7.000000,263.000000 kg,27.080000 L,995 km
LHR,AMS,2019-09-07,€5.000000,105.000000 kg,15.940000 L,417 km
AMS,TXL,2019-09-14,€5.000000,183.000000 kg,21.770000 L,628 km
TXL,LEJ,2019-09-14,€5.000000,39.430000 kg,9.980000 L,193 km
LEJ,TXL,2019-09-20,€5.000000,39.430000 kg,9.980000 L,193 km
TXL,HND,2019-09-27,€67.000000,2879.910000 kg,247.890000 L,8993 km
HND,ITM,2019-09-28,€5.000000,114.000000 kg,16.200000 L,452 km
ITM,TXL,2019-12-28,€66.000000,2829.600000 kg,243.630000 L,8866 km
