DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
MIR,NOB,2019-01-02,€76.000000,3274.280000 kg,281.280000 L,9993 km
GVA,CDG,2019-01-19,€5.000000,105.000000 kg,14.930000 L,457 km
CDG,LBA,2019-01-25,€5.000000,192.030000 kg,22.380000 L,663 km
LBA,LPL,2019-01-26,€5.000000,30.580000 kg,7.740000 L,149 km
LPL,AMS,2019-01-27,€5.000000,206.000000 kg,25.310000 L,571 km
AMS,ZRH,2019-02-01,€5.000000,180.000000 kg,21.010000 L,652 km
ZRH,MIR,2019-02-22,€9.000000,376.000000 kg,36.450000 L,1362 km
MIR,YTZ,2019-02-22,€53.000000,2263.910000 kg,195.730000 L,7433 km
YTZ,LHR,2019-02-23,€38.000000,1645.060000 kg,143.250000 L,5752 km
LHR,AMS,2019-03-01,€5.000000,105.000000 kg,15.940000 L,417 km
AMS,CIA,2019-03-02,€9.000000,381.960000 kg,37.330000 L,1348 km
CIA,BCN,2019-03-03,€7.000000,263.430000 kg,27.760000 L,896 km
BCN,VKO,2019-03-15,€19.000000,790.990000 kg,71.080000 L,3048 km
VKO,LAS,2019-03-22,€72.000000,3100.310000 kg,266.550000 L,9552 km
LAS,LGA,2019-03-23,€22.000000,934.610000 kg,83.070000 L,3655 km
LGA,DCA,2019-03-28,€5.000000,91.000000 kg,14.680000 L,393 km
DCA,LHR,2019-03-29,€40.000000,1711.680000 kg,148.900000 L,5937 km
LHR,MHG,2019-04-06,€5.000000,208.510000 kg,23.480000 L,720 km
MHG,CZM,2019-04-11,€64.000000,2774.250000 kg,238.940000 L,8726 km
CZM,DXB,2019-04-18,€117.000000,5055.050000 kg,432.220000 L,13560 km
DXB,CND,2019-04-25,€20.000000,838.780000 kg,75.070000 L,3250 km
CND,BUD,2019-04-27,€6.000000,252.710000 kg,26.910000 L,863 km
BUD,RLG,2019-04-28,€7.000000,271.210000 kg,28.390000 L,921 km
RLG,OBF,2019-04-30,€5.000000,203.520000 kg,23.140000 L,703 km
OBF,NAP,2019-05-01,€6.000000,259.980000 kg,27.490000 L,886 km
NAP,ACA,2019-05-04,€84.000000,3651.020000 kg,313.220000 L,10748 km
ACA,LUG,2019-05-10,€77.000000,3331.050000 kg,286.090000 L,10108 km
LUG,AMS,2019-05-11,€6.000000,237.300000 kg,25.670000 L,814 km
AMS,SOF,2019-05-17,€12.000000,504.000000 kg,47.340000 L,1803 km
SOF,MHG,2019-05-18,€10.000000,400.560000 kg,38.840000 L,1423 km
MHG,IBZ,2019-05-22,€9.000000,385.040000 kg,37.580000 L,1360 km
IBZ,LHR,2019-05-24,€10.000000,409.710000 kg,39.580000 L,1460 km
LHR,YQG,2019-05-25,€41.000000,1760.360000 kg,153.030000 L,6073 km
YQG,SFO,2019-05-31,€21.000000,879.600000 kg,78.480000 L,3423 km
SFO,HHR,2019-06-01,€5.000000,173.730000 kg,21.150000 L,599 km
HHR,YHU,2019-06-02,€24.000000,1009.320000 kg,89.310000 L,3971 km
YHU,AMS,2019-06-07,€37.000000,1582.360000 kg,137.930000 L,5577 km
AMS,CDG,2019-06-09,€5.000000,111.000000 kg,15.940000 L,448 km
CDG,IBZ,2019-06-10,€8.000000,341.440000 kg,34.050000 L,1183 km
IBZ,BCN,2019-06-14,€5.000000,47.000000 kg,11.890000 L,324 km
