DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
MXP,LHR,2019-05-11,€7.000000,266.000000 kg,27.340000 L,985 km
LHR,MXP,2019-05-24,€7.000000,266.000000 kg,27.340000 L,985 km
MXP,MRS,2019-05-24,€5.000000,111.630000 kg,17.240000 L,421 km
MRS,MXP,2019-05-29,€5.000000,111.630000 kg,17.240000 L,421 km
MXP,LYN,2019-05-29,€5.000000,79.450000 kg,15.320000 L,345 km
LYN,MXP,2019-07-05,€5.000000,79.450000 kg,15.320000 L,345 km
MXP,ORY,2019-07-05,€5.000000,185.380000 kg,21.930000 L,640 km
ORY,MXP,2019-07-19,€5.000000,185.380000 kg,21.930000 L,640 km
MXP,BCN,2019-07-19,€6.000000,229.000000 kg,25.310000 L,769 km
BCN,MXP,2019-10-02,€6.000000,229.000000 kg,25.310000 L,769 km
MXP,NHT,2019-10-02,€7.000000,292.560000 kg,30.100000 L,989 km
NHT,IBZ,2019-10-03,€10.000000,411.680000 kg,39.740000 L,1468 km
IBZ,MXP,2019-10-04,€7.000000,279.000000 kg,28.600000 L,1012 km
