DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
TLJ,LGA,2019-01-20,€38.000000,1637.970000 kg,142.650000 L,5732 km
LGA,TLJ,2019-01-31,€38.000000,1637.970000 kg,142.650000 L,5732 km
TLJ,LHR,2019-01-31,€50.000000,2162.420000 kg,187.140000 L,7175 km
LHR,ABQ,2019-02-08,€58.000000,2517.430000 kg,217.200000 L,8075 km
ABQ,LHR,2019-02-09,€58.000000,2517.430000 kg,217.200000 L,8075 km
LHR,LGA,2019-02-10,€37.000000,1587.960000 kg,138.400000 L,5593 km
LGA,TLJ,2019-02-15,€38.000000,1637.970000 kg,142.650000 L,5732 km
TLJ,CVJ,2019-02-15,€45.000000,1931.680000 kg,167.570000 L,6550 km
CVJ,TLJ,2019-02-27,€45.000000,1931.680000 kg,167.570000 L,6550 km
TLJ,LGA,2019-02-27,€38.000000,1637.970000 kg,142.650000 L,5732 km
LGA,TLJ,2019-03-06,€38.000000,1637.970000 kg,142.650000 L,5732 km
TLJ,LGA,2019-03-06,€38.000000,1637.970000 kg,142.650000 L,5732 km
LGA,TLJ,2019-03-10,€38.000000,1637.970000 kg,142.650000 L,5732 km
TLJ,LGA,2019-03-10,€38.000000,1637.970000 kg,142.650000 L,5732 km
LGA,TLJ,2019-03-13,€38.000000,1637.970000 kg,142.650000 L,5732 km
TLJ,LGA,2019-03-13,€38.000000,1637.970000 kg,142.650000 L,5732 km
LGA,TLJ,2019-03-20,€38.000000,1637.970000 kg,142.650000 L,5732 km
TLJ,LGA,2019-03-20,€38.000000,1637.970000 kg,142.650000 L,5732 km
LGA,TLJ,2019-03-23,€38.000000,1637.970000 kg,142.650000 L,5732 km
TLJ,SFO,2019-03-23,€22.000000,935.840000 kg,83.170000 L,3661 km
SFO,TLJ,2019-03-26,€22.000000,935.840000 kg,83.170000 L,3661 km
TLJ,MBJ,2019-03-26,€54.000000,2344.990000 kg,202.600000 L,7638 km
LGA,TLJ,2019-04-10,€38.000000,1637.970000 kg,142.650000 L,5732 km
TLJ,LGA,2019-04-10,€38.000000,1637.970000 kg,142.650000 L,5732 km
LGA,LYN,2019-04-12,€42.000000,1805.450000 kg,156.860000 L,6199 km
LYN,LHR,2019-04-13,€6.000000,233.520000 kg,25.370000 L,802 km
LHR,LGA,2019-04-17,€37.000000,1587.960000 kg,138.400000 L,5593 km
LGA,TLJ,2019-04-21,€38.000000,1637.970000 kg,142.650000 L,5732 km
TLJ,LGA,2019-04-21,€38.000000,1637.970000 kg,142.650000 L,5732 km
LGA,TLJ,2019-04-24,€38.000000,1637.970000 kg,142.650000 L,5732 km
TLJ,LGA,2019-04-24,€38.000000,1637.970000 kg,142.650000 L,5732 km
LGA,TLJ,2019-04-27,€38.000000,1637.970000 kg,142.650000 L,5732 km
TLJ,ORY,2019-04-27,€53.000000,2296.860000 kg,198.520000 L,7516 km
ORY,LGA,2019-05-08,€39.000000,1694.110000 kg,147.410000 L,5888 km
LGA,MXP,2019-05-10,€44.000000,1902.160000 kg,165.070000 L,6468 km
MXP,OPO,2019-05-11,€12.000000,487.000000 kg,46.580000 L,1531 km
OPO,LGA,2019-05-15,€35.000000,1516.590000 kg,132.350000 L,5394 km
LGA,TLJ,2019-05-22,€38.000000,1637.970000 kg,142.650000 L,5732 km
TLJ,LGA,2019-05-22,€38.000000,1637.970000 kg,142.650000 L,5732 km
LGA,OSL,2019-05-24,€40.000000,1721.880000 kg,149.770000 L,5966 km
OSL,SIN,2019-06-01,€77.000000,3326.120000 kg,285.680000 L,10098 km
SIN,LGA,2019-06-05,€0.000000,0.000000 kg,0.000000 L,0 km
LGA,TLJ,2019-06-16,€38.000000,1637.970000 kg,142.650000 L,5732 km
TLJ,OTP,2019-06-16,€59.000000,2539.250000 kg,219.050000 L,8130 km
OTP,LGA,2019-06-19,€55.000000,2365.510000 kg,204.330000 L,7690 km
LGA,GPA,2019-06-20,€56.000000,2414.320000 kg,208.470000 L,7814 km
GPA,LGA,2019-07-03,€56.000000,2414.320000 kg,208.470000 L,7814 km
LGA,TLJ,2019-07-10,€38.000000,1637.970000 kg,142.650000 L,5732 km
JMK,IBZ,2019-07-16,€14.000000,578.720000 kg,53.360000 L,2151 km
IBZ,BCN,2019-07-17,€5.000000,47.000000 kg,11.890000 L,324 km
BCN,JMK,2019-07-18,€13.000000,564.660000 kg,52.180000 L,2091 km
JMK,BCN,2019-07-20,€13.000000,564.660000 kg,52.180000 L,2091 km
BCN,JMK,2019-07-25,€13.000000,564.660000 kg,52.180000 L,2091 km
JMK,CIA,2019-07-26,€9.000000,363.620000 kg,35.850000 L,1273 km
CIA,IBZ,2019-07-30,€7.000000,303.120000 kg,30.950000 L,1028 km
IBZ,JMK,2019-08-01,€14.000000,578.720000 kg,53.360000 L,2151 km
JMK,IBZ,2019-08-13,€14.000000,578.720000 kg,53.360000 L,2151 km
IBZ,JMK,2019-08-15,€14.000000,578.720000 kg,53.360000 L,2151 km
JMK,IBZ,2019-08-26,€14.000000,578.720000 kg,53.360000 L,2151 km
IBZ,NAP,2019-08-31,€8.000000,339.570000 kg,33.900000 L,1176 km
NAP,LGA,2019-09-01,€50.000000,2140.900000 kg,185.320000 L,7121 km
LGA,TLJ,2019-09-04,€38.000000,1637.970000 kg,142.650000 L,5732 km
TLJ,LGA,2019-09-04,€38.000000,1637.970000 kg,142.650000 L,5732 km
LGA,TLJ,2019-09-18,€38.000000,1637.970000 kg,142.650000 L,5732 km
TLJ,LGA,2019-09-18,€38.000000,1637.970000 kg,142.650000 L,5732 km
