DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
NAP,MAD,2019-01-01,€10.000000,432.000000 kg,41.260000 L,1552 km
MAD,NAP,2019-01-25,€10.000000,432.000000 kg,41.260000 L,1552 km
NAP,BCN,2019-01-25,€7.000000,261.000000 kg,26.320000 L,1074 km
BCN,MXP,2019-01-26,€6.000000,229.000000 kg,25.310000 L,769 km
MXP,NAP,2019-02-15,€5.000000,206.000000 kg,23.030000 L,742 km
NAP,LHR,2019-03-02,€11.000000,464.310000 kg,44.000000 L,1681 km
LHR,AMS,2019-03-03,€5.000000,105.000000 kg,15.940000 L,417 km
AMS,NAP,2019-03-09,€10.000000,422.650000 kg,40.630000 L,1512 km
NAP,PMO,2019-03-09,€5.000000,80.000000 kg,13.920000 L,369 km
PMO,NAP,2019-03-13,€5.000000,80.000000 kg,13.920000 L,369 km
NAP,BUR,2019-03-13,€81.000000,3488.820000 kg,299.470000 L,10424 km
BUR,LGA,2019-03-16,€24.000000,1017.390000 kg,89.980000 L,4003 km
LGA,CZM,2019-03-21,€16.000000,689.990000 kg,62.650000 L,2621 km
CZM,BOG,2019-03-24,€15.000000,611.420000 kg,56.090000 L,2289 km
BOG,LHR,2019-03-27,€63.000000,2698.260000 kg,232.510000 L,8533 km
LHR,GLA,2019-04-05,€5.000000,155.000000 kg,18.480000 L,604 km
GLA,NAP,2019-04-12,€14.000000,589.340000 kg,54.240000 L,2195 km
NAP,ANR,2019-04-12,€10.000000,400.290000 kg,38.820000 L,1422 km
ANR,BLQ,2019-04-13,€7.000000,279.670000 kg,29.070000 L,948 km
BLQ,NAP,2019-04-17,€5.000000,134.000000 kg,17.210000 L,522 km
BCN,NAP,2019-04-26,€7.000000,261.000000 kg,26.320000 L,1074 km
NAP,BUD,2019-04-26,€6.000000,257.770000 kg,27.310000 L,879 km
BUD,NAP,2019-04-28,€6.000000,257.770000 kg,27.310000 L,879 km
NAP,DTM,2019-04-30,€9.000000,380.880000 kg,37.250000 L,1343 km
DTM,NAP,2019-05-11,€9.000000,380.880000 kg,37.250000 L,1343 km
NAP,MHG,2019-05-11,€8.000000,322.980000 kg,32.560000 L,1109 km
MHG,NAP,2019-05-24,€8.000000,322.980000 kg,32.560000 L,1109 km
NAP,IBZ,2019-05-24,€8.000000,339.570000 kg,33.900000 L,1176 km
IBZ,NAP,2019-06-01,€8.000000,339.570000 kg,33.900000 L,1176 km
NAP,FLR,2019-06-01,€5.000000,128.900000 kg,18.270000 L,461 km
FLR,NAP,2019-06-08,€5.000000,128.900000 kg,18.270000 L,461 km
NAP,MAN,2019-06-08,€12.000000,521.080000 kg,48.600000 L,1911 km
MAN,BGY,2019-06-09,€9.000000,361.080000 kg,35.640000 L,1263 km
BGY,NAP,2019-06-14,€5.000000,181.000000 kg,20.500000 L,697 km
