DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
MAN,OBF,2019-01-19,€8.000000,337.480000 kg,33.730000 L,1167 km
OBF,MAN,2019-02-01,€8.000000,337.480000 kg,33.730000 L,1167 km
MAN,LBA,2019-02-01,€5.000000,24.570000 kg,6.220000 L,120 km
LBA,MAN,2019-02-22,€5.000000,24.570000 kg,6.220000 L,120 km
MAN,ESH,2019-02-22,€5.000000,86.230000 kg,15.720000 L,361 km
ESH,MAN,2019-03-01,€5.000000,86.230000 kg,15.720000 L,361 km
MAN,LCY,2019-03-01,€5.000000,67.030000 kg,14.380000 L,308 km
LCY,MAN,2019-03-06,€5.000000,67.030000 kg,14.380000 L,308 km
MAN,LCY,2019-03-06,€5.000000,67.030000 kg,14.380000 L,308 km
LCY,ABQ,2019-03-08,€59.000000,2528.190000 kg,218.110000 L,8102 km
ABQ,LGA,2019-03-09,€18.000000,773.980000 kg,69.660000 L,2976 km
LGA,YVR,2019-03-16,€24.000000,1009.230000 kg,89.300000 L,3971 km
YVR,SIR,2019-03-23,€62.000000,2661.190000 kg,229.370000 L,8439 km
SIR,MAN,2019-04-04,€8.000000,320.570000 kg,32.360000 L,1099 km
MAN,LCY,2019-04-04,€5.000000,67.030000 kg,14.380000 L,308 km
LCY,MAN,2019-04-21,€5.000000,67.030000 kg,14.380000 L,308 km
MAN,LCY,2019-04-21,€5.000000,67.030000 kg,14.380000 L,308 km
LCY,MAN,2019-04-30,€5.000000,67.030000 kg,14.380000 L,308 km
MAN,LBG,2019-04-30,€5.000000,184.860000 kg,21.900000 L,638 km
LBG,MAN,2019-06-07,€5.000000,184.860000 kg,21.900000 L,638 km
MAN,SHA,2019-06-07,€69.000000,2966.410000 kg,255.220000 L,9213 km
SHA,MAN,2019-07-02,€69.000000,2966.410000 kg,255.220000 L,9213 km
MAN,IBZ,2019-07-02,€11.000000,465.380000 kg,44.090000 L,1685 km
IBZ,MAN,2019-07-05,€11.000000,465.380000 kg,44.090000 L,1685 km
MAN,GLO,2019-07-05,€5.000000,43.150000 kg,10.920000 L,211 km
GLO,MAN,2019-07-12,€5.000000,43.150000 kg,10.920000 L,211 km
MAN,YEO,2019-07-12,€5.000000,67.760000 kg,14.450000 L,310 km
YEO,SFO,2019-07-13,€63.000000,2727.330000 kg,234.970000 L,8607 km
SFO,YTZ,2019-07-21,€22.000000,945.320000 kg,83.970000 L,3701 km
YTZ,TXL,2019-07-26,€45.000000,1923.240000 kg,166.850000 L,6527 km
TXL,MAN,2019-08-07,€8.000000,319.570000 kg,32.280000 L,1095 km
MAN,SOU,2019-08-07,€5.000000,71.460000 kg,14.790000 L,324 km
SOU,MAN,2019-08-24,€5.000000,71.460000 kg,14.790000 L,324 km
MAN,LCY,2019-08-24,€5.000000,67.030000 kg,14.380000 L,308 km
LCY,MAN,2019-09-08,€5.000000,67.030000 kg,14.380000 L,308 km
MAN,YHU,2019-09-08,€33.000000,1409.960000 kg,123.300000 L,5097 km
YHU,MSP,2019-09-10,€10.000000,423.930000 kg,40.730000 L,1517 km
MSP,SFO,2019-09-20,€15.000000,611.000000 kg,55.440000 L,2601 km
SFO,MAN,2019-10-12,€62.000000,2661.820000 kg,229.430000 L,8441 km
MAN,MEX,2019-10-12,€65.000000,2797.100000 kg,240.880000 L,8784 km
MEX,PVD,2019-10-17,€22.000000,933.400000 kg,82.970000 L,3650 km
PVD,MCC,2019-10-27,€26.000000,1106.630000 kg,97.560000 L,4252 km
MCC,YVR,2019-11-02,€9.000000,352.620000 kg,34.960000 L,1229 km
YVR,BFI,2019-11-16,€5.000000,49.970000 kg,12.650000 L,244 km
BFI,LGA,2019-11-22,€23.000000,998.540000 kg,88.410000 L,3926 km
LGA,MAN,2019-12-27,€36.000000,1524.100000 kg,132.980000 L,5415 km
MAN,SYD,2019-12-27,€41.000000,1760.000000 kg,153.410000 L,5726 km
SYD,MAN,2019-12-28,€106.000000,4602.000000 kg,394.170000 L,12102 km
