DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
JRS,ORY,2019-01-04,€20.000000,867.040000 kg,77.430000 L,3370 km
ORY,BRN,2019-01-11,€5.000000,66.000000 kg,16.700000 L,481 km
BRN,STR,2019-01-25,€5.000000,60.390000 kg,13.770000 L,284 km
STR,SDV,2019-02-07,€18.000000,749.390000 kg,67.610000 L,2872 km
SDV,JRS,2019-02-24,€5.000000,20.290000 kg,5.130000 L,99 km
JRS,BRU,2019-02-24,€20.000000,859.300000 kg,76.780000 L,3337 km
BRU,IEV,2019-03-01,€12.000000,512.210000 kg,47.880000 L,1875 km
SDV,JRS,2019-03-21,€5.000000,20.290000 kg,5.130000 L,99 km
JRS,TLV,2019-03-21,€5.000000,17.140000 kg,4.330000 L,84 km
TLV,SDV,2019-03-23,€5.000000,13.780000 kg,3.480000 L,67 km
SDV,JRS,2019-03-29,€5.000000,20.290000 kg,5.130000 L,99 km
JRS,ANR,2019-03-29,€20.000000,863.070000 kg,77.100000 L,3353 km
ANR,TNT,2019-03-30,€6.000000,233.140000 kg,25.340000 L,801 km
TNT,ETH,2019-04-04,€17.000000,736.340000 kg,66.520000 L,2817 km
ETH,JRS,2019-04-11,€5.000000,67.260000 kg,14.400000 L,309 km
JRS,SDV,2019-04-11,€5.000000,20.290000 kg,5.130000 L,99 km
SDV,JRS,2019-04-30,€5.000000,20.290000 kg,5.130000 L,99 km
JRS,LEJ,2019-04-30,€18.000000,758.560000 kg,68.370000 L,2911 km
LEJ,MLH,2019-05-11,€5.000000,173.000000 kg,21.110000 L,597 km
MLH,SDV,2019-05-16,€18.000000,766.020000 kg,69.000000 L,2943 km
SDV,TNT,2019-05-17,€16.000000,684.870000 kg,62.220000 L,2599 km
TNT,LGA,2019-05-19,€45.000000,1953.210000 kg,169.400000 L,6610 km
LGA,MUC,2019-05-25,€45.000000,1926.240000 kg,167.110000 L,6535 km
MUC,IBZ,2019-06-03,€8.000000,336.000000 kg,32.400000 L,1394 km
IBZ,MST,2019-06-07,€10.000000,403.590000 kg,39.090000 L,1435 km
MST,BCN,2019-06-14,€8.000000,334.930000 kg,33.530000 L,1157 km
BCN,VIY,2019-06-19,€6.000000,258.730000 kg,27.390000 L,882 km
VIY,ZRH,2019-06-28,€5.000000,158.070000 kg,20.110000 L,545 km
ZRH,IBZ,2019-07-05,€6.000000,248.000000 kg,24.810000 L,1165 km
IBZ,BCN,2019-07-11,€5.000000,47.000000 kg,11.890000 L,324 km
BCN,LEJ,2019-07-19,€10.000000,400.620000 kg,38.850000 L,1423 km
LEJ,JRS,2019-08-03,€18.000000,758.560000 kg,68.370000 L,2911 km
JRS,IST,2019-08-03,€9.000000,356.840000 kg,35.300000 L,1246 km
IST,JRS,2019-08-17,€9.000000,356.840000 kg,35.300000 L,1246 km
JRS,AMS,2019-08-17,€21.000000,873.410000 kg,77.960000 L,3397 km
AMS,JRS,2019-09-08,€21.000000,873.410000 kg,77.960000 L,3397 km
JRS,BCN,2019-09-08,€19.000000,819.690000 kg,73.480000 L,3169 km
BCN,JRS,2019-09-27,€19.000000,819.690000 kg,73.480000 L,3169 km
JRS,BEV,2019-09-27,€5.000000,26.350000 kg,6.670000 L,129 km
BEV,JRS,2019-09-30,€5.000000,26.350000 kg,6.670000 L,129 km
JRS,SDV,2019-09-30,€5.000000,20.290000 kg,5.130000 L,99 km
SDV,JRS,2019-10-06,€5.000000,20.290000 kg,5.130000 L,99 km
JRS,LIS,2019-10-06,€25.000000,1055.780000 kg,93.240000 L,4110 km
LIS,LGA,2019-10-12,€36.000000,1541.450000 kg,134.460000 L,5463 km
LGA,SDV,2019-10-14,€68.000000,2945.560000 kg,253.450000 L,9160 km
SDV,JRS,2019-10-19,€5.000000,20.290000 kg,5.130000 L,99 km
JRS,AMS,2019-10-19,€21.000000,873.410000 kg,77.960000 L,3397 km
AMS,SDV,2019-10-21,€20.000000,862.250000 kg,77.030000 L,3349 km
SDV,JRS,2019-11-01,€5.000000,20.290000 kg,5.130000 L,99 km
JRS,TRN,2019-11-01,€18.000000,742.510000 kg,67.030000 L,2843 km
TRN,HAM,2019-11-09,€7.000000,300.950000 kg,30.770000 L,1020 km
HAM,QRO,2019-11-14,€71.000000,3077.040000 kg,264.580000 L,9493 km
QRO,CPH,2019-11-22,€72.000000,3093.750000 kg,266.000000 L,9535 km
CPH,BEV,2019-11-28,€20.000000,843.230000 kg,75.440000 L,3269 km
BEV,AKT,2019-11-30,€5.000000,128.530000 kg,18.250000 L,461 km
AKT,JRS,2019-12-27,€5.000000,111.210000 kg,17.220000 L,420 km
JRS,TNT,2019-12-27,€17.000000,696.390000 kg,63.180000 L,2648 km
TNT,JRS,2019-12-31,€17.000000,696.390000 kg,63.180000 L,2648 km
