DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
BRU,OBF,2019-01-11,€5.000000,183.300000 kg,21.790000 L,632 km
OBF,BRU,2019-02-01,€5.000000,183.300000 kg,21.790000 L,632 km
BRU,BKK,2019-02-01,€70.000000,3001.280000 kg,258.170000 L,9301 km
BKK,LHR,2019-02-02,€79.000000,3425.000000 kg,294.680000 L,9593 km
LHR,BRU,2019-02-16,€5.000000,103.000000 kg,16.450000 L,399 km
BRU,MAN,2019-02-16,€6.000000,228.000000 kg,27.840000 L,584 km
MAN,BRU,2019-03-08,€6.000000,228.000000 kg,27.840000 L,584 km
BRU,BCN,2019-03-08,€8.000000,326.000000 kg,32.650000 L,1135 km
BCN,BRU,2019-03-16,€8.000000,326.000000 kg,32.650000 L,1135 km
BRU,GVA,2019-03-16,€5.000000,187.000000 kg,22.780000 L,581 km
GVA,BRU,2019-03-23,€5.000000,187.000000 kg,22.780000 L,581 km
BRU,LBA,2019-03-23,€6.000000,244.000000 kg,29.870000 L,579 km
LBA,BRU,2019-03-29,€6.000000,244.000000 kg,29.870000 L,579 km
BRU,BRS,2019-03-29,€5.000000,174.000000 kg,21.770000 L,554 km
BRS,BRU,2019-04-26,€5.000000,174.000000 kg,21.770000 L,554 km
BRU,WAW,2019-04-26,€10.000000,424.000000 kg,42.020000 L,1194 km
WAW,BRU,2019-05-14,€10.000000,424.000000 kg,42.020000 L,1194 km
BRU,LGA,2019-05-14,€40.000000,1712.100000 kg,148.940000 L,5939 km
LGA,ATL,2019-05-16,€8.000000,321.000000 kg,31.640000 L,1273 km
ATL,LHR,2019-05-24,€43.000000,1851.000000 kg,160.500000 L,6808 km
LHR,EMA,2019-05-26,€5.000000,43.330000 kg,10.960000 L,212 km
EMA,BRU,2019-05-29,€5.000000,186.000000 kg,24.550000 L,501 km
BRU,LYN,2019-05-29,€5.000000,181.530000 kg,21.680000 L,626 km
LYN,BRU,2019-06-05,€5.000000,181.530000 kg,21.680000 L,626 km
BRU,MAN,2019-06-05,€6.000000,228.000000 kg,27.840000 L,584 km
MAN,BRU,2019-07-12,€6.000000,228.000000 kg,27.840000 L,584 km
BRU,SXF,2019-07-12,€5.000000,201.770000 kg,23.030000 L,697 km
SXF,BRU,2019-07-31,€5.000000,201.770000 kg,23.030000 L,697 km
BRU,AMS,2019-07-31,€5.000000,49.000000 kg,12.400000 L,206 km
AMS,LHR,2019-08-02,€5.000000,105.000000 kg,15.940000 L,417 km
LHR,BRU,2019-08-15,€5.000000,103.000000 kg,16.450000 L,399 km
BRU,CBG,2019-08-15,€5.000000,94.500000 kg,16.220000 L,380 km
CBG,BRS,2019-08-17,€5.000000,56.330000 kg,13.400000 L,269 km
BRS,BRU,2019-08-28,€5.000000,174.000000 kg,21.770000 L,554 km
BRU,TXL,2019-08-28,€6.000000,243.000000 kg,27.840000 L,682 km
TXL,PUY,2019-08-29,€7.000000,266.460000 kg,28.010000 L,906 km
PUY,BRU,2019-09-04,€7.000000,301.090000 kg,30.780000 L,1020 km
BRU,PUY,2019-09-04,€7.000000,301.090000 kg,30.780000 L,1020 km
PUY,BRU,2019-09-27,€7.000000,301.090000 kg,30.780000 L,1020 km
BRU,TXL,2019-09-27,€6.000000,243.000000 kg,27.840000 L,682 km
TXL,LBA,2019-09-28,€8.000000,309.600000 kg,31.480000 L,1055 km
LBA,BRU,2019-10-18,€6.000000,244.000000 kg,29.870000 L,579 km
BRU,LHR,2019-10-18,€5.000000,103.000000 kg,16.450000 L,399 km
LHR,BRU,2019-11-07,€5.000000,103.000000 kg,16.450000 L,399 km
BRU,AMS,2019-11-07,€5.000000,49.000000 kg,12.400000 L,206 km
AMS,BRU,2019-11-22,€5.000000,49.000000 kg,12.400000 L,206 km
BRU,BRS,2019-11-22,€5.000000,174.000000 kg,21.770000 L,554 km
BRS,BRU,2019-12-07,€5.000000,174.000000 kg,21.770000 L,554 km
BRU,LHR,2019-12-07,€5.000000,103.000000 kg,16.450000 L,399 km
LHR,BRU,2019-12-13,€5.000000,103.000000 kg,16.450000 L,399 km
