DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
LAX,DEN,2019-03-16,€9.000000,370.000000 kg,35.690000 L,1434 km
DEN,LAX,2019-03-23,€9.000000,370.000000 kg,35.690000 L,1434 km
LAX,LCY,2019-03-23,€65.000000,2820.810000 kg,242.890000 L,8844 km
LCY,LAX,2019-06-21,€65.000000,2820.810000 kg,242.890000 L,8844 km
LAX,BCN,2019-06-21,€73.000000,3172.740000 kg,272.690000 L,9735 km
BCN,LAX,2019-07-08,€73.000000,3172.740000 kg,272.690000 L,9735 km
LAX,IBZ,2019-07-08,€75.000000,3229.420000 kg,277.480000 L,9879 km
IBZ,ANR,2019-07-19,€10.000000,405.310000 kg,39.230000 L,1442 km
ANR,TXL,2019-07-20,€5.000000,195.650000 kg,22.620000 L,675 km
TXL,IBZ,2019-07-22,€9.000000,386.000000 kg,36.200000 L,1823 km
IBZ,ANR,2019-07-26,€10.000000,405.310000 kg,39.230000 L,1442 km
ANR,LAX,2019-08-12,€68.000000,2918.350000 kg,251.140000 L,9091 km
LAX,IBZ,2019-08-12,€75.000000,3229.420000 kg,277.480000 L,9879 km
IBZ,LAX,2019-10-04,€75.000000,3229.420000 kg,277.480000 L,9879 km
LAX,BRS,2019-10-04,€64.000000,2767.180000 kg,238.340000 L,8708 km
BRS,LAX,2019-10-26,€64.000000,2767.180000 kg,238.340000 L,8708 km
LAX,LCY,2019-10-26,€65.000000,2820.810000 kg,242.890000 L,8844 km
LCY,LGA,2019-11-09,€37.000000,1599.810000 kg,139.410000 L,5626 km
LGA,LAX,2019-12-06,€24.000000,1023.260000 kg,90.480000 L,4020 km
LAX,DCA,2019-12-06,€19.000000,818.000000 kg,72.650000 L,3758 km
DCA,LAX,2019-12-31,€19.000000,818.000000 kg,72.650000 L,3758 km
