DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
TXL,CDG,2019-01-10,€6.000000,233.000000 kg,24.550000 L,900 km
CDG,TLS,2019-01-12,€5.000000,159.000000 kg,18.480000 L,652 km
TLS,TXL,2019-02-02,€9.000000,389.840000 kg,37.970000 L,1379 km
TXL,BRS,2019-02-02,€8.000000,334.010000 kg,33.450000 L,1153 km
BRS,TXL,2019-02-09,€8.000000,334.010000 kg,33.450000 L,1153 km
TXL,LHR,2019-02-09,€7.000000,263.000000 kg,27.080000 L,995 km
LHR,TXL,2019-02-28,€7.000000,263.000000 kg,27.080000 L,995 km
TXL,MAD,2019-02-28,€11.000000,455.000000 kg,42.530000 L,1901 km
MAD,IEV,2019-03-01,€18.000000,755.430000 kg,68.110000 L,2898 km
IEV,TXL,2019-03-02,€9.000000,360.520000 kg,35.600000 L,1261 km
TXL,MXP,2019-03-08,€5.000000,206.000000 kg,21.770000 L,888 km
MXP,CIA,2019-03-09,€5.000000,162.540000 kg,20.410000 L,560 km
CIA,MHP,2019-03-10,€12.000000,503.130000 kg,47.140000 L,1838 km
MHP,TXL,2019-03-14,€8.000000,305.730000 kg,31.160000 L,1039 km
TXL,OSL,2019-03-14,€5.000000,215.000000 kg,22.530000 L,908 km
OSL,FRA,2019-03-15,€8.000000,342.000000 kg,33.920000 L,1191 km
FRA,ZRH,2019-03-16,€5.000000,74.000000 kg,14.930000 L,335 km
ZRH,BCN,2019-03-17,€5.000000,211.000000 kg,22.270000 L,905 km
BCN,TXL,2019-03-22,€8.000000,334.000000 kg,31.890000 L,1560 km
TXL,OBF,2019-03-22,€5.000000,164.930000 kg,20.570000 L,569 km
OBF,CTA,2019-03-23,€9.000000,362.990000 kg,35.800000 L,1271 km
CTA,TXL,2019-03-29,€9.000000,380.000000 kg,35.690000 L,1732 km
TXL,LHR,2019-03-29,€7.000000,263.000000 kg,27.080000 L,995 km
LHR,SIR,2019-04-11,€6.000000,253.670000 kg,26.980000 L,866 km
SIR,SDV,2019-04-12,€18.000000,748.500000 kg,67.530000 L,2868 km
SDV,AMS,2019-04-20,€20.000000,862.250000 kg,77.030000 L,3349 km
AMS,TXL,2019-04-26,€5.000000,183.000000 kg,21.770000 L,628 km
TXL,BRU,2019-04-26,€6.000000,243.000000 kg,27.840000 L,682 km
BRU,BEY,2019-04-27,€18.000000,745.000000 kg,66.580000 L,3187 km
BEY,NVT,2019-05-03,€90.000000,3873.430000 kg,332.070000 L,11194 km
NVT,GRU,2019-05-04,€5.000000,104.000000 kg,13.920000 L,491 km
HND,BKK,2019-05-15,€38.000000,1629.000000 kg,143.030000 L,4632 km
BKK,SSN,2019-05-17,€23.000000,962.820000 kg,85.430000 L,3775 km
MAN,SKU,2019-05-25,€17.000000,695.740000 kg,63.130000 L,2645 km
SKU,IBZ,2019-05-27,€13.000000,556.060000 kg,51.460000 L,2055 km
IBZ,ZRH,2019-05-29,€6.000000,248.000000 kg,24.810000 L,1165 km
ZRH,LYN,2019-05-31,€5.000000,96.740000 kg,16.350000 L,386 km
LYN,LHR,2019-06-01,€6.000000,233.520000 kg,25.370000 L,802 km
LHR,MAD,2019-06-02,€7.000000,300.000000 kg,29.360000 L,1292 km
MAD,TXL,2019-06-07,€11.000000,455.000000 kg,42.530000 L,1901 km
TXL,AMS,2019-06-07,€5.000000,183.000000 kg,21.770000 L,628 km
AMS,CDG,2019-06-08,€5.000000,111.000000 kg,15.940000 L,448 km
CDG,TXL,2019-06-15,€6.000000,233.000000 kg,24.550000 L,900 km
TXL,VIE,2019-06-19,€5.000000,147.000000 kg,17.720000 L,596 km
VIE,TXL,2019-06-22,€5.000000,147.000000 kg,17.720000 L,596 km
TXL,MUC,2019-06-22,€5.000000,123.000000 kg,15.690000 L,528 km
MUC,TXL,2019-06-27,€5.000000,123.000000 kg,15.690000 L,528 km
TXL,IBZ,2019-06-27,€9.000000,386.000000 kg,36.200000 L,1823 km
IBZ,LGA,2019-06-28,€43.000000,1833.160000 kg,159.210000 L,6276 km
LGA,BRU,2019-06-30,€40.000000,1712.100000 kg,148.940000 L,5939 km
BRU,IBZ,2019-07-01,€10.000000,397.800000 kg,38.620000 L,1412 km
IBZ,TXL,2019-07-06,€9.000000,386.000000 kg,36.200000 L,1823 km
TXL,RTM,2019-07-06,€5.000000,190.410000 kg,22.270000 L,657 km
RTM,TXL,2019-07-11,€5.000000,190.410000 kg,22.270000 L,657 km
TXL,IBZ,2019-07-11,€9.000000,386.000000 kg,36.200000 L,1823 km
IBZ,TXL,2019-07-12,€9.000000,386.000000 kg,36.200000 L,1823 km
TXL,FRA,2019-07-13,€5.000000,111.000000 kg,15.180000 L,481 km
FRA,TXL,2019-07-18,€5.000000,111.000000 kg,15.180000 L,481 km
TXL,BCN,2019-07-18,€8.000000,334.000000 kg,31.890000 L,1560 km
BCN,TXL,2019-07-25,€8.000000,334.000000 kg,31.890000 L,1560 km
TXL,LIS,2019-07-25,€15.000000,627.560000 kg,57.430000 L,2357 km
LIS,OPO,2019-07-26,€5.000000,57.000000 kg,14.430000 L,327 km
OPO,TXL,2019-07-31,€14.000000,574.690000 kg,53.020000 L,2134 km
TXL,AMS,2019-07-31,€5.000000,183.000000 kg,21.770000 L,628 km
AMS,IBZ,2019-08-01,€11.000000,436.920000 kg,41.780000 L,1570 km
IBZ,CGN,2019-08-03,€8.000000,313.000000 kg,30.120000 L,1455 km
CGN,AMS,2019-08-04,€5.000000,61.000000 kg,15.440000 L,280 km
AMS,TXL,2019-08-09,€5.000000,183.000000 kg,21.770000 L,628 km
TXL,ARN,2019-08-09,€6.000000,233.000000 kg,24.810000 L,888 km
ARN,TXL,2019-08-10,€6.000000,233.000000 kg,24.810000 L,888 km
TXL,AMS,2019-08-16,€5.000000,183.000000 kg,21.770000 L,628 km
AMS,LHR,2019-08-17,€5.000000,105.000000 kg,15.940000 L,417 km
LHR,TXL,2019-08-22,€7.000000,263.000000 kg,27.080000 L,995 km
TXL,IBZ,2019-08-22,€9.000000,386.000000 kg,36.200000 L,1823 km
IBZ,LPL,2019-08-23,€11.000000,467.000000 kg,44.220000 L,1692 km
ANR,TXL,2019-08-30,€5.000000,195.650000 kg,22.620000 L,675 km
TXL,LYN,2019-08-30,€7.000000,301.750000 kg,30.840000 L,1023 km
LYN,TXL,2019-09-04,€7.000000,301.750000 kg,30.840000 L,1023 km
TXL,GVA,2019-09-04,€7.000000,272.420000 kg,28.480000 L,925 km
GVA,LIS,2019-09-06,€9.000000,383.000000 kg,36.450000 L,1543 km
LIS,TXL,2019-09-07,€15.000000,627.560000 kg,57.430000 L,2357 km
TXL,BRU,2019-09-13,€6.000000,243.000000 kg,27.840000 L,682 km
BRU,EIN,2019-09-14,€5.000000,28.050000 kg,7.100000 L,137 km
EIN,TXL,2019-09-20,€5.000000,175.590000 kg,21.280000 L,606 km
TXL,BCN,2019-09-20,€8.000000,334.000000 kg,31.890000 L,1560 km
BCN,FRA,2019-09-21,€7.000000,275.000000 kg,27.590000 L,1143 km
FRA,IBZ,2019-09-23,€7.000000,300.000000 kg,29.110000 L,1412 km
IBZ,TXL,2019-09-26,€9.000000,386.000000 kg,36.200000 L,1823 km
TXL,BOG,2019-09-26,€71.000000,3072.320000 kg,264.180000 L,9481 km
BOG,CLO,2019-09-27,€5.000000,57.000000 kg,14.430000 L,328 km
CLO,LEJ,2019-10-02,€73.000000,3158.570000 kg,271.490000 L,9699 km
LEJ,IBZ,2019-10-03,€11.000000,466.360000 kg,44.170000 L,1689 km
IBZ,VIY,2019-10-04,€8.000000,334.260000 kg,33.470000 L,1154 km
VIY,GVA,2019-10-05,€5.000000,127.680000 kg,18.200000 L,459 km
GVA,IBZ,2019-10-07,€7.000000,282.740000 kg,29.310000 L,958 km
IBZ,TXL,2019-10-17,€9.000000,386.000000 kg,36.200000 L,1823 km
TXL,AMS,2019-10-17,€5.000000,183.000000 kg,21.770000 L,628 km
AMS,LHR,2019-10-19,€5.000000,105.000000 kg,15.940000 L,417 km
LHR,TXL,2019-10-26,€7.000000,263.000000 kg,27.080000 L,995 km
TXL,LHR,2019-10-26,€7.000000,263.000000 kg,27.080000 L,995 km
LHR,TXL,2019-10-30,€7.000000,263.000000 kg,27.080000 L,995 km
TXL,HAM,2019-10-30,€5.000000,58.000000 kg,14.680000 L,299 km
HAM,DUS,2019-10-31,€5.000000,95.000000 kg,15.690000 L,388 km
DUS,TXL,2019-11-08,€5.000000,134.000000 kg,17.210000 L,517 km
TXL,MLH,2019-11-08,€5.000000,212.410000 kg,23.740000 L,734 km
MLH,TXL,2019-11-09,€5.000000,212.410000 kg,23.740000 L,734 km
TXL,HAM,2019-11-14,€5.000000,58.000000 kg,14.680000 L,299 km
HAM,HEM,2019-11-15,€9.000000,350.450000 kg,34.780000 L,1220 km
HEM,ANR,2019-11-16,€11.000000,463.290000 kg,43.920000 L,1677 km
ANR,TXL,2019-11-23,€5.000000,195.650000 kg,22.620000 L,675 km
TXL,IST,2019-11-23,€10.000000,428.000000 kg,40.250000 L,1790 km
IST,TXL,2019-11-28,€10.000000,428.000000 kg,40.250000 L,1790 km
TXL,MXP,2019-11-29,€5.000000,206.000000 kg,21.770000 L,888 km
MXP,EIN,2019-11-30,€5.000000,214.930000 kg,23.910000 L,742 km
NAP,TXL,2019-12-13,€7.000000,304.000000 kg,29.620000 L,1349 km
TXL,POZ,2019-12-13,€5.000000,62.010000 kg,13.920000 L,290 km
POZ,TXL,2019-12-14,€5.000000,62.010000 kg,13.920000 L,290 km
TXL,CDG,2019-12-20,€6.000000,233.000000 kg,24.550000 L,900 km
CDG,LHR,2019-12-21,€5.000000,87.000000 kg,13.920000 L,396 km
LHR,TXL,2019-12-31,€7.000000,263.000000 kg,27.080000 L,995 km
