DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
SXF,MLH,2019-01-12,€5.000000,213.570000 kg,23.820000 L,738 km
MLH,SXF,2019-01-18,€5.000000,213.570000 kg,23.820000 L,738 km
SXF,TXL,2019-01-18,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-02-08,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,OBF,2019-02-08,€5.000000,164.220000 kg,20.520000 L,566 km
OBF,HAM,2019-02-09,€5.000000,195.260000 kg,22.590000 L,674 km
HAM,SXF,2019-03-22,€5.000000,69.490000 kg,14.610000 L,317 km
SXF,ZRH,2019-03-22,€5.000000,206.860000 kg,23.370000 L,714 km
ZRH,SXF,2019-04-06,€5.000000,206.860000 kg,23.370000 L,714 km
SXF,HND,2019-04-06,€67.000000,2878.300000 kg,247.750000 L,8989 km
HND,ITM,2019-04-19,€5.000000,114.000000 kg,16.200000 L,452 km
ITM,CTS,2019-04-20,€9.000000,354.000000 kg,35.940000 L,1088 km
CTS,TXL,2019-05-04,€61.000000,2635.140000 kg,227.160000 L,8373 km
TXL,SXF,2019-05-11,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,HAM,2019-05-11,€5.000000,69.490000 kg,14.610000 L,317 km
HAM,SXF,2019-05-14,€5.000000,69.490000 kg,14.610000 L,317 km
SXF,ORY,2019-05-14,€7.000000,277.190000 kg,28.870000 L,940 km
ORY,SXF,2019-05-29,€7.000000,277.190000 kg,28.870000 L,940 km
SXF,HAM,2019-05-29,€5.000000,69.490000 kg,14.610000 L,317 km
HAM,SXF,2019-06-01,€5.000000,69.490000 kg,14.610000 L,317 km
SXF,LEJ,2019-06-01,€5.000000,39.530000 kg,10.000000 L,193 km
LEJ,SXF,2019-06-08,€5.000000,39.530000 kg,10.000000 L,193 km
SXF,TXL,2019-06-08,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-06-19,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,RDZ,2019-06-19,€9.000000,361.130000 kg,35.650000 L,1263 km
RDZ,SXF,2019-07-06,€9.000000,361.130000 kg,35.650000 L,1263 km
SXF,OBF,2019-07-06,€5.000000,164.220000 kg,20.520000 L,566 km
OBF,SXF,2019-07-13,€5.000000,164.220000 kg,20.520000 L,566 km
SXF,TXL,2019-07-13,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-07-19,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,KGS,2019-07-19,€14.000000,565.500000 kg,52.250000 L,2095 km
KGS,SXF,2019-08-16,€14.000000,565.500000 kg,52.250000 L,2095 km
SXF,HAM,2019-08-16,€5.000000,69.490000 kg,14.610000 L,317 km
HAM,SXF,2019-08-22,€5.000000,69.490000 kg,14.610000 L,317 km
SXF,RLG,2019-08-22,€5.000000,46.360000 kg,11.730000 L,227 km
RLG,SXF,2019-08-31,€5.000000,46.360000 kg,11.730000 L,227 km
SXF,ERF,2019-08-31,€5.000000,62.960000 kg,14.010000 L,293 km
ERF,SXF,2019-09-15,€5.000000,62.960000 kg,14.010000 L,293 km
SXF,IBZ,2019-09-15,€12.000000,501.760000 kg,47.040000 L,1833 km
IBZ,SXF,2019-10-11,€12.000000,501.760000 kg,47.040000 L,1833 km
SXF,OBF,2019-10-11,€5.000000,164.220000 kg,20.520000 L,566 km
OBF,SXF,2019-10-26,€5.000000,164.220000 kg,20.520000 L,566 km
SXF,TXL,2019-10-26,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-10-30,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,TXL,2019-10-30,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,LBG,2019-10-31,€7.000000,268.020000 kg,28.130000 L,911 km
LBG,SXF,2019-11-09,€7.000000,271.260000 kg,28.390000 L,921 km
SXF,UTP,2019-12-12,€63.000000,2711.270000 kg,233.610000 L,8566 km
UTP,SXF,2019-12-31,€63.000000,2711.270000 kg,233.610000 L,8566 km
