DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
LUF,BFI,2019-01-18,€12.000000,501.490000 kg,47.010000 L,1831 km
BFI,LUF,2019-02-09,€12.000000,501.490000 kg,47.010000 L,1831 km
LUF,ORY,2019-02-09,€66.000000,2831.040000 kg,243.750000 L,8870 km
ORY,LIS,2019-02-15,€9.000000,370.000000 kg,35.440000 L,1487 km
LIS,TXL,2019-02-16,€15.000000,627.560000 kg,57.430000 L,2357 km
TXL,HAM,2019-02-17,€5.000000,58.000000 kg,14.680000 L,299 km
HAM,MAN,2019-02-23,€7.000000,271.000000 kg,28.860000 L,859 km
MAN,LUF,2019-03-16,€60.000000,2605.420000 kg,224.650000 L,8298 km
LUF,DEN,2019-03-16,€7.000000,295.430000 kg,30.330000 L,998 km
DEN,LUF,2019-03-22,€7.000000,295.430000 kg,30.330000 L,998 km
LUF,YTZ,2019-03-22,€19.000000,799.840000 kg,71.820000 L,3086 km
YTZ,ATL,2019-03-23,€9.000000,356.220000 kg,35.250000 L,1243 km
ATL,LUF,2019-04-06,€16.000000,686.520000 kg,62.360000 L,2606 km
LUF,LGA,2019-04-06,€21.000000,899.620000 kg,80.150000 L,3507 km
LGA,LUF,2019-04-12,€21.000000,899.620000 kg,80.150000 L,3507 km
LUF,SFO,2019-04-12,€8.000000,317.850000 kg,32.140000 L,1088 km
SFO,LUF,2019-04-20,€8.000000,317.850000 kg,32.140000 L,1088 km
LGA,LUF,2019-05-24,€21.000000,899.620000 kg,80.150000 L,3507 km
LUF,LBA,2019-05-24,€60.000000,2605.330000 kg,224.640000 L,8298 km
LBA,LHR,2019-05-25,€5.000000,72.550000 kg,14.890000 L,328 km
LHR,TXL,2019-06-01,€7.000000,263.000000 kg,27.080000 L,995 km
TXL,IOM,2019-06-08,€9.000000,355.940000 kg,35.230000 L,1242 km
IOM,LUF,2019-07-20,€59.000000,2535.270000 kg,218.710000 L,8120 km
LUF,TXL,2019-07-20,€68.000000,2938.560000 kg,252.860000 L,9142 km
TXL,LGA,2019-07-25,€44.000000,1885.170000 kg,163.630000 L,6421 km
LGA,LUF,2019-08-03,€21.000000,899.620000 kg,80.150000 L,3507 km
LUF,LHR,2019-08-03,€62.000000,2693.220000 kg,232.080000 L,8520 km
LHR,TXL,2019-08-09,€7.000000,263.000000 kg,27.080000 L,995 km
TXL,LGA,2019-08-23,€44.000000,1885.170000 kg,163.630000 L,6421 km
LGA,LUF,2019-10-18,€21.000000,899.620000 kg,80.150000 L,3507 km
LUF,AKL,2019-10-18,€87.000000,3751.730000 kg,321.750000 L,10950 km
AKL,SYD,2019-10-19,€125.000000,5429.430000 kg,463.950000 L,14310 km
SYD,MEL,2019-10-24,€106.000000,4602.000000 kg,394.170000 L,12102 km
MEL,SYD,2019-10-25,€112.000000,4837.000000 kg,414.430000 L,11694 km
SYD,LUF,2019-11-23,€106.000000,4602.000000 kg,394.170000 L,12102 km
LUF,LHR,2019-11-23,€62.000000,2693.220000 kg,232.080000 L,8520 km
LHR,LGA,2019-11-29,€37.000000,1587.960000 kg,138.400000 L,5593 km
LGA,LUF,2019-12-21,€21.000000,899.620000 kg,80.150000 L,3507 km
