DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
SXF,KUL,2019-02-16,€73.000000,3147.310000 kg,270.530000 L,9671 km
KUL,SOF,2019-02-23,€66.000000,2834.130000 kg,244.020000 L,8877 km
SOF,SXF,2019-03-08,€9.000000,386.710000 kg,37.720000 L,1367 km
SXF,GDL,2019-03-08,€75.000000,3246.790000 kg,278.950000 L,9923 km
GDL,YHU,2019-03-09,€23.000000,990.840000 kg,87.770000 L,3893 km
TXL,SXF,2019-03-29,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,SJJ,2019-04-13,€8.000000,316.010000 kg,32.000000 L,1081 km
SJJ,SXF,2019-04-20,€8.000000,316.010000 kg,32.000000 L,1081 km
SXF,AMS,2019-04-20,€5.000000,186.040000 kg,21.980000 L,642 km
AMS,SXF,2019-05-03,€5.000000,186.040000 kg,21.980000 L,642 km
SXF,DXB,2019-05-03,€29.000000,1257.370000 kg,110.350000 L,4672 km
DXB,SXF,2019-05-29,€29.000000,1257.370000 kg,110.350000 L,4672 km
SXF,CPH,2019-05-29,€5.000000,103.130000 kg,16.730000 L,401 km
CPH,SXF,2019-06-09,€5.000000,103.130000 kg,16.730000 L,401 km
SXF,IBZ,2019-06-09,€12.000000,501.760000 kg,47.040000 L,1833 km
IBZ,SXF,2019-06-21,€12.000000,501.760000 kg,47.040000 L,1833 km
SXF,LCY,2019-06-21,€7.000000,288.480000 kg,29.770000 L,976 km
LCY,SXF,2019-07-05,€7.000000,288.480000 kg,29.770000 L,976 km
SXF,LGA,2019-07-05,€44.000000,1890.850000 kg,164.110000 L,6436 km
LGA,YHU,2019-07-06,€5.000000,179.030000 kg,21.510000 L,618 km
YHU,YTZ,2019-07-12,€5.000000,148.660000 kg,19.480000 L,512 km
YTZ,CZM,2019-07-13,€17.000000,712.540000 kg,64.530000 L,2716 km
CZM,DCA,2019-07-14,€15.000000,614.130000 kg,56.310000 L,2300 km
DCA,TNT,2019-07-20,€48.000000,2076.950000 kg,179.900000 L,6955 km
TNT,BOS,2019-07-21,€43.000000,1846.320000 kg,160.330000 L,6312 km
BOS,JMK,2019-07-30,€56.000000,2418.340000 kg,208.810000 L,7824 km
JMK,CLJ,2019-08-01,€8.000000,320.660000 kg,32.370000 L,1099 km
CLJ,SXF,2019-09-21,€7.000000,300.850000 kg,30.770000 L,1019 km
SXF,MLH,2019-09-21,€5.000000,213.570000 kg,23.820000 L,738 km
MLH,SXF,2019-10-11,€5.000000,213.570000 kg,23.820000 L,738 km
AMS,SXF,2019-11-22,€5.000000,186.040000 kg,21.980000 L,642 km
SXF,ZRH,2019-11-22,€5.000000,206.860000 kg,23.370000 L,714 km
ZRH,SXF,2019-12-26,€5.000000,206.860000 kg,23.370000 L,714 km
SXF,YTZ,2019-12-26,€45.000000,1928.890000 kg,167.330000 L,6542 km
YTZ,DCA,2019-12-27,€5.000000,179.000000 kg,21.510000 L,618 km
DCA,SXF,2019-12-31,€47.000000,2013.820000 kg,174.540000 L,6779 km
