DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
LCY,CZM,2019-01-10,€59.000000,2524.450000 kg,217.790000 L,8093 km
CZM,LCY,2019-01-25,€59.000000,2524.450000 kg,217.790000 L,8093 km
SNC,LCY,2019-02-15,€73.000000,3136.410000 kg,269.610000 L,9643 km
LCY,MAD,2019-02-15,€11.000000,437.000000 kg,42.780000 L,1305 km
MAD,LCY,2019-02-22,€11.000000,437.000000 kg,42.780000 L,1305 km
LCY,EMA,2019-02-22,€5.000000,45.760000 kg,11.580000 L,224 km
EMA,LCY,2019-03-01,€5.000000,45.760000 kg,11.580000 L,224 km
LCY,NQY,2019-03-02,€5.000000,115.650000 kg,17.480000 L,430 km
NQY,LCY,2019-03-08,€5.000000,115.650000 kg,17.480000 L,430 km
LCY,BRS,2019-03-08,€5.000000,49.700000 kg,12.580000 L,243 km
BRS,LBA,2019-03-09,€5.000000,69.000000 kg,17.460000 L,335 km
LBA,LCY,2019-03-16,€5.000000,75.570000 kg,15.080000 L,336 km
LCY,KIR,2019-03-16,€5.000000,205.790000 kg,23.300000 L,711 km
KIR,LCY,2019-03-21,€5.000000,205.790000 kg,23.300000 L,711 km
LCY,GLA,2019-03-21,€5.000000,198.000000 kg,23.540000 L,616 km
GLA,CEG,2019-03-22,€5.000000,88.980000 kg,15.890000 L,367 km
CEG,LCY,2019-03-28,€5.000000,70.820000 kg,14.730000 L,322 km
LCY,TNT,2019-03-28,€8.000000,311.200000 kg,31.610000 L,1061 km
TNT,LCY,2019-04-17,€8.000000,311.200000 kg,31.610000 L,1061 km
MME,LCY,2019-04-27,€5.000000,104.090000 kg,16.790000 L,403 km
LCY,VLC,2019-04-30,€10.000000,392.200000 kg,38.160000 L,1389 km
VLC,LCY,2019-05-04,€10.000000,392.200000 kg,38.160000 L,1389 km
LCY,ABZ,2019-05-04,€5.000000,202.440000 kg,23.070000 L,699 km
ABZ,LCY,2019-05-25,€5.000000,202.440000 kg,23.070000 L,699 km
LCY,BCN,2019-05-25,€9.000000,374.000000 kg,37.210000 L,1194 km
BCN,LCY,2019-05-30,€9.000000,374.000000 kg,37.210000 L,1194 km
LCY,RTM,2019-05-30,€5.000000,83.520000 kg,15.560000 L,354 km
RTM,NCL,2019-05-31,€5.000000,168.460000 kg,20.800000 L,581 km
NCL,LBA,2019-06-01,€5.000000,36.700000 kg,9.290000 L,179 km
LBA,LCY,2019-06-08,€5.000000,75.570000 kg,15.080000 L,336 km
SYD,MEB,2019-06-09,€6.000000,218.980000 kg,24.200000 L,756 km
LCY,BUR,2019-06-21,€65.000000,2810.070000 kg,241.980000 L,8816 km
BUR,LCY,2019-07-07,€65.000000,2810.070000 kg,241.980000 L,8816 km
LCY,IBZ,2019-07-07,€11.000000,452.000000 kg,43.540000 L,1457 km
IBZ,LCY,2019-07-12,€11.000000,452.000000 kg,43.540000 L,1457 km
LCY,LBA,2019-07-12,€5.000000,75.570000 kg,15.080000 L,336 km
LBA,AMS,2019-07-13,€5.000000,181.000000 kg,23.540000 L,510 km
AMS,IBZ,2019-07-14,€11.000000,436.920000 kg,41.780000 L,1570 km
IBZ,LCY,2019-07-19,€11.000000,452.000000 kg,43.540000 L,1457 km
LCY,BHD,2019-07-19,€5.000000,167.020000 kg,20.710000 L,576 km
BHD,BCN,2019-07-20,€11.000000,455.200000 kg,43.270000 L,1644 km
BCN,IBZ,2019-07-21,€5.000000,47.000000 kg,11.890000 L,324 km
IBZ,LCY,2019-07-28,€11.000000,452.000000 kg,43.540000 L,1457 km
LCY,IBZ,2019-07-28,€11.000000,452.000000 kg,43.540000 L,1457 km
IBZ,LCY,2019-08-04,€11.000000,452.000000 kg,43.540000 L,1457 km
LCY,IBZ,2019-08-04,€11.000000,452.000000 kg,43.540000 L,1457 km
IBZ,LCY,2019-08-10,€11.000000,452.000000 kg,43.540000 L,1457 km
LCY,TAR,2019-08-10,€12.000000,505.910000 kg,47.370000 L,1849 km
TAR,IBZ,2019-08-12,€10.000000,400.320000 kg,38.820000 L,1422 km
IBZ,LCY,2019-08-16,€11.000000,452.000000 kg,43.540000 L,1457 km
LCY,PMI,2019-08-16,€10.000000,431.000000 kg,41.770000 L,1394 km
PMI,NHT,2019-08-17,€10.000000,396.640000 kg,38.520000 L,1407 km
NHT,ALL,2019-08-19,€8.000000,320.550000 kg,32.360000 L,1099 km
ALL,IBZ,2019-08-21,€6.000000,250.310000 kg,26.710000 L,855 km
IBZ,BOJ,2019-08-23,€15.000000,610.460000 kg,56.010000 L,2285 km
BOJ,LCY,2019-08-31,€15.000000,623.200000 kg,57.070000 L,2339 km
LCY,COR,2019-08-31,€90.000000,3875.690000 kg,332.260000 L,11198 km
COR,IBZ,2019-09-08,€80.000000,3474.120000 kg,298.220000 L,10394 km
IBZ,LCY,2019-09-14,€11.000000,452.000000 kg,43.540000 L,1457 km
LCY,IBZ,2019-09-14,€11.000000,452.000000 kg,43.540000 L,1457 km
IBZ,LCY,2019-09-22,€11.000000,452.000000 kg,43.540000 L,1457 km
LCY,IBZ,2019-09-22,€11.000000,452.000000 kg,43.540000 L,1457 km
IBZ,LCY,2019-09-27,€11.000000,452.000000 kg,43.540000 L,1457 km
LCY,SFO,2019-09-27,€64.000000,2763.150000 kg,238.000000 L,8698 km
SFO,NZY,2019-09-28,€6.000000,224.540000 kg,24.650000 L,773 km
NZY,DCA,2019-10-05,€22.000000,946.620000 kg,84.080000 L,3706 km
DCA,LCY,2019-10-12,€40.000000,1723.520000 kg,149.910000 L,5970 km
LCY,LPL,2019-10-19,€5.000000,74.590000 kg,15.030000 L,333 km
LPL,LCY,2019-10-25,€5.000000,74.590000 kg,15.030000 L,333 km
LCY,MAN,2019-10-25,€5.000000,67.030000 kg,14.380000 L,308 km
MAN,LCY,2019-10-31,€5.000000,67.030000 kg,14.380000 L,308 km
BHX,LCY,2019-11-16,€5.000000,43.280000 kg,10.950000 L,212 km
MAD,LCY,2019-11-30,€11.000000,437.000000 kg,42.780000 L,1305 km
LCY,DUB,2019-11-30,€5.000000,196.000000 kg,25.060000 L,526 km
DUB,LCY,2019-12-06,€5.000000,196.000000 kg,25.060000 L,526 km
LCY,AUH,2019-12-06,€36.000000,1560.290000 kg,136.060000 L,5516 km
AUH,CTA,2019-12-07,€24.000000,1029.010000 kg,90.970000 L,4036 km
CTA,LCY,2019-12-21,€13.000000,544.880000 kg,50.530000 L,2007 km
LCY,LIN,2019-12-21,€7.000000,297.740000 kg,30.510000 L,1007 km
LIN,LCY,2019-12-28,€7.000000,297.740000 kg,30.510000 L,1007 km
SYD,LCY,2019-12-31,€106.000000,4602.000000 kg,394.170000 L,12102 km
