DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
CGN,AMS,2019-01-12,€5.000000,61.000000 kg,15.440000 L,280 km
AMS,CGN,2019-01-18,€5.000000,61.000000 kg,15.440000 L,280 km
CGN,GVA,2019-01-18,€5.000000,165.550000 kg,20.610000 L,571 km
GVA,CGN,2019-01-25,€5.000000,165.550000 kg,20.610000 L,571 km
CGN,LBG,2019-01-25,€5.000000,122.840000 kg,17.910000 L,447 km
LBG,BCN,2019-01-26,€7.000000,265.650000 kg,27.940000 L,903 km
BCN,CGN,2019-02-02,€8.000000,341.420000 kg,34.050000 L,1183 km
CGN,ZRH,2019-02-02,€5.000000,121.170000 kg,17.810000 L,443 km
ZRH,CGN,2019-02-08,€5.000000,121.170000 kg,17.810000 L,443 km
CGN,TXL,2019-02-16,€5.000000,124.000000 kg,16.200000 L,513 km
TXL,CGN,2019-02-23,€5.000000,124.000000 kg,16.200000 L,513 km
CGN,LEJ,2019-02-23,€5.000000,112.210000 kg,17.270000 L,422 km
LEJ,CGN,2019-02-28,€5.000000,112.210000 kg,17.270000 L,422 km
MEB,SYD,2019-03-09,€6.000000,218.980000 kg,24.200000 L,756 km
POZ,CGN,2019-03-29,€5.000000,214.200000 kg,23.860000 L,740 km
CGN,ORY,2019-03-29,€5.000000,131.340000 kg,18.420000 L,467 km
ORY,BRN,2019-03-30,€5.000000,66.000000 kg,16.700000 L,481 km
BRN,LCY,2019-03-31,€6.000000,230.870000 kg,25.150000 L,793 km
LCY,CGN,2019-04-05,€5.000000,159.180000 kg,20.180000 L,549 km
CGN,OPO,2019-04-05,€9.000000,390.000000 kg,36.960000 L,1664 km
OPO,LIS,2019-04-06,€5.000000,57.000000 kg,14.430000 L,327 km
LIS,CGN,2019-04-26,€12.000000,519.330000 kg,48.460000 L,1904 km
CGN,PRG,2019-04-26,€5.000000,59.000000 kg,14.930000 L,559 km
PRG,CGN,2019-05-05,€5.000000,59.000000 kg,14.930000 L,559 km
CGN,TXL,2019-05-05,€5.000000,124.000000 kg,16.200000 L,513 km
TXL,CGN,2019-05-11,€5.000000,124.000000 kg,16.200000 L,513 km
CGN,BIQ,2019-05-11,€8.000000,321.270000 kg,32.420000 L,1102 km
BIQ,CGN,2019-05-14,€8.000000,321.270000 kg,32.420000 L,1102 km
CGN,WAW,2019-05-14,€7.000000,300.070000 kg,30.700000 L,1016 km
WAW,CGN,2019-05-31,€7.000000,300.070000 kg,30.700000 L,1016 km
CGN,LCY,2019-05-31,€5.000000,159.180000 kg,20.180000 L,549 km
LCY,GDN,2019-06-01,€9.000000,377.380000 kg,36.960000 L,1329 km
GDN,CGN,2019-06-07,€7.000000,269.600000 kg,28.260000 L,916 km
CGN,MST,2019-06-07,€5.000000,29.810000 kg,7.540000 L,146 km
MST,WAW,2019-06-08,€8.000000,322.780000 kg,32.540000 L,1108 km
WAW,CGN,2019-06-14,€7.000000,300.070000 kg,30.700000 L,1016 km
CGN,SDV,2019-06-14,€19.000000,809.280000 kg,72.610000 L,3125 km
SDV,AMS,2019-06-22,€20.000000,862.250000 kg,77.030000 L,3349 km
AMS,CGN,2019-06-28,€5.000000,61.000000 kg,15.440000 L,280 km
CGN,ZRH,2019-06-28,€5.000000,121.170000 kg,17.810000 L,443 km
ZRH,BRU,2019-06-30,€5.000000,157.000000 kg,20.000000 L,533 km
BRU,CGN,2019-07-12,€5.000000,48.410000 kg,12.250000 L,237 km
CGN,IBZ,2019-07-12,€8.000000,313.000000 kg,30.120000 L,1455 km
IBZ,BMA,2019-07-13,€16.000000,688.480000 kg,62.520000 L,2615 km
BMA,CGN,2019-07-19,€9.000000,349.210000 kg,34.680000 L,1215 km
CGN,BCN,2019-07-19,€8.000000,341.420000 kg,34.050000 L,1183 km
BCN,CGN,2019-07-26,€8.000000,341.420000 kg,34.050000 L,1183 km
CGN,VIY,2019-07-26,€5.000000,134.780000 kg,18.620000 L,475 km
VIY,TLS,2019-07-28,€5.000000,181.690000 kg,21.690000 L,627 km
TLS,CGN,2019-08-03,€7.000000,285.440000 kg,29.530000 L,966 km
CGN,TXL,2019-08-03,€5.000000,124.000000 kg,16.200000 L,513 km
TXL,CGN,2019-08-10,€5.000000,124.000000 kg,16.200000 L,513 km
CGN,AMS,2019-08-10,€5.000000,61.000000 kg,15.440000 L,280 km
AMS,CGN,2019-09-07,€5.000000,61.000000 kg,15.440000 L,280 km
CGN,VIY,2019-09-07,€5.000000,134.780000 kg,18.620000 L,475 km
VIY,CGN,2019-09-14,€5.000000,134.780000 kg,18.620000 L,475 km
CGN,GVA,2019-09-14,€5.000000,165.550000 kg,20.610000 L,571 km
