DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
DET,TXL,2019-01-02,€47.000000,2032.230000 kg,176.100000 L,6830 km
TXL,BCN,2019-01-05,€8.000000,334.000000 kg,31.890000 L,1560 km
BCN,DET,2019-01-25,€47.000000,2015.410000 kg,174.680000 L,6783 km
DET,LGA,2019-01-25,€6.000000,242.760000 kg,26.110000 L,831 km
LGA,DET,2019-02-16,€6.000000,242.760000 kg,26.110000 L,831 km
DET,ABQ,2019-02-16,€14.000000,601.600000 kg,55.270000 L,2247 km
ABQ,DET,2019-03-09,€14.000000,601.600000 kg,55.270000 L,2247 km
DET,SPG,2019-03-09,€11.000000,459.840000 kg,43.640000 L,1663 km
SPG,TNT,2019-03-10,€59.000000,2547.190000 kg,219.720000 L,8150 km
TNT,DET,2019-03-22,€50.000000,2133.030000 kg,184.650000 L,7101 km
DET,YHU,2019-04-13,€6.000000,243.320000 kg,26.150000 L,833 km
YHU,DET,2019-04-20,€6.000000,243.320000 kg,26.150000 L,833 km
DET,LGA,2019-04-20,€6.000000,242.760000 kg,26.110000 L,831 km
LGA,DET,2019-04-26,€6.000000,242.760000 kg,26.110000 L,831 km
DET,CGH,2019-04-26,€60.000000,2604.130000 kg,224.540000 L,8295 km
CGH,DET,2019-04-30,€60.000000,2604.130000 kg,224.540000 L,8295 km
DET,FLN,2019-04-30,€63.000000,2729.830000 kg,235.180000 L,8613 km
FLN,DET,2019-05-18,€63.000000,2729.830000 kg,235.180000 L,8613 km
DET,AMS,2019-05-18,€43.000000,1858.270000 kg,161.340000 L,6346 km
AMS,DET,2019-05-23,€43.000000,1858.270000 kg,161.340000 L,6346 km
DET,TNT,2019-06-02,€50.000000,2133.030000 kg,184.650000 L,7101 km
TNT,DET,2019-06-29,€50.000000,2133.030000 kg,184.650000 L,7101 km
DET,TXL,2019-06-29,€47.000000,2032.230000 kg,176.100000 L,6830 km
TXL,GLO,2019-07-05,€8.000000,321.950000 kg,32.480000 L,1105 km
GLO,BCN,2019-07-13,€9.000000,363.540000 kg,35.840000 L,1273 km
BCN,TXL,2019-07-18,€8.000000,334.000000 kg,31.890000 L,1560 km
TXL,DET,2019-08-02,€47.000000,2032.230000 kg,176.100000 L,6830 km
DET,YQG,2019-08-02,€5.000000,13.270000 kg,3.350000 L,65 km
YQG,DET,2019-08-17,€5.000000,13.270000 kg,3.350000 L,65 km
DET,SLC,2019-08-17,€15.000000,651.010000 kg,59.390000 L,2456 km
SLC,DEN,2019-08-18,€5.000000,198.000000 kg,22.780000 L,676 km
DEN,DET,2019-08-24,€12.000000,519.330000 kg,48.460000 L,1904 km
DET,LCY,2019-08-24,€41.000000,1768.710000 kg,153.740000 L,6096 km
LCY,PHX,2019-09-07,€63.000000,2704.770000 kg,233.060000 L,8550 km
PHX,DET,2019-09-20,€17.000000,725.490000 kg,65.610000 L,2771 km
DET,SFO,2019-09-20,€21.000000,878.690000 kg,78.400000 L,3419 km
SFO,DET,2019-10-05,€21.000000,878.690000 kg,78.400000 L,3419 km
DET,MEL,2019-10-05,€93.000000,4002.510000 kg,343.010000 L,11452 km
MEL,SYD,2019-10-06,€112.000000,4837.000000 kg,414.430000 L,11694 km
SYD,DET,2019-11-22,€106.000000,4602.000000 kg,394.170000 L,12102 km
DET,DCA,2019-11-22,€5.000000,199.800000 kg,22.900000 L,690 km
DCA,DET,2019-11-27,€5.000000,199.800000 kg,22.900000 L,690 km
