DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
AMS,RTM,2019-03-02,€5.000000,19.850000 kg,5.020000 L,97 km
RTM,AMS,2019-03-23,€5.000000,19.850000 kg,5.020000 L,97 km
AMS,RTM,2019-03-23,€5.000000,19.850000 kg,5.020000 L,97 km
RTM,AMS,2019-03-30,€5.000000,19.850000 kg,5.020000 L,97 km
AMS,IGL,2019-04-20,€15.000000,626.260000 kg,57.330000 L,2352 km
IGL,AMS,2019-04-27,€15.000000,626.260000 kg,57.330000 L,2352 km
AMS,LBG,2019-05-07,€5.000000,127.050000 kg,18.160000 L,457 km
LBG,AMS,2019-05-25,€5.000000,127.050000 kg,18.160000 L,457 km
AMS,GRQ,2019-05-25,€5.000000,41.130000 kg,10.410000 L,201 km
GRQ,AMS,2019-06-22,€5.000000,41.130000 kg,10.410000 L,201 km
AMS,BRU,2019-06-22,€5.000000,49.000000 kg,12.400000 L,206 km
BRU,AMS,2019-06-30,€5.000000,49.000000 kg,12.400000 L,206 km
AMS,ANR,2019-07-05,€5.000000,36.320000 kg,9.190000 L,178 km
ANR,AMS,2019-07-06,€5.000000,36.320000 kg,9.190000 L,178 km
AMS,EIN,2019-07-13,€5.000000,31.600000 kg,8.000000 L,154 km
EIN,AMS,2019-08-10,€5.000000,31.600000 kg,8.000000 L,154 km
AMS,LBG,2019-10-11,€5.000000,127.050000 kg,18.160000 L,457 km
LBG,AMS,2019-10-12,€5.000000,127.050000 kg,18.160000 L,457 km
