DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
CGN,FRA,2019-01-19,€5.000000,38.080000 kg,9.640000 L,186 km
FRA,MHG,2019-01-26,€5.000000,22.750000 kg,5.750000 L,111 km
MHG,BRU,2019-01-26,€5.000000,92.430000 kg,16.090000 L,375 km
BRU,MHG,2019-02-23,€5.000000,92.430000 kg,16.090000 L,375 km
MHG,TXL,2019-02-23,€5.000000,215.000000 kg,27.590000 L,528 km
TXL,MHG,2019-03-07,€5.000000,215.000000 kg,27.590000 L,528 km
MHG,HAM,2019-03-07,€5.000000,211.000000 kg,27.340000 L,522 km
HAM,MHG,2019-04-06,€5.000000,211.000000 kg,27.340000 L,522 km
MHG,LHR,2019-04-06,€5.000000,208.510000 kg,23.480000 L,720 km
LHR,MHG,2019-04-12,€5.000000,208.510000 kg,23.480000 L,720 km
MHG,LHR,2019-04-12,€5.000000,208.510000 kg,23.480000 L,720 km
LHR,LBA,2019-04-13,€5.000000,72.550000 kg,14.890000 L,328 km
LBA,MHG,2019-04-27,€7.000000,264.920000 kg,27.880000 L,901 km
MHG,OIM,2019-04-27,€72.000000,3091.460000 kg,265.800000 L,9529 km
OIM,OBF,2019-04-30,€72.000000,3087.350000 kg,265.460000 L,9519 km
OBF,TAR,2019-05-01,€7.000000,300.480000 kg,30.740000 L,1018 km
TAR,MHG,2019-05-08,€9.000000,361.030000 kg,35.640000 L,1263 km
MHG,BEV,2019-05-08,€19.000000,788.620000 kg,70.880000 L,3038 km
BEV,YTZ,2019-05-19,€70.000000,3041.170000 kg,261.540000 L,9402 km
YTZ,YHU,2019-05-24,€5.000000,148.660000 kg,19.480000 L,512 km
YHU,DET,2019-05-27,€6.000000,243.320000 kg,26.150000 L,833 km
DET,IOM,2019-06-08,€38.000000,1624.540000 kg,141.510000 L,5695 km
IOM,MHG,2019-06-12,€8.000000,317.240000 kg,32.090000 L,1086 km
MHG,TXL,2019-06-12,€5.000000,215.000000 kg,27.590000 L,528 km
TXL,MHG,2019-06-22,€5.000000,215.000000 kg,27.590000 L,528 km
MHG,MLH,2019-06-22,€5.000000,53.940000 kg,13.170000 L,260 km
MLH,MHG,2019-06-26,€5.000000,53.940000 kg,13.170000 L,260 km
