DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
STN,ORY,2019-01-12,€5.000000,117.130000 kg,17.570000 L,434 km
ORY,STN,2019-02-01,€5.000000,117.130000 kg,17.570000 L,434 km
STN,LPL,2019-02-01,€5.000000,68.730000 kg,14.540000 L,314 km
LPL,STN,2019-03-01,€5.000000,68.730000 kg,14.540000 L,314 km
STN,IEV,2019-03-01,€14.000000,579.130000 kg,53.390000 L,2152 km
IEV,STN,2019-03-09,€14.000000,579.130000 kg,53.390000 L,2152 km
STN,LCY,2019-03-09,€5.000000,18.850000 kg,4.770000 L,92 km
LCY,STN,2019-03-15,€5.000000,18.850000 kg,4.770000 L,92 km
STN,LCY,2019-03-15,€5.000000,18.850000 kg,4.770000 L,92 km
LCY,STN,2019-04-20,€5.000000,18.850000 kg,4.770000 L,92 km
STN,EDI,2019-04-20,€5.000000,162.240000 kg,20.390000 L,559 km
EDI,STN,2019-05-25,€5.000000,162.240000 kg,20.390000 L,559 km
STN,SWF,2019-05-25,€37.000000,1584.160000 kg,138.080000 L,5582 km
SWF,NHT,2019-06-07,€37.000000,1574.070000 kg,137.230000 L,5554 km
NHT,STN,2019-06-21,€5.000000,21.710000 kg,5.490000 L,106 km
STN,RKV,2019-06-21,€13.000000,523.270000 kg,48.780000 L,1920 km
RKV,STN,2019-07-05,€13.000000,523.270000 kg,48.780000 L,1920 km
STN,GLO,2019-07-05,€5.000000,43.830000 kg,11.090000 L,214 km
GLO,STN,2019-07-24,€5.000000,43.830000 kg,11.090000 L,214 km
STN,ZAD,2019-07-24,€10.000000,411.310000 kg,39.710000 L,1466 km
ZAD,STN,2019-08-03,€10.000000,411.310000 kg,39.710000 L,1466 km
STN,LCY,2019-08-03,€5.000000,18.850000 kg,4.770000 L,92 km
LCY,STN,2019-08-23,€5.000000,18.850000 kg,4.770000 L,92 km
STN,BCN,2019-08-23,€9.000000,354.420000 kg,35.100000 L,1236 km
BCN,STN,2019-09-13,€9.000000,354.420000 kg,35.100000 L,1236 km
STN,OBF,2019-09-13,€7.000000,278.830000 kg,29.000000 L,945 km
OBF,STN,2019-09-21,€7.000000,278.830000 kg,29.000000 L,945 km
STN,LIN,2019-09-21,€7.000000,302.450000 kg,30.900000 L,1026 km
LIN,STN,2019-10-18,€7.000000,302.450000 kg,30.900000 L,1026 km
STN,YTZ,2019-10-18,€39.000000,1653.900000 kg,144.000000 L,5776 km
YTZ,YHU,2019-10-19,€5.000000,148.660000 kg,19.480000 L,512 km
YHU,STN,2019-11-16,€35.000000,1488.470000 kg,129.960000 L,5316 km
STN,NAP,2019-11-16,€11.000000,463.070000 kg,43.900000 L,1676 km
NAP,STN,2019-12-12,€11.000000,463.070000 kg,43.900000 L,1676 km
STN,PER,2019-12-12,€128.000000,5538.660000 kg,473.210000 L,14528 km
PER,SYD,2019-12-14,€22.000000,948.000000 kg,84.550000 L,3325 km
SYD,STN,2019-12-15,€106.000000,4602.000000 kg,394.170000 L,12102 km
