DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
ARN,BTS,2019-02-23,€9.000000,377.370000 kg,36.960000 L,1329 km
BTS,ARN,2019-02-27,€9.000000,377.370000 kg,36.960000 L,1329 km
ARN,LIN,2019-02-27,€13.000000,536.000000 kg,50.370000 L,1730 km
LIN,ARN,2019-06-01,€13.000000,536.000000 kg,50.370000 L,1730 km
ARN,BCN,2019-06-01,€12.000000,510.000000 kg,46.580000 L,2364 km
BCN,ARN,2019-06-06,€12.000000,510.000000 kg,46.580000 L,2364 km
ARN,OPO,2019-06-06,€17.000000,733.070000 kg,66.240000 L,2803 km
OPO,ARN,2019-06-26,€17.000000,733.070000 kg,66.240000 L,2803 km
ARN,YEO,2019-06-26,€11.000000,458.290000 kg,43.510000 L,1657 km
YEO,ARN,2019-07-27,€11.000000,458.290000 kg,43.510000 L,1657 km
ARN,LCY,2019-07-27,€10.000000,415.840000 kg,40.080000 L,1485 km
LCY,ARN,2019-08-02,€10.000000,415.840000 kg,40.080000 L,1485 km
ARN,WAT,2019-08-02,€12.000000,494.130000 kg,46.420000 L,1802 km
WAT,ARN,2019-08-09,€12.000000,494.130000 kg,46.420000 L,1802 km
ARN,HEM,2019-08-09,€5.000000,124.990000 kg,18.040000 L,452 km
HEM,ARN,2019-09-11,€5.000000,124.990000 kg,18.040000 L,452 km
ARN,BUR,2019-09-11,€66.000000,2840.760000 kg,244.570000 L,8894 km
BUR,ARN,2019-09-13,€66.000000,2840.760000 kg,244.570000 L,8894 km
