DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
YVR,CZM,2019-01-02,€29.000000,1221.720000 kg,107.320000 L,4573 km
CZM,YVR,2019-02-16,€29.000000,1221.720000 kg,107.320000 L,4573 km
YVR,AMS,2019-04-19,€52.000000,2237.000000 kg,193.410000 L,7754 km
AMS,TXL,2019-04-21,€5.000000,183.000000 kg,21.770000 L,628 km
TXL,LHR,2019-05-03,€7.000000,263.000000 kg,27.080000 L,995 km
LHR,TXL,2019-05-04,€7.000000,263.000000 kg,27.080000 L,995 km
TXL,YVR,2019-05-18,€58.000000,2503.340000 kg,216.010000 L,8039 km
YVR,ORY,2019-07-02,€58.000000,2489.990000 kg,214.870000 L,8005 km
ORY,TXL,2019-07-06,€5.000000,202.000000 kg,21.010000 L,927 km
TXL,YVR,2019-07-21,€58.000000,2503.340000 kg,216.010000 L,8039 km
YVR,IBZ,2019-07-21,€66.000000,2832.300000 kg,243.860000 L,8873 km
IBZ,YVR,2019-08-24,€66.000000,2832.300000 kg,243.860000 L,8873 km
YVR,BFI,2019-08-24,€5.000000,49.970000 kg,12.650000 L,244 km
BFI,YVR,2019-09-20,€5.000000,49.970000 kg,12.650000 L,244 km
YVR,LHR,2019-09-20,€55.000000,2382.000000 kg,205.820000 L,7625 km
LHR,YVR,2019-09-28,€55.000000,2382.000000 kg,205.820000 L,7625 km
YVR,TXL,2019-11-14,€58.000000,2503.340000 kg,216.010000 L,8039 km
TXL,CLJ,2019-11-15,€8.000000,304.700000 kg,31.080000 L,1035 km
CLJ,LHR,2019-11-23,€12.000000,512.110000 kg,47.870000 L,1874 km
LHR,AMS,2019-11-29,€5.000000,105.000000 kg,15.940000 L,417 km
AMS,GVA,2019-11-30,€6.000000,222.000000 kg,24.810000 L,731 km
GVA,TXL,2019-12-01,€7.000000,272.420000 kg,28.480000 L,925 km
TXL,YVR,2019-12-14,€58.000000,2503.340000 kg,216.010000 L,8039 km
